id,old,new,
1035,特別研究区の金鍵,Special Research Area Gold Key,
1044,完全封鎖扉用鍵,Fully Blocked Door Key,
1359,昇格試験Ｂ,Promotion Exam B,
5723,昇格試験Ａ,Promotion exam A,
7561,欠けた封印宮の大鍵,Broken key of the Sealed Palace,
7578,セラー湖離殿の鍵,Lake Cera Detached Pavillion Key,
8032,金竜王の楔,Golden Dragon King Wedge,
9067,文化A_男_1-1,Culture A_Man_1-1,
9068,文化A_男_1-2,Culture A_Male_1-2,
9069,文化A_男_1-3,Culture A_Male_1-3,
9070,文化A_男_2-1,Culture A_Male_2-1,
9071,文化A_男_2-2,Culture A_Male_2-2,
9072,文化A_男_2-3,Culture A_Male_2-3,
9073,文化A_男_3-1,Culture A_Male_3-1,
9074,文化A_男_3-2,Culture A_Male_3-2,
9075,文化A_男_3-3,Culture A_Male_3-3,
9076,文化A_男_4-1,Culture A_Male_4-1,
9077,文化A_男_4-2,Culture A_Male_4-2,
9078,文化A_男_4-3,Culture A_Male_4-3,
9079,文化A_男_5-1,Culture A_Male_5-1,
9080,文化A_男_5-2,Culture A_Male_5-2,
9081,文化A_男_6-1,Culture A_Male_6-1,
9082,文化A_男_6-2,Culture A_Male_6-2,
9083,文化A_男_7-1,Culture A_Male_7-1,
9084,文化A_男_7-2,Culture A_Male_7-2,
9085,文化A_男_特殊枠1,Culture A_Male_Special 1,
9086,文化A_男_特殊枠2,Culture A_Male_Special Frame 2,
9087,文化A_男_死体用,Culture A_Man_Corpse,
9088,文化A_女_1-1,Culture A_Female_1-1,
9089,文化A_女_1-2,Culture A_Women_1-2,
9090,文化A_女_1-3,Culture A_Women_1-3,
9091,文化A_女_2-1,Culture A_Female_2-1,
9092,文化A_女_2-2,Culture A_Women_2-2,
9093,文化A_女_2-3,Culture A_Women_2-3,
9094,文化A_女_3-1,Culture A_Female_3-1,
9095,文化A_女_3-2,Culture A_Women_3-2,
9096,文化A_女_3-3,Culture A_Women_3-3,
9097,文化A_女_4-1,Culture A_Female_4-1,
9098,文化A_女_4-2,Culture A_Women_4-2,
9099,文化A_女_5-1,Culture A_Female_5-1,
9100,文化A_女_5-2,Culture A_Women_5-2,
9101,文化A_女_6-1,Culture A_Female_6-1,
9102,文化A_女_6-2,Culture A_Female_6-2,
9103,文化A_女_7-1,Culture A_Women_7-1,
9104,文化A_女_7-2,Culture A_Women_7-2,
9105,文化A_女_8-1,Culture A_Women_8-1,
9106,文化A_女_8-2,Culture A_Women_8-2,
9107,文化A_女_9-1,Culture A_Women_9-1,
9108,文化A_女_9-2,Culture A_Women_9-2,
