,old,new
,レバーがある,There is a lever
,引きますか,Pull the lever?
,引く,Pull
,引かない,Don't Pull
,扉には鍵がかかっている――,The door is locked
,鍵を使いますか,Use the key?
,使う,Use
,使わない,Don't Use
,エリアマスターにより封鎖されている――,It is blocked by the Area Master.
,"鍵がかかっている――
開くには<COL ffdc78>《<NAME ITEM>》</COL>が必要だ","It is locked.
<COL ffdc78>""<NAME ITEM>""</COL> is needed to open."
,こちら側からは開かないようだ,It cannot open from this side.
,不思議な力で封印されている,It is sealed with a mysterious force.
,何かが引っ掛かって開かない,It seems to be caught on something.
,厳重に封印されている――,It has been strongly sealed.
,文字はかすれていて読めない,The characters are faint and cannot be read.
,すでに息絶えている――,Out of breath...
,特に気になるものはない,Nothing of intrest here.
,何か仕掛けがあるようだ,Something feels off here.
,"この先は他の覚者とパーティーを組んだ
状態では進入できません","You cannot enter alone.
Make a party with other Arisen."
,"一人、またはポーンのみを連れて
訪れてください","Please take only one
person or pawn."
,行き先選択,Select Destination
,各ステージ名,Name of each stage
,やめる,Quit
,準備完了！　進行マーカーに触れてください,Ready! Please touch the progress marker.
,準備完了！　待機してください,Ready! Please wait.
,"パーティー全員が集合するまで
サークル内で待機してください","Please wait in the circle until
the entire party is ready, "
,リーダーが進行準備・パーティー招集を行いました,Leader has begun a progress preparation.
,"パーティー全員が集まり、準備完了したら
進行マーカーに触れてください","Gather the party if you are ready.
Please touch the progress marker."
,"イベントを進行しますか？
※パーティー要請中の場合はキャンセルされます","Are you sure you want to proceed with
the event?
※ If there is a party request, it will be
canceled."
,準備開始（パーティー招集）,Prepare (begin gathering party)
,キャンセル,Cancel
,イベント進行はリーダーのみ可能です,Only the party leader can progress the event.
,イベント進行確認,Confirm Event Progress
,進行する,Proceed
,キャンセル,Cancel
,"イベント進行待機に入ります
準備はよろしいですか？","You will begin waiting to progress the event.
Are you sure you are ready?"
,はい,Yes
,いいえ,No
,待機を解除しますか？,Are you sure you want to cancel waiting?
,はい,Yes
,いいえ,No
,"メンバーが集合するまで
サークル内で待機してください","Until the party members are ready,
please wait in the circle."
,イベント進行確認,Confirm Event Progress
,進行する,Proceed
,準備解除（パーティー招集中止）,Disband (stop gathering party)
,キャンセル,Cancel
,イベント進行確認,Confirm Event Progress
,準備完了、待機,Ready and waiting.
,準備解除（パーティー招集中止）,Disband (stop gathering party)
,キャンセル,Cancel
,"イベント進行確認
（全メンバーの準備完了を待ちます）","Confirm Event Progress
(Wait for all party members to be ready)"
,準備解除（パーティー招集中止）,Disband (stop gathering party)
,キャンセル,Cancel
,"門のような意匠がある
わずかに不思議な気配を感じる――","It seems to have a design similar to a gate.
It makes you feel slightly strange..."
,"――扉は閉ざされている――
メンバー全員が集まらなければ
この先へは進めません
メンバーを招集しますか？","The door is closed.
You can proceed ahead if you gather the party.
Do you want to begin gathering party?"
,はい,Yes
,いいえ,No
,"――扉は閉ざされている――
リーダーアクションがなければ
この先へは進めません","The door is closed.
Cannot proceed ahead without the leader."
,"扉を開き先へ向かいますか？
（全メンバーが準備完了しました）","Do you want to go through the door?
(Party Ready)"
,はい,Yes
,いいえ（パーティー招集中止）,No (stop gathering party)
,"鍵を使用して扉を開きますか？
（全メンバーが準備完了しました）","Do you want to open the door using the key?
(Party Ready)"
,はい,Yes
,いいえ,No
,"扉は固く閉ざされており
開きそうにない","The door is firmly shut.
Unlikely to be opened."
,"特定のコンテンツ中は
この先に移動できません",Cannot skip during certain scenes
,残り時間が追加されました,Remaining time added
,"鍵がかかっている――
開くには<COL ffdc78>《未来の装飾鍵》</COL>が必要だ","It is locked.
<COL ffdc78>""未来の装飾鍵""</COL> is needed to open."
,"鍵がかかっている――
開くには<COL ffdc78>《竜力の鍵》</COL>が必要だ","It is locked.
<COL ffdc78>""Key of Dragon Force""</COL> is needed to open."
,"鍵がかかっている――
開くには<COL ffdc78>《昌石の鍵》</COL>が必要だ","It is locked.
<COL ffdc78>""Key of Gemstones""</COL> is needed to open."
,"鍵がかかっている――
開くには<COL ffdc78>《財宝の鍵》</COL>が必要だ","It is locked.
<COL ffdc78>""Key of Treasures""</COL> is needed to open."
,"鍵がかかっている――
開くには<COL ffdc78>《宝飾の鍵》</COL>が必要だ","It is locked.
<COL ffdc78>""Key of Jewelry""</COL> is needed to open."
,白竜杯に参加可能になりました,You can now participate in the White Dragon Cup.
,"鍵がかかっている――
解放には<COL ffdc78>《宝飾の鍵》</COL>が必要だ","It is locked.
<COL ffdc78>""Key of Jewelry""</COL> is needed to release."
,"<COL ffdc78>敵との戦闘で一度も死亡状態になりませんでした
クリア時のボーナス報酬が多くなります</COL>",<COL ffdc78>Never went into a death state in combat! More bonus rewards for clearing</COL>
,"<COL ffdc78>パーティーメンバーが死亡状態になりました
クリア時のボーナス報酬が下がります</COL>",<COL ffdc78>Party member is now dead. Bonus reward for clearing will be lowered</COL>.
,"<COL ffdc78>胞子の広がりを阻止――！
クリア時のボーナス報酬が追加されます</COL>",<COL ffdc78>Stopped the spread of spores! Additional bonus rewards for clearing the site</COL>
,敵はあわてて逃げ出した！,The enemy panicked and ran away!
,胞子が集まり始めている――,Spores are starting to gather
,汚染植物が出現――！,Infected plants have appeared!
,"胞子の広がりを阻止――
クリア時のボーナス報酬が追加！","Prevent the spread of spores!
Bonus reward is added!"
,隠れていた魔物が姿を現した――！,The hidden monster has appeared!
,"傷ついた魔物の痕跡は、
住処へと続いているようだ――","There are traces from the wounded monster
It seems to lead towards its den."
