key,old,new
CONDITION_NAME_10,毒,Poison
CONDITION_NAME_11,遅延,Slow
CONDITION_NAME_12,睡眠,Sleep
CONDITION_NAME_13,気絶,Stun
CONDITION_NAME_14,水濡れ,Drenched
CONDITION_NAME_15,油濡れ,Tarred
CONDITION_NAME_16,スキル封印,Skills Stifled
CONDITION_NAME_17,呪い,Cursed
CONDITION_NAME_18,軟化,Softened
CONDITION_NAME_19,石化,Petrification
CONDITION_NAME_20,黄金化,Golden
CONDITION_NAME_21,延焼,Caught Fire
CONDITION_NAME_22,凍結,Frozen Solid
CONDITION_NAME_23,感電,Shocked
CONDITION_NAME_24,聖吸,Holy Drain
CONDITION_NAME_25,闇霧,Blinded
CONDITION_NAME_26,炎防低下,Fire Resist Down
CONDITION_NAME_27,氷防低下,Ice Resist Down
CONDITION_NAME_28,雷防低下,Thunder Resist Down
CONDITION_NAME_29,聖防低下,Holy Resist Down
CONDITION_NAME_30,闇防低下,Dark Resist Down
CONDITION_NAME_31,物攻低下,Physical Attack Down
CONDITION_NAME_32,物防低下,Physical Defense Down
CONDITION_NAME_33,魔攻低下,Magick Attack Down
CONDITION_NAME_34,魔防低下,Magick Defense Down
CONDITION_NAME_35,弱化,Weakened
CONDITION_NAME_36,物攻上昇,Physical Attack Up
CONDITION_NAME_37,物防上昇,Physical Defense Up
CONDITION_NAME_38,魔攻上昇,Magick Attack Up
CONDITION_NAME_39,魔防上昇,Magick Defense Up
CONDITION_NAME_40,吹き飛ばし力上昇,Blow Power Up
CONDITION_NAME_41,耐久力上昇,Endurance Up
CONDITION_NAME_42,生命治癒力上昇,Healing Power Up
CONDITION_NAME_43,炎防上昇,Fire Resist Up
CONDITION_NAME_44,氷防上昇,Ice Resist Up
CONDITION_NAME_45,雷防上昇,Thunder Resist Up
CONDITION_NAME_46,聖防上昇,Holy Resist Up
CONDITION_NAME_47,闇防上昇,Dark Resist Up
CONDITION_NAME_48,炎攻付加,Add Fire Attack
CONDITION_NAME_49,氷攻付加,Add Ice Attack
CONDITION_NAME_50,雷攻付加,Add Thunder Attack
CONDITION_NAME_51,聖攻付加,Add Holy Attack
CONDITION_NAME_52,闇攻付加,Add Dark Attack
CONDITION_NAME_53,体力上昇,Max Health Up
CONDITION_NAME_54,スタミナ上昇,Max Stamina Up
CONDITION_NAME_57,強化,Strengthed
CONDITION_NAME_58,侵食・軽度,Slight Corruption
CONDITION_NAME_59,侵食・重度,Severe Corruption
CONDITION_NAME_60,侵食・危険,Critical Corruption
CONDITION_NAME_61,侵食耐性,Corruption Resist
CONDITION_NAME_62,アイテム封印,Items Sealed
CONDITION_NAME_63,敵視上昇,Hostilty Increased
CONDITION_NAME_64,異界落とし,Spirited Away
CONDITION_NAME_65,寄生毒,Parasitic Poison
CONDITION_NAME_66,寄生毒,Parasitic Poison
CONDITION_NAME_67,抗蟲状態,Parasitic Poison Resist
CONDITION_NAME_68,全攻撃能力上昇,Extreme Attack Up
CONDITION_NAME_69,全防御能力上昇,Extreme Defense Up
CONDITION_NAME_70,闇炎,Dark Flame
CONDITION_NAME_71,闇牢,Dark Prison
