"key","old","new"
"CYCLE_QUEST_INFO_16","魔物のるつぼ","The Crucible of Demons"
"CYCLE_QUEST_INFO_16ex1","誰が名付けたかその名も《竜の巣》――
そこには凶悪なドラゴンや魔物の大群が
巣食うようになっている
さあ死を畏れぬ猛者たちよ、洋撃船の準備ができたら
大船長ゼルキンとともにやつらの寝床に乗り込め！
極上の冒険が待ってるぞ！","Whoever named it, its name is ""Dragon's Nest"" - 
A horde of vicious dragons and enemies have made it their lair. 
Now, brave warriors who fear not death, 
Once the steam-powered ship is ready, 
Board their sleeping place with Captain Zerkin! 
An extraordinary adventure awaits!"
"CYCLE_QUEST_INFO_16ex2","白竜神殿・港洞のゼルキンより
作戦詳細について説明を受けよ","From Zerkin of The White Dragon Temple in Cave Harbor, please receive an explanation regarding the details of the operation."
"CYCLE_QUEST_INFO_17","開戦準備中","War Preparation"
"CYCLE_QUEST_INFO_17ex1","大船長ゼルキンの洋撃船が、
≪魔物のるつぼ≫へ進路を向け着々と出港準備中！
狙うは爆炎の大竜、エルダードラゴン！！","Captain Zerkin's western warship is steadily preparing to set sail towards the ""Crucible of Demons""!
Their target: the mighty Elder Dragon of fire and brimstone!"
"CYCLE_QUEST_INFO_17ex2","",""
"CYCLE_QUEST_INFO_18","本作戦進行中","Mission in Progress"
"CYCLE_QUEST_INFO_18ex1","命知らずども！白竜神殿港洞に集まれ！
爆炎の大竜、エルダードラゴンを仕留めるため
≪魔物のるつぼ≫へ飛び込め！","Attention, Daredevils! Gather at the Cave Harbor of the White Dragon Temple! We must defeat the Elder Dragon of Flames. Dive into the Crucible of Demons!"
"CYCLE_QUEST_INFO_18ex2","洋撃船の仕上がりは万端！
≪魔物のるつぼ≫への侵攻作戦は意気揚々と展開中だ！
爆炎の大竜、エルダードラゴンを仕留められるかは
おまえたちの腕と運しだい！
値千金、一攫千金の戦いに持てる戦技の全てをぶつけよ！","The finishing touches on the Western assault ship are perfect!
The invasion operation of the ""Crucible of Demons"" is progressing with high spirits!
Whether we can bring down the mighty Elder Dragon, a raging inferno, depends on your skills and luck!
Unleash all the battle techniques that can lead to a fortune, invaluable in this battle!"
"CYCLE_QUEST_INFO_19","本作戦進行中　特報：敵勢力減退中！","Mission in Progress Special Report：Enemy forces weakening!"
"CYCLE_QUEST_INFO_19ex1","洋撃船による侵攻作戦は順調に展開中だ
幸運なことに敵の大将は弱り目らしいぞ
戦果をあげろ！","The invasion operation by the ocean assault ships is progressing smoothly. Fortunately, it appears the enemy leader is weakened. Achieve great results!"
"CYCLE_QUEST_INFO_19ex2","洋撃船の仕上がりは万端
魔物の巣への侵攻作戦は意気揚々と展開中だ
命知らずどもに朗報をやろう
今回は敵の大将どもの弱り目につけこめそうだ
こんなチャンスはめったにないぞ
一気にたたみかけて根こそぎかっさらえ！","The finishing of the attack ship is perfect.
The invasion operation to the enemy's nest is unfolding with great enthusiasm.
Let's give some good news to the daredevils;
This time, we can take advantage of the weakness of the enemy's generals.
Such opportunities are rare.
Quickly overwhelm them and take everything!"
"CYCLE_QUEST_INFO_20","戦果分析中","War Result Analysis"
"CYCLE_QUEST_INFO_20ex1","覚者の活躍で戦果は上々、船長も大満足だったぜ
壊れた船の修繕がてら報酬配分を計算中だ
もうしばらく待ってくれ","The performance of the Arisen has been excellent, and the captain is very satisfied.
They are calculating the distribution of rewards while repairing the broken ship.
Please wait a little longer."
"CYCLE_QUEST_INFO_20ex2","",""
"","戦果報酬配分中","War Result Reward Distribution"
"","待たせたな猛者ども、報酬配分が決まったぜ
活躍に応じた平等な配分だ、遠慮なく
受け取ってくれ、次回の出港もよろしくな！","Sorry for the wait, fierce ones, the reward distribution has been decided.
It's an equal distribution based on your performance, feel free to
take it, and we'll see you on the next sailing!"
"","",""
