key,old,new
DRAGON_SKILL_NAME_1,竜の加護,Dragon Protection
DRAGON_SKILL_NAME_2,ビーストスレイヤー,Beast Slayer
DRAGON_SKILL_NAME_3,デーモンスレイヤー,Demon Slayer
DRAGON_SKILL_NAME_4,ゴーストスレイヤー,Spirit Slayer
DRAGON_SKILL_NAME_5,ドラゴンスレイヤー,Dragon Slayer
DRAGON_SKILL_NAME_6,精霊竜の抱擁,Embrace of the Spirit Dragon
DRAGON_SKILL_NAME_7,精霊竜の反撃,Counterattack of the Spirit Dragon
DRAGON_SKILL_NAME_8,火竜の浄化,Purification of the Fire Dragon
DRAGON_SKILL_NAME_9,火竜の魔防壁,Demon Bulwark of the Fire Dragon
DRAGON_SKILL_NAME_10,白竜の防壁,Bulwark of the White Dragon
DRAGON_SKILL_NAME_11,白竜の刃,Edge of the White Dragon
DRAGON_SKILL_NAME_12,竜の祝福,Dragon Blessing
DRAGON_SKILL_NAME_13,黄金竜の一撃,Blow of the Golden Dragon
