key,old,new
EVIDENCE_NAME_1,ナイフ,Knife
EVIDENCE_NAME_2,お手製のメガド市民名簿,Handmade Megado Census
EVIDENCE_NAME_3,証言：怪しげな行動をとる<NPC 691>,Testimony: Suspicious Actions by <NPC 691>
EVIDENCE_NAME_4,薄汚れたメモの束,Bundle of Dirty Notes
EVIDENCE_NAME_5,憲兵の警ら日誌,Military Police Patrol Log
EVIDENCE_NAME_6,元憲兵の手記,Memorandum of a Former Military Police
EVIDENCE_NAME_7,父のお守り,Father's Amulet
EVIDENCE_NAME_8,オーク軍の密通文書,Orc Army Secret Documents
EVIDENCE_NAME_9,オーク軍の密通文書・翻訳版,Orc Army Secret Documents - Translated
EVIDENCE_NAME_10,証言：メガドに出没するオークたち,Testimony: Orcs appearing in Megado
EVIDENCE_NAME_11,<NPC 681>侯爵の肖像画,Portrait of Marquis <NPC 681>
EVIDENCE_NAME_12,証言：<NPC 681>侯爵の功績,Testimony: Merits of Marquis <NPC 681>
EVIDENCE_NAME_13,謎の帳簿,Mystery Ledger
EVIDENCE_NAME_14,証言：オーク軍の機密情報,Testimony: Confidential Information of the Orc Army
EVIDENCE_NAME_15,偽造したオーク軍手配書,Forged Orc Army Wanted Poster
