"#Index","Key","MsgJp","MsgEn","GmdPath","ArcPath","ArcName","ReadIndex"
"2","q21017023_00_619","<NAME AREA>のエリアマスターは
覚者へ相談したい事があるらしい","The Area Master of <NAME AREA>
would like to seek counsel from the Arisen.","ui\00_message\quest_info\q21017023_00.gmd","\quest\q21017023.arc","q21017023.arc","2"
"3","q21017023_00_619","デーモンが現れたころから、
よく採れるようになった素材は少なくない――
村の奴らは不吉だから近付くな、とか言ってるけど
そんなもの高く売っ払って、村の糧にすればいい
利用できるものは利用してやらなくちゃな","Since arrival of demons,
many new materials have been found―
The villagers claim it's ominous and to avoid them,
but we should sell them to support the village.
Use whatever we can.","ui\00_message\quest_info\q21017023_00.gmd","\quest\q21017023.arc","q21017023.arc","3"
"7","q21017023_00_1233","エリアマスターに《<SQDI NAME>》を＜<SQDI NUM>＞つ納品する","Deliver <SQDI NUM> <SQDI NAME> to the Area Master","ui\00_message\quest_info\q21017023_00.gmd","\quest\q21017023.arc","q21017023.arc","7"
"5","q21017023_00_1236","＜曇天＞時に依頼者から詳細を聞く","Inquire details from the requester
during ""Cloudy"" weather","ui\00_message\quest_info\q21017023_00.gmd","\quest\q21017023.arc","q21017023.arc","5"
"4","q21017023_00_1249","＜曇天＞時にパーティメンバーを拠点内に集める","Gather party members in the camp
during ""Cloudy"" weather","ui\00_message\quest_info\q21017023_00.gmd","\quest\q21017023.arc","q21017023.arc","4"
"6","q21017023_00_1262","＜曇天＞の間に<AREA 17>で《<SQDI NAME>》を採取し＜<SQDI NUM>＞つ納品する","Obtain <SQDI NUM> <SQDI NAME> at <AREA 17>
during ""Cloudy"" weather","ui\00_message\quest_info\q21017023_00.gmd","\quest\q21017023.arc","q21017023.arc","6"
"0","q21017024_00_620","【竜力の扉】招かれざる侵翼","Door of Dragon Force: Uninvited Wings","ui\00_message\quest_info\q21017024_00.gmd","\quest\q21017024.arc","q21017024.arc","0"
"1","q21017024_00_620","【危険区域クエスト】
ダンジョン内の危険区域へ繋がる扉の鍵を作り
凶悪な魔物を討伐する","【Dangerous Area Quest】
Make a key to the door leading to the Dangerous 
Area in the dungeon and defeat Brutal monsters.","ui\00_message\quest_info\q21017024_00.gmd","\quest\q21017024.arc","q21017024.arc","1"
"2","q21017024_00_620","<NAME AREA>のダンジョン内部は、特別な
鍵を持った者だけが入れる場所があるらしい","Within the <NAME AREA> dungeon, 
there is a place that only those who possess
a special key can enter.","ui\00_message\quest_info\q21017024_00.gmd","\quest\q21017024.arc","q21017024.arc","2"
"3","q21017024_00_620","な、なんであの魔物がキンガルに――
くそ！　キンガルに派遣されたから
侵食の脅威からは離れられると思ったのに！
あいつを倒せば実力向上は必至だって――？
そんなの、俺には関係ないね！","W-Why is that monster in Kingal...
Damn! Being stationed in Kingal was supposed
to keep me safe from the Corruption!
You think beating it will make me stronger...?
That has nothing to do with me!","ui\00_message\quest_info\q21017024_00.gmd","\quest\q21017024.arc","q21017024.arc","3"
"4","q21017024_00_1170","遭遇した凶悪な魔物を討伐する","Defeat the encountered fiendish demons","ui\00_message\quest_info\q21017024_00.gmd","\quest\q21017024.arc","q21017024.arc","4"
"0","q22018000_00_640","弱り目に盗み目","Another Misfortune","ui\00_message\quest_info\q22018000_00.gmd","\quest\q22018000.arc","q22018000.arc","0"
"1","q22018000_00_640","【敵群討伐クエスト】
依頼者から話を聞き
敵の群れを討伐する","【Enemy Horde Extermination Quest】
Listen to the client's request.
Exterminate the horde of enemies.","ui\00_message\quest_info\q22018000_00.gmd","\quest\q22018000.arc","q22018000.arc","1"
"2","q22018000_00_640","<NAME AREA>からの報告によると
魔物の勢力が一時的に増し、危険な状況にあるという","According to reports from <NAME AREA>, 
enemy forces have temporarily increased, 
and the situation is quite dangerous.","ui\00_message\quest_info\q22018000_00.gmd","\quest\q22018000.arc","q22018000.arc","2"
"3","q22018000_00_640","この戦時下じゃ、食料は一番の貴重品だ
なのに、ネズミやら魔物やらオークやら
こっそり忍び込んではくすねて行きやがる
戦いは、戦場だけじゃねえ
台所でも起きてるってことなのさ","In times of war, 
food is the most precious commodity.
And yet, rats and monsters and orcs
sneak in secretly and steal it away.
The battle isn't just on the battlefield,
it's happening in the kitchen too.","ui\00_message\quest_info\q22018000_00.gmd","\quest\q22018000.arc","q22018000.arc","3"
"10","q22018000_00_1169","依頼者に報告する","Report to the requester","ui\00_message\quest_info\q22018000_00.gmd","\quest\q22018000.arc","q22018000.arc","10"
"4","q22018000_00_1222","指定された場所で魔物の群れを探す(残り３)","Search for a group of monsters
at the designated location (3 remaining)","ui\00_message\quest_info\q22018000_00.gmd","\quest\q22018000.arc","q22018000.arc","4"
"6","q22018000_00_1223","残る魔物の群れを探す(残り２)","Search for the remaining groups of monsters
(2 remaining)","ui\00_message\quest_info\q22018000_00.gmd","\quest\q22018000.arc","q22018000.arc","6"
"8","q22018000_00_1224","残る魔物の群れを探す(残り１)","Find the group of monsters that remain
(1 remaining)","ui\00_message\quest_info\q22018000_00.gmd","\quest\q22018000.arc","q22018000.arc","8"
"5","q22018000_00_1225","遭遇した魔物群を討伐する","Defeat the encountered demon group","ui\00_message\quest_info\q22018000_00.gmd","\quest\q22018000.arc","q22018000.arc","5"
"7","q22018000_00_1225","遭遇した魔物群を討伐する","Defeat the encountered demon group","ui\00_message\quest_info\q22018000_00.gmd","\quest\q22018000.arc","q22018000.arc","7"
"9","q22018000_00_1225","遭遇した魔物群を討伐する","Defeat the encountered demon group","ui\00_message\quest_info\q22018000_00.gmd","\quest\q22018000.arc","q22018000.arc","9"
"0","q22018001_00_641","悪鬼軍の青田刈り","The Fiends' Early Harvest","ui\00_message\quest_info\q22018001_00.gmd","\quest\q22018001.arc","q22018001.arc","0"
"1","q22018001_00_641","【死亡チェッククエスト】
依頼者の願いを聞き入れ
一度も復活することなく狂暴な敵を討伐する","【Mortality Check Quest】
Listen to the requester's wish.
Defeat the ferocious enemy
without reviving even once.","ui\00_message\quest_info\q22018001_00.gmd","\quest\q22018001.arc","q22018001.arc","1"
"2","q22018001_00_641","<NAME AREA>にいる何者かが、魔物との勝負で
腕試しをしているようだ","Someone in the <NAME AREA> 
appears to be testing their skills
in a battle against an enemy.","ui\00_message\quest_info\q22018001_00.gmd","\quest\q22018001.arc","q22018001.arc","2"
"3","q22018001_00_641","残念ながらこの険しいアッカーシェランで
生き抜こうともがいているのは
人間とオークだけではない
我々は、野に生きる魔物たちをも
踏み越えていかなければならないのだ","Unfortunately, in this treacherous Acre Selund, 
it is not only humans and orcs
who are struggling to survive. 
We must also overcome the monsters
that dwell in the wilderness.","ui\00_message\quest_info\q22018001_00.gmd","\quest\q22018001.arc","q22018001.arc","3"
"4","q22018001_00_1174","指定された場所へ行き、狂暴な魔物を見つける","Go to the designated location
and find the rabid demon","ui\00_message\quest_info\q22018001_00.gmd","\quest\q22018001.arc","q22018001.arc","4"
"5","q22018001_00_1175","遭遇した魔物を討伐する","Defeat the encountered demons","ui\00_message\quest_info\q22018001_00.gmd","\quest\q22018001.arc","q22018001.arc","5"
"6","q22018001_00_1176","依頼者へ経緯を報告する","Report back to the requester","ui\00_message\quest_info\q22018001_00.gmd","\quest\q22018001.arc","q22018001.arc","6"
"0","q22018002_00_642","命知らずの敢行","A Reckless Action","ui\00_message\quest_info\q22018002_00.gmd","\quest\q22018002.arc","q22018002.arc","0"
"1","q22018002_00_642","【迅速救助クエスト】
依頼者が求める人物を捜索し
迅速に救助する","【Swift Rescue Quest】
Search for the person the client is seeking
and rescue them.","ui\00_message\quest_info\q22018002_00.gmd","\quest\q22018002.arc","q22018002.arc","1"
"2","q22018002_00_642","何者かからの、迅速な救援を求める声が
<NAME AREA>から届いているようだ","It seems that a voice requesting swift assistance 
has come from <NAME AREA>.","ui\00_message\quest_info\q22018002_00.gmd","\quest\q22018002.arc","q22018002.arc","2"
"3","q22018002_00_642","兵士は一人でも貴重だから
元は戦いとは無縁の村人たちでも
剣を握らなければならぬのは悲しいことです
私たち後方支援者は、一人でも多くの兵を
無事に帰すため日々気を配っているのです","It is sad that even villagers who
once had no part in war must now
grip swords. Every soldier is precious.
We, as rear support, are constantly
working to ensure as many soldiers
return safely as possible.","ui\00_message\quest_info\q22018002_00.gmd","\quest\q22018002.arc","q22018002.arc","3"
"7","q22018002_00_1169","依頼者に報告する","Report to the requester","ui\00_message\quest_info\q22018002_00.gmd","\quest\q22018002.arc","q22018002.arc","7"
"4","q22018002_00_1226","依頼者の求める人物を捜索する","Search for the person the client is seeking.","ui\00_message\quest_info\q22018002_00.gmd","\quest\q22018002.arc","q22018002.arc","4"
"5","q22018002_00_1227","魔物を迅速に討伐し捜索対象を救助する","Defeat the demon quickly and rescue your charge","ui\00_message\quest_info\q22018002_00.gmd","\quest\q22018002.arc","q22018002.arc","5"
"6","q22018002_00_1228","捜索対象の安否を確認する","Confirm the safety of your charge","ui\00_message\quest_info\q22018002_00.gmd","\quest\q22018002.arc","q22018002.arc","6"
"0","q22018003_00_643","弱卒の憂さ晴らし","The Cowardly Soldier's Distraction","ui\00_message\quest_info\q22018003_00.gmd","\quest\q22018003.arc","q22018003.arc","0"
"1","q22018003_00_643","【納品討伐クエスト】
依頼者に高価なアイテムを渡し
珍しい敵の居場所を聞き出す","【Delivery Hunt Quest】
Hand over a valuable item to the client
and locate the whereabouts of a rare enemy.","ui\00_message\quest_info\q22018003_00.gmd","\quest\q22018003.arc","q22018003.arc","1"
"2","q22018003_00_643","<NAME AREA>にいる何者かが
エリア内で取得できる珍しいアイテムを求めている","Someone in the <NAME AREA> is searching
for rare items that can be found within the area.","ui\00_message\quest_info\q22018003_00.gmd","\quest\q22018003.arc","q22018003.arc","2"
"3","q22018003_00_643","形勢不利に、なればなるほど
軍は強くなっていく
なぜなら、全てを失うことで
捨て身で戦うようになるからだ
若者たちが死ぬのを恐れなくなるからだ――","As things become more dire,
the army's strength only increases.
With nothing left to lose,
they fight with no regard for life.
The young no longer fear death―","ui\00_message\quest_info\q22018003_00.gmd","\quest\q22018003.arc","q22018003.arc","3"
"4","q22018003_00_1166","＜<SQDI NAME>＞を＜<SQDI NUM>＞個、依頼者に渡す（残り:<SQDI DNUM>）","Deliver <SQDI NUM> <SQDI NAME> to the requester
(need: <SQDI DNUM>)","ui\00_message\quest_info\q22018003_00.gmd","\quest\q22018003.arc","q22018003.arc","4"
"5","q22018003_00_1167","指定された場所へ魔物を探しに行く","Go to the designated location to search for enemy","ui\00_message\quest_info\q22018003_00.gmd","\quest\q22018003.arc","q22018003.arc","5"
"6","q22018003_00_1168","発見した魔物を討伐する","Defeat the found demons","ui\00_message\quest_info\q22018003_00.gmd","\quest\q22018003.arc","q22018003.arc","6"
"7","q22018003_00_1169","依頼者に報告する","Report to the requester","ui\00_message\quest_info\q22018003_00.gmd","\quest\q22018003.arc","q22018003.arc","7"
"0","q22018004_00_644","想いし君へ","To My Beloved","ui\00_message\quest_info\q22018004_00.gmd","\quest\q22018004.arc","q22018004.arc","0"
"1","q22018004_00_644","【納品クエスト】
依頼者の願いを聞き入れ
指定された物資を集めてくる","【Delivery Quest】
Listen to the requester's wishes
and gather the specified supplies.","ui\00_message\quest_info\q22018004_00.gmd","\quest\q22018004.arc","q22018004.arc","1"
"2","q22018004_00_644","物資を必要としている人物が
<NAME AREA>から協力を求めている","A person in need of supplies is seeking assistance
in <NAME AREA>.","ui\00_message\quest_info\q22018004_00.gmd","\quest\q22018004.arc","q22018004.arc","2"
