"#Index","Key","MsgJp","MsgEn","GmdPath","ArcPath","ArcName","ReadIndex"
"0","q40000124_00_124","森に潜む危機","In the Forest","ui\00_message\quest_info\q40000124_00.gmd","\quest\q40000124.arc","q40000124.arc","0"
"1","q40000124_00_124","ミスリウ森林には遺跡や洞窟なんかも結構あるが、そういう所は<LQEM>なんかの巣になることも多い
あいつらは群れると厄介だ。もし腕に覚えがあるなら、<LQVA>匹程度仕留めてくれ。報酬も多少は出すとも","I reported this to the temple as well, 
but I'll let you know here too. 
I saw <LQEM> 
by the river near the village. 
If they attack the village, 
it will be a disaster. 
I'll protect the village, so could someone nearby 
hunt down about <LQVA> of them?","ui\00_message\quest_info\q40000124_00.gmd","\quest\q40000124.arc","q40000124.arc","1"
"0","q40000125_00_125","まずいヤツ目撃情報","Eyewitness","ui\00_message\quest_info\q40000125_00.gmd","\quest\q40000125.arc","q40000125.arc","0"
"1","q40000125_00_125","神殿にも報告したが、こっちでも知らせておく
村近くの川辺で<LQEM>を見たんだ
もしヤツが村を襲ったら大変だ。俺は村を守るから、誰か近くを探って野郎を退治してきてくれ
ちなみに、その時見たのは<LQVA>匹だったぜ","Near my secret harvesting spot, <LQEM> 
has been wandering around in groups of <LQVA>. 
It's causing some trouble. 
I will pay for the help, 
so can someone deal with them?","ui\00_message\quest_info\q40000125_00.gmd","\quest\q40000125.arc","q40000125.arc","1"
"0","q40000126_00_126","採取の邪魔者","A Thievery","ui\00_message\quest_info\q40000126_00.gmd","\quest\q40000126.arc","q40000126.arc","0"
"1","q40000126_00_126","俺がマークしてる秘密の採取場所近くに、<LQEM>が<LQVA>匹うろつくようになってさ
ちーっとばかし難儀してるんだよな
お代は出すからさ、何とかしてくれないか？","Actually, I’m a bit troubled. <LQEM> 
has been trampling my garden. 
Could someone kind find and eliminate 
about <LQVA> of them? 
I would appreciate it.","ui\00_message\quest_info\q40000126_00.gmd","\quest\q40000126.arc","q40000126.arc","1"
"0","q40000127_00_127","庭の侵入者","Fenced Off","ui\00_message\quest_info\q40000127_00.gmd","\quest\q40000127.arc","q40000127.arc","0"
"1","q40000127_00_127","実は少し、困っているの。――というのも、<LQEM>が私の庭を踏み荒らすのよ
親切な方、<LQVA>匹程度見つけ出して、息の根を止めておいてくれないかしら
うふふ、よろしくお願いね","To the Arisen staying in the area, 
a notice from the temple. 
Reports have come in that <LQEM> 
has been increasing in recent years. 
If possible, in between your missions, 
please assist with the elimination of 
about <LQVA> of them.","ui\00_message\quest_info\q40000127_00.gmd","\quest\q40000127.arc","q40000127.arc","1"
"0","q40000128_00_128","白翼覚者隊・協力要請　ミスリウ森林","White Wings: Cooperation (Mysree Forest)","ui\00_message\quest_info\q40000128_00.gmd","\quest\q40000128.arc","q40000128.arc","0"
"1","q40000128_00_128","現地滞在中の覚者様に、神殿より通達です
近年任地にて<LQEM>が増えつつあるとの報告が上がっております。可能であれば任務の合間で構いませんので、<LQVA>体ほどの討伐にご協力をお願いします","To the Arisen staying in the area, 
a notice from the temple. 
If you encounter <LQEM> 
in your area, please ensure to eliminate at 
least <LQVA> of them to maintain regional safety.","ui\00_message\quest_info\q40000128_00.gmd","\quest\q40000128.arc","q40000128.arc","1"
"0","q40000129_00_129","白翼覚者隊・討伐任務　ミスリウ森林","White Wings: Elimination (Mysree Forest)","ui\00_message\quest_info\q40000129_00.gmd","\quest\q40000129.arc","q40000129.arc","0"
"1","q40000129_00_129","現地滞在中の覚者様に、神殿より通達です
任地にて<LQEM>を確認した場合、地域安全維持のため各自<LQVA>体以上の討伐を願いします","This is a notice from the temple to the 
Arisen staying in the area. 
If you encounter <LQEM> 
during your stay, we request that you eliminate 
at least <LQVA> of them 
to maintain regional safety.","ui\00_message\quest_info\q40000129_00.gmd","\quest\q40000129.arc","q40000129.arc","1"
"0","q40000130_00_130","＜エリアオーダー＞ミスリウ魔物征伐","Area Order: Mysree Demon Extermination","ui\00_message\quest_info\q40000130_00.gmd","\quest\q40000130.arc","q40000130.arc","0"
"1","q40000130_00_130","エリアマスターのパトリシアよ
リンウッドの近くにこの間、<LQEM>が何体か姿を現したの
この頃数が増えてきたのかもしれないわ。危険なことになる前に、<LQVA>体の討伐を頼めないかしら","This is fromArea Master Patricia.
Recently, near Lynwood, several <LQEM> 
creatures appeared.
Perhaps their numbers have been increasing lately.
Before it becomes dangerous, could you please 
help us by subjugating <LQVA> of them?","ui\00_message\quest_info\q40000130_00.gmd","\quest\q40000130.arc","q40000130.arc","1"
"0","q40000131_00_131","森の恵み","Gift of the Forest","ui\00_message\quest_info\q40000131_00.gmd","\quest\q40000131.arc","q40000131.arc","0"
"1","q40000131_00_131","森は素材の宝庫なの。特に、<LQIM>はよく採れるわね
丁度在庫を補充したいから、採ってきたなら<LQVA>個引きとるわよ。代金は提示額でどうかしら","The forest is a treasure trove of materials. 
Especially <LQIM> 
is plentiful. 
I need to restock, so if you bring <LQVA> of them, 
I will take them at the offered price.","ui\00_message\quest_info\q40000131_00.gmd","\quest\q40000131.arc","q40000131.arc","1"
"0","q40000132_00_132","仕入れ手伝い募集","Resupply","ui\00_message\quest_info\q40000132_00.gmd","\quest\q40000132.arc","q40000132.arc","0"
"1","q40000132_00_132","よぉ。今ちょっと手が離せなくてな、誰か仕入れ仕事を頼まれてくれないか？
<LQIM>を<LQVA>つばかりよろしく頼むよ
なあに、そこら辺ですぐ手に入るさ
小遣い稼ぎのつもりでよろしく","Hey. I'm a bit tied up right now, so could 
someone take on the task of procuring 
<LQIM>? 
I need about <LQVA>. 
It’s readily available around here. 
Just a little side job, please.","ui\00_message\quest_info\q40000132_00.gmd","\quest\q40000132.arc","q40000132.arc","1"
"0","q40000133_00_133","内緒で宝物持ってきて！","Bring the Secret Treasure!","ui\00_message\quest_info\q40000133_00.gmd","\quest\q40000133.arc","q40000133.arc","0"
"1","q40000133_00_133","今、誰が一番スゴイ宝を見つけられるか競争してるんだ
でも僕のはイマイチで――
ねぇ、<LQIM>ってのを見つけられたら一番になれると思うから、<LQVA>個持ってきてよ！
お礼はできるだけ出すから！","We’re currently having a competition to find the 
best treasure. Unfortunately, mine isn’t great. 
Hey, if you can find 
<LQIM>, 
I think you’ll be number one. 
Bring <LQVA> of them! 
I’ll reward you as much as I can!","ui\00_message\quest_info\q40000133_00.gmd","\quest\q40000133.arc","q40000133.arc","1"
"0","q40000134_00_134","合間の一杯","A Reprieve","ui\00_message\quest_info\q40000134_00.gmd","\quest\q40000134.arc","q40000134.arc","0"
