#Index,Key,MsgJp,MsgEn,GmdPath,ArcPath,ArcName,ReadIndex
143,SPOT_NAME_595,蒼水路,Blue Waterway,ui\00_message\common\spot_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,143
144,SPOT_NAME_596,呻きの枯れ井戸,Groaning Old Well,ui\00_message\common\spot_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,144
145,SPOT_NAME_598,バートランド墓地,Betland Cemetery,ui\00_message\common\spot_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,145
146,SPOT_NAME_599,廃墟の地下室,Ruins Cellar,ui\00_message\common\spot_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,146
147,SPOT_NAME_600,乾いた地下倉庫,Dry Underground Stores,ui\00_message\common\spot_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,147
148,SPOT_NAME_601,大石塊(アーク),Boulder (The Ark),ui\00_message\common\spot_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,148
149,SPOT_NAME_602,朽ちかけた井戸,Decaying Well,ui\00_message\common\spot_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,149
150,SPOT_NAME_604,術師の地下泉,Neophyte's Cellar,ui\00_message\common\spot_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,150
151,SPOT_NAME_605,灯台の地下倉庫,Lighthouse Underground Stores,ui\00_message\common\spot_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,151
152,SPOT_NAME_606,西ミスリウ橋,West Mysree Bridge,ui\00_message\common\spot_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,152
153,SPOT_NAME_607,不浄の地下水道,Foul Water Channel,ui\00_message\common\spot_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,153
154,SPOT_NAME_608,湖底連絡路,Lakebottom Connecting Passage,ui\00_message\common\spot_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,154
155,SPOT_NAME_609,封じの玄室,Sealed Sepulcher,ui\00_message\common\spot_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,155
156,SPOT_NAME_610,錬金研究室,Alchemy Laboratory,ui\00_message\common\spot_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,156
157,SPOT_NAME_611,宮殿前広場,Palace Plaza,ui\00_message\common\spot_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,157
158,SPOT_NAME_612,メルガン・アルケミデア,Mergan Alchemdia,ui\00_message\common\spot_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,158
