#Index,Key,MsgJp,MsgEn,GmdPath,ArcPath,ArcName,ReadIndex
8,GREAT_PURPOSE_9,エリアミッション《力に呑まれし王者》を攻略せよ！,"Clear Area Mission ""The Ruler Overwhelmed by
Power""!",ui\00_message\achievement\greate_purpose_6.gmd,\ui\uGUIGreatPurpose.arc,uGUIGreatPurpose.arc,8
9,GREAT_PURPOSE_10,エピタフロード《英霊眠りし道 メガドシスの記憶》を攻略せよ！,"Clear the Epitaph Road ""Heroic Spirit Sleeping
Path: Memory of Megadosys""!",ui\00_message\achievement\greate_purpose_6.gmd,\ui\uGUIGreatPurpose.arc,uGUIGreatPurpose.arc,9
10,GREAT_PURPOSE_11,サブストーリー《暗部を暴きし暗躍者》を支援せよ！,"Support Substory ""Expose the Dark Side to the One
Operating behind the Scenes""!",ui\00_message\achievement\greate_purpose_6.gmd,\ui\uGUIGreatPurpose.arc,uGUIGreatPurpose.arc,10
11,GREAT_PURPOSE_12,ウォーミッション《霧の森の死闘》を攻略せよ！,"Clear War Mission ""The Deathly Battle of the
Forest of Mist""!",ui\00_message\achievement\greate_purpose_6.gmd,\ui\uGUIGreatPurpose.arc,uGUIGreatPurpose.arc,11
12,GREAT_PURPOSE_13,エリアミッション《彼方より堕ち呼ばれし魔道》を攻略せよ！,"Clear Area Mission ""Magick Called to the Deepest
Depths""!",ui\00_message\achievement\greate_purpose_6.gmd,\ui\uGUIGreatPurpose.arc,uGUIGreatPurpose.arc,12
13,GREAT_PURPOSE_14,エピタフロード《英霊眠りし道 ウルテカの記憶》を攻略せよ！,"Clear the Epitaph Road ""Heroic Spirit Sleeping
Path: Memory of Urteca""!",ui\00_message\achievement\greate_purpose_6.gmd,\ui\uGUIGreatPurpose.arc,uGUIGreatPurpose.arc,13
14,GREAT_PURPOSE_15,,,ui\00_message\achievement\greate_purpose_6.gmd,\ui\uGUIGreatPurpose.arc,uGUIGreatPurpose.arc,14
15,GREAT_PURPOSE_16,ウォーミッション《蘇りし絶望の炎》を攻略せよ！,"Clear War Mission ""Resurrection of the Flame of
Despair""!",ui\00_message\achievement\greate_purpose_6.gmd,\ui\uGUIGreatPurpose.arc,uGUIGreatPurpose.arc,15
0,,"""筆跡が新しい日記のページが落ちている""","""The handwriting is from a page that has fallen
out of a new diary.""",ui\00_message\clan_dungeon_clue\c0011_n00.gmd,\ui\uGUIClanDungeonClue.arc,uGUIClanDungeonClue.arc,0
0,,"これほどに醜く、滑稽な姿の魔物は見た事が無い
変な話だが――自分があの魔物として
生まれなかった事に、感謝を覚えてすらいる","It's strange that I have never previously seen
demons of such an ugly,
comical figure like this...I should remember to
be thankful, to have not been born into
this world as one of those demons.",ui\00_message\clan_dungeon_clue\c0011_n00.gmd,\ui\uGUIClanDungeonClue.arc,uGUIClanDungeonClue.arc,1
0,,"戦いを重ねるごとに、憎めなく思えてきたが――
愛着が湧く前に、希少素材が入手できて良かった","Whenever I had fought a battle, my mind was clear
of hatred...
It was good that rare materials made themselves
available before I got too
hot-headed.",ui\00_message\clan_dungeon_clue\c0011_n00.gmd,\ui\uGUIClanDungeonClue.arc,uGUIClanDungeonClue.arc,2
0,,"さらに、戦いの中でこの地の魔物が
使っていた武器を入手する事もできた
故郷で流通していた物よりも
高度に鍛えられている","In addition, by battling the demon that laid
claim to
this place, I was able to get the weapon I had
been using forged to a
higher quality than those circulating around my
hometown.",ui\00_message\clan_dungeon_clue\c0011_n00.gmd,\ui\uGUIClanDungeonClue.arc,uGUIClanDungeonClue.arc,3
0,,"新たに訪れたこの地で、まだまだ知らない事は多い
素材だけでなく、多くの知識も
持ち帰る事ができそうだ","There are many things still unknown to me about
this
new place. Perhaps I may not only bring materials
home, but also a
wealth of knowledge.",ui\00_message\clan_dungeon_clue\c0011_n00.gmd,\ui\uGUIClanDungeonClue.arc,uGUIClanDungeonClue.arc,4
0,,起こるのは良い事ばかり――心配は杞憂だったのだ,"Only good things have occurred...I was needlessly
worried.",ui\00_message\clan_dungeon_clue\c0011_n00.gmd,\ui\uGUIClanDungeonClue.arc,uGUIClanDungeonClue.arc,5
0,,“筆跡が新しい日記のページが落ちている”,"""Bad fate""
...Aah, have you been creeping up on me without a
sound?",ui\00_message\clan_dungeon_clue\c0011_n01.gmd,\ui\uGUIClanDungeonClue.arc,uGUIClanDungeonClue.arc,0
0,,"数多の魔物を打ち倒し、
実力をつけていく手応えは確かに感じていた――
だからこそ、慢心があったのかもしれない","I certainly felt the way to put my skills to the
test,
was to defeat a multitude of monsters...
Perhaps I was too overconfident in my ability.",ui\00_message\clan_dungeon_clue\c0011_n01.gmd,\ui\uGUIClanDungeonClue.arc,uGUIClanDungeonClue.arc,1
0,,"先の戦いで手負いだとしても、油断があったとしても
こうも簡単に囲まれるとは情けない――","Even if you purposely throw the previous battle,
and even if you
were unprepared, it is pitiful to be surrounded
as easily as this...",ui\00_message\clan_dungeon_clue\c0011_n01.gmd,\ui\uGUIClanDungeonClue.arc,uGUIClanDungeonClue.arc,2
0,,"暗闇の先から、盗賊たちの息遣いが聞こえる
この緊張を破るきっかけがあれば、
飢えた狼のように一斉に飛びかかる気なのだろう","From the darkness, you can hear the thieves
breathing as
they wait for a chance to break the tension in
the air.
Perhaps they're going to jump out and strike in
unison like starving wolves.",ui\00_message\clan_dungeon_clue\c0011_n01.gmd,\ui\uGUIClanDungeonClue.arc,uGUIClanDungeonClue.arc,3
0,,"全てを塔に置いてきたことだけが、唯一の救いだ
あの妖しき宝は、盗賊ごときに渡すのは惜しいからな","Putting everything into the tower, may prove to
be my salvation.
That bewitching treasure, it would be regrettable
to hand it over to someone such as a thief.",ui\00_message\clan_dungeon_clue\c0011_n01.gmd,\ui\uGUIClanDungeonClue.arc,uGUIClanDungeonClue.arc,4
0,,"“良くない運命”
――あぁ、音も無く忍び寄られていたのか","""Bad fate""
...Aah, have you been creeping up on me without a
sound?",ui\00_message\clan_dungeon_clue\c0011_n01.gmd,\ui\uGUIClanDungeonClue.arc,uGUIClanDungeonClue.arc,5
0,,"""日記の１ページが落ちている""","""A page out of a diary has fallen down.""",ui\00_message\clan_dungeon_clue\c0011_n02.gmd,\ui\uGUIClanDungeonClue.arc,uGUIClanDungeonClue.arc,0
