0,,うう――,Ugh...,ui\00_message\event\st0213\ev005.gmd,\event\st0213\st0213ev005.arc,st0213ev005.arc,9
0,,カミュからの伝言が届いたよ,I received a message from Camus.,ui\00_message\event\st0213\ev010.gmd,\event\st0213\st0213ev010.arc,st0213ev010.arc,0
0,,"薬、意外と早くできそうだから
でき次第持ってきてくれるって","The medicine can be made faster than expected,
so they'll bring it as soon as it's ready.",ui\00_message\event\st0213\ev010.gmd,\event\st0213\st0213ev010.arc,st0213ev010.arc,1
0,,これでロイグは大丈夫！,Now Loeg will be fine!,ui\00_message\event\st0213\ev010.gmd,\event\st0213\st0213ev010.arc,st0213ev010.arc,2
0,,"ありがとう――
みんながわたしのために奔走してくれて――","Thank you...
Everyone has been working so hard for me...",ui\00_message\event\st0213\ev010.gmd,\event\st0213\st0213ev010.arc,st0213ev010.arc,3
0,,たとえ病気が治らなくても、この恩は一生忘れない,"Even if the disease can't be cured,
I'll never forget this kindness.",ui\00_message\event\st0213\ev010.gmd,\event\st0213\st0213ev010.arc,st0213ev010.arc,4
0,,大袈裟だなあ,That's quite an exaggeration.,ui\00_message\event\st0213\ev010.gmd,\event\st0213\st0213ev010.arc,st0213ev010.arc,5
0,,"病人を放っておくような冷たい人は
ここにはひとりだっていないんだから","In a place like this, no one is so coldhearted
as to leave the sick by themselves.",ui\00_message\event\st0213\ev010.gmd,\event\st0213\st0213ev010.arc,st0213ev010.arc,6
0,,族長か王にでもなった気分だよ,It feels like I've become a chief or king.,ui\00_message\event\st0213\ev010.gmd,\event\st0213\st0213ev010.arc,st0213ev010.arc,7
0,,なに言ってんの,What are you saying?,ui\00_message\event\st0213\ev010.gmd,\event\st0213\st0213ev010.arc,st0213ev010.arc,8
0,,"この白竜の大陸では
誰でも病気を治して貰えるのかい？","Can anyone get their illness cured
in this White Dragon's continent?",ui\00_message\event\st0213\ev010.gmd,\event\st0213\st0213ev010.arc,st0213ev010.arc,9
0,,"病気が平等なら治療も平等
生きたい気持ちはみんな同じでしょ","If diseases are equal, so shall treatment be.
Everyone has the same desire to live, right?",ui\00_message\event\st0213\ev010.gmd,\event\st0213\st0213ev010.arc,st0213ev010.arc,10
0,,へえ――,Is that so...,ui\00_message\event\st0213\ev010.gmd,\event\st0213\st0213ev010.arc,st0213ev010.arc,11
0,,"いいところだ
ここはとても、いいところだ――","How great...
This place, it's really nice...",ui\00_message\event\st0213\ev010.gmd,\event\st0213\st0213ev010.arc,st0213ev010.arc,12
0,,さあ、やれよ,"Now, give it a try.",ui\00_message\event\st0213\ev015.gmd,\event\st0213\st0213ev015.arc,st0213ev015.arc,0
0,,どうやるんですかね,How shall I go about it?,ui\00_message\event\st0213\ev015.gmd,\event\st0213\st0213ev015.arc,st0213ev015.arc,1
0,,抱きしめるとか？,Like hugging?,ui\00_message\event\st0213\ev015.gmd,\event\st0213\st0213ev015.arc,st0213ev015.arc,2
0,,はっ,Ah!,ui\00_message\event\st0213\ev015.gmd,\event\st0213\st0213ev015.arc,st0213ev015.arc,3
0,,良かった――,I'm so glad...,ui\00_message\event\st0213\ev015.gmd,\event\st0213\st0213ev015.arc,st0213ev015.arc,4
0,,"ありがとうございます
また、助けていただきましたね",Thank you. You've helped me again.,ui\00_message\event\st0213\ev015.gmd,\event\st0213\st0213ev015.arc,st0213ev015.arc,5
0,,どんな感じ？,How does it feel?,ui\00_message\event\st0213\ev015.gmd,\event\st0213\st0213ev015.arc,st0213ev015.arc,6
0,,"力がみなぎっています
これは――",I'm brimming with power. This is...,ui\00_message\event\st0213\ev015.gmd,\event\st0213\st0213ev015.arc,st0213ev015.arc,7
0,,竜力の効能だよ,It's Dragon Force.,ui\00_message\event\st0213\ev015.gmd,\event\st0213\st0213ev015.arc,st0213ev015.arc,8
0,,"わたしは――思い出しました
おそらく、すべて","I... I remember.
I probably remember everything.",ui\00_message\event\st0213\ev015.gmd,\event\st0213\st0213ev015.arc,st0213ev015.arc,9
0,,"わたしはフィンダム大陸の覚者――
精霊竜ウィルミアの覚者、セシリーです","I am Cecily, the Arisen of the Spirit Dragon,
Willmia, on the Phindym continent.",ui\00_message\event\st0213\ev015.gmd,\event\st0213\st0213ev015.arc,st0213ev015.arc,10
