#Index,Key,MsgJp,MsgEn,GmdPath,ArcPath,ArcName,ReadIndex,,
0,,"くそっ！　まずは負傷者を保護して船に戻る！
神殿には情報が集まっているはずだ","Damn it!
First, we must protect the wounded
and get back to the ship!
The temple should have the information we need.",ui\00_message\event\st0572\ev015.gmd,\event\st0572\st0572ev015.arc,st0572ev015.arc,1,,
0,,"気をつけて――変な奴がいる！
ほら――来た！","Watch out—there's someone suspicious!
Look—here they come!",ui\00_message\event\st0576\ev000.gmd,\event\st0576\st0576ev000.arc,st0576ev000.arc,0,,
0,,やった――,We did it!,ui\00_message\event\st0576\ev005.gmd,\event\st0576\st0576ev005.arc,st0576ev005.arc,0,,
0,,"ふう――助かった
じゃあ、調査の続きを――","Phew... I'm saved.
Well then, let's continue the investigation...",ui\00_message\event\st0576\ev005.gmd,\event\st0576\st0576ev005.arc,st0576ev005.arc,1,,
0,,待ちなさい――クラウス、待って,"Wait... Klaus, wait.",ui\00_message\event\st0576\ev005.gmd,\event\st0576\st0576ev005.arc,st0576ev005.arc,2,,
0,,"あんたの意見を尊重して
調査を引き延ばした結果――","As a result of respecting your opinion
and thus, prolonging the investigation...",ui\00_message\event\st0576\ev005.gmd,\event\st0576\st0576ev005.arc,st0576ev005.arc,3,,
0,,"こんなことになってしまった
これ以上、認めるわけにはいかない","It's turned out like this.
I can't let you continue any further.",ui\00_message\event\st0576\ev005.gmd,\event\st0576\st0576ev005.arc,st0576ev005.arc,4,,
0,,"でも――でも、分かるだろ？
これはよその世界から来たんだ","But— but, you understand, right?
They came from another world.",ui\00_message\event\st0576\ev005.gmd,\event\st0576\st0576ev005.arc,st0576ev005.arc,5,,
0,,ほら――,Don't you see...?,ui\00_message\event\st0576\ev005.gmd,\event\st0576\st0576ev005.arc,st0576ev005.arc,6,,
0,,"本物の《溶命炉》だよ？
実在したんだ――やっぱり――","Is this the genuine Furnace?
It actually exists! Just like I thought!",ui\00_message\event\st0576\ev005.gmd,\event\st0576\st0576ev005.arc,st0576ev005.arc,7,,
0,,帰ろう――,Let's go home...,ui\00_message\event\st0576\ev005.gmd,\event\st0576\st0576ev005.arc,st0576ev005.arc,8,,
0,,"クラウスはわたしが責任を持って
運ぶからさ",I'll be responsible for carrying him back.,ui\00_message\event\st0576\ev005.gmd,\event\st0576\st0576ev005.arc,st0576ev005.arc,9,,
0,,全部わたしのせいだな,It's all my fault.,ui\00_message\event\st0576\ev005.gmd,\event\st0576\st0576ev005.arc,st0576ev005.arc,10,,
0,,"あのさ――
報告、任せるよ","Hey, listen...
I'll leave the report to you.",ui\00_message\event\st0576\ev005.gmd,\event\st0576\st0576ev005.arc,st0576ev005.arc,11,,
0,,"わたしは――
レオに会わせる顔がないや",I... don't have it in me to face Leo.,ui\00_message\event\st0576\ev005.gmd,\event\st0576\st0576ev005.arc,st0576ev005.arc,12,,
0,,やあ、お疲れさま,"Hey, well done.",ui\00_message\event\st0622\ev000.gmd,\event\st0622\st0622ev000.arc,st0622ev000.arc,0,,
0,,まず、僕から説明することがある,"First, there is something I must explain.",ui\00_message\event\st0622\ev000.gmd,\event\st0622\st0622ev000.arc,st0622ev000.arc,1,,
0,,現段階において――,At this stage...,ui\00_message\event\st0622\ev000.gmd,\event\st0622\st0622ev000.arc,st0622ev000.arc,2,,
0,,"ディアマンテスは街の一角に
封じられた状態なんだ","Diamantes is sealed away
at a location in the city.",ui\00_message\event\st0622\ev000.gmd,\event\st0622\st0622ev000.arc,st0622ev000.arc,3,,
0,,"白竜様が街を次元の歪みに
封じた後――","After the White Dragon sealed the town
in a dimensional distortion...",ui\00_message\event\st0622\ev000.gmd,\event\st0622\st0622ev000.arc,st0622ev000.arc,4,,
0,,"さらにテオドールたちが
ディアマンテスを閉じ込めたんだ","Theodor and the others even
managed to imprison Diamantes.",ui\00_message\event\st0622\ev000.gmd,\event\st0622\st0622ev000.arc,st0622ev000.arc,5,,
0,,"でも、奴は封印の中から
力を発揮できるわけだから――","However, he can still exert his power
from within the seal, so...",ui\00_message\event\st0622\ev000.gmd,\event\st0622\st0622ev000.arc,st0622ev000.arc,6,,
0,,"これはもう封印の術が解けかかっていると
考えるしかない――つまり時間がないんだ","We can now only assume that the seal
is already starting to unravel...
In other words, time is running out.",ui\00_message\event\st0622\ev000.gmd,\event\st0622\st0622ev000.arc,st0622ev000.arc,7,,
0,,"だから、我々の手で封印を解いて
先手を打つしかない","So, we must unseal it ourselves
and make the first move.",ui\00_message\event\st0622\ev000.gmd,\event\st0622\st0622ev000.arc,st0622ev000.arc,8,,
0,,"まあ、問題は幾つかあるが――
まず、封印の鍵を手に入れよう","Well, there are a few problems, but first,
we must obtain the key to the seal.",ui\00_message\event\st0622\ev000.gmd,\event\st0622\st0622ev000.arc,st0622ev000.arc,9,,
0,,"鍵は、このメルゴダを守護する
巨人兵が持っている","The key is held by the Giant Warriors
who guard Mergoda.",ui\00_message\event\st0622\ev000.gmd,\event\st0622\st0622ev000.arc,st0622ev000.arc,10,,
0,,"きみたち――ご苦労だが
巨人兵を探して、鍵を手に入れてくれ","Good sers, I know it's a lot to ask,
but please find the Giant Warriors
and retrieve the key.",ui\00_message\event\st0622\ev000.gmd,\event\st0622\st0622ev000.arc,st0622ev000.arc,11,,
