#Index,Key,MsgJp,MsgEn,GmdPath,ArcPath,ArcName,ReadIndex
0,,ふん、身の程知らずめ,"Ignorant fool, know your place.",ui\00_message\npc\base\n0024.gmd,\npc\n0024.arc,n0024.arc,10
0,,"アッカーシェランは、本当は良いところなんです
落ち着いたら案内させてくださいね","Acre Selund is actually a nice place. Please let
me guide you once you settle down.",ui\00_message\npc\base\n0029.gmd,\npc\n0029.arc,n0029.arc,0
0,,悪しき竜は憎き敵――国の仇です,"The Evil Dragon is a hated enemy - the nation's
foe.",ui\00_message\npc\base\n0029.gmd,\npc\n0029.arc,n0029.arc,1
0,,"けれども、隊長さんたちと会わせてくれたこと――
これだけは感謝しています","However, I am grateful for allowing me to meet
with the captains.",ui\00_message\npc\base\n0029.gmd,\npc\n0029.arc,n0029.arc,2
0,,"いつもなんのおもてなしもできずに
申し訳ありません――ごめんなさい","I apologize for not being able to provide any
hospitality. I'm sorry.",ui\00_message\npc\base\n0029.gmd,\npc\n0029.arc,n0029.arc,3
0,,ジリアンは本当に頼りになります,Gillian is really reliable.,ui\00_message\npc\base\n0029.gmd,\npc\n0029.arc,n0029.arc,4
0,,"このアッカーシェランには他にもあのような
勇気ある人がいるのでしょうか","Are there any other brave people like that in
Acre Selund?",ui\00_message\npc\base\n0029.gmd,\npc\n0029.arc,n0029.arc,5
0,,"僕は王子なのですが、王族としての教育半ばで
城にいられなくなってしまいました","I am a prince, but I had to leave the castle
halfway through my royal education.",ui\00_message\npc\base\n0029.gmd,\npc\n0029.arc,n0029.arc,6
0,,不作法があったら――お詫びします,If there was any rudeness— I apologize.,ui\00_message\npc\base\n0029.gmd,\npc\n0029.arc,n0029.arc,7
0,,"メイロワ将軍は王家の一番の家臣です
困ったことがあったらメイロワに言ってくださいね","General Meirova is the king's most loyal
retainer. If you have any trouble, please let
Meirova know.",ui\00_message\npc\base\n0029.gmd,\npc\n0029.arc,n0029.arc,8
0,,"悪しき竜に荒らされたアッカーシェラン――
みんなで力を合わせて元に戻すんです！","Acre Selund has been ravaged by The Evil Dragon--
We all have to work together to restore it!",ui\00_message\npc\base\n0029.gmd,\npc\n0029.arc,n0029.arc,9
0,,僕には病で命を落とした姉がいました,I had a sister who passed away from illness.,ui\00_message\npc\base\n0029.gmd,\npc\n0029.arc,n0029.arc,10
0,,"姉が王座を継ぐと思っていたので――
内緒ですよ？　こんな立場に戸惑っています","I thought my sister would inherit the throne, so--
It's a secret, you know? I'm confused in this
position.",ui\00_message\npc\base\n0029.gmd,\npc\n0029.arc,n0029.arc,11
0,,隊長、エリオット、ガルドリン、リズ――,"Captain, Elliot, Gurdolin, Lise—",ui\00_message\npc\base\n0029.gmd,\npc\n0029.arc,n0029.arc,12
0,,"たとえこの先に、何が起ころうと
皆さんの名前はアッカーシェランの歴史に
刻まれることでしょう","Whatever happens next, your names will be etched
in Acre Selund's history.",ui\00_message\npc\base\n0029.gmd,\npc\n0029.arc,n0029.arc,13
0,,"天はその者に耐えられる苦難しか与えない
と聞きます","Heaven only bestows hardships that one can
endure, or so I hear",ui\00_message\npc\base\n0029.gmd,\npc\n0029.arc,n0029.arc,14
0,,"どう思いますか？
たとえ思いはどうあれ、その通りだと
言ってくださいね","What do you think? No matter what you think,
please say it exactly as it is.",ui\00_message\npc\base\n0029.gmd,\npc\n0029.arc,n0029.arc,15
0,,はい、僕に用でしょうか？,"Yes, you wanted to see me?",ui\00_message\npc\base\n0029.gmd,\npc\n0029.arc,n0029.arc,16
0,,"覚者として――そして戦士として
いろいろ教えてくださいね","As an Arisen--and a warrior, I hope you can teach
me a lot!",ui\00_message\npc\base\n0029.gmd,\npc\n0029.arc,n0029.arc,17
0,,"陣の奧で守られているだけなんて
僕はいやですから","Yes, I don't want to just be protected at the
back of the battlefield.",ui\00_message\npc\base\n0029.gmd,\npc\n0029.arc,n0029.arc,18
0,,"隊長さん、僕は人々の希望であらねば
なりません","Captain, I must be the hope of the people",ui\00_message\npc\base\n0029.gmd,\npc\n0029.arc,n0029.arc,19
0,,"それには、どう振る舞えばよいのか――
なかなかの難問です","And how should one behave in that situation? It's
quite a difficult problem.",ui\00_message\npc\base\n0029.gmd,\npc\n0029.arc,n0029.arc,20
0,,"緊張しますね
いくさはいつもこうなのですか？","I'm nervous, aren't you? Is it always like this
before a battle?",ui\00_message\npc\base\n0029.gmd,\npc\n0029.arc,n0029.arc,21
0,,"僕はまだまだです
もっともっと強くならなくてはなりません","I am still lacking. I must become stronger, much
stronger.",ui\00_message\npc\base\n0029.gmd,\npc\n0029.arc,n0029.arc,22
0,,"秘密の入り口が見つかったら
あとは任せてください","Once you find the secret entrance
we'll take care of the rest.",ui\00_message\npc\base\n0029.gmd,\npc\n0029.arc,n0029.arc,23
0,,扉の先は必ず展望城へと通じているはずです,"The path beyond the door must lead to Lookout
Castle.",ui\00_message\npc\base\n0029.gmd,\npc\n0029.arc,n0029.arc,24
0,,"少なくとも、王家の秘密の扉は
存在したわけですから","At the very least, the secret door of the royal
family existed.",ui\00_message\npc\base\n0029.gmd,\npc\n0029.arc,n0029.arc,25
0,,"隊長さん、ありがとうございます
ここまで来られたのも隊長さんたちの
おかげです","Thank you, Captain. It's thanks to you all that
we've made it this far.",ui\00_message\npc\base\n0029.gmd,\npc\n0029.arc,n0029.arc,26
0,,"こうして再び展望城に立つことができるとは――
感慨無量です","To be able to stand in Lookout Castle again like
this ―― it's an indescribable feeling.",ui\00_message\npc\base\n0029.gmd,\npc\n0029.arc,n0029.arc,27
