#Index,Key,MsgJp,MsgEn,GmdPath,ArcPath,ArcName,ReadIndex
0,,"ごめんね、急いではいるんだけど
もう少しかかりそう――","I'm sorry, but I'm in a hurry, so it might take a
little longer...",ui\00_message\npc\base\n0608.gmd,\npc\n0608.arc,n0608.arc,9
0,,"だけど、きっとやり遂げるわ
あなたに協力することが
王家のためになるはずですもの","But I'm sure we'll get it done.
Helping you will be for the good of the royal
family.",ui\00_message\npc\base\n0608.gmd,\npc\n0608.arc,n0608.arc,10
0,,"わたしたちがこうしていられるのも
ようするに、この地に充満した
竜力みたいなモノのお陰――
そういう力が溜まりやすいのよね、ここって","The reason we can exist like this is essentially
because of the Dragon Force that pervades this
place. It's easy for that kind of power to
accumulate here.",ui\00_message\npc\base\n0608.gmd,\npc\n0608.arc,n0608.arc,11
0,,"出られるものなら、わたしたちだって
ここを飛び出して行くわ――
でも、ここでしか姿を保てないんですもの","If we could go, we would also venture out of
here— but we can only maintain our presence here.",ui\00_message\npc\base\n0608.gmd,\npc\n0608.arc,n0608.arc,12
0,,"わたしはイゼル――
あなたはきっと、私の名をご存じないだろうけど",I am Isel-- You probably don't know my name.,ui\00_message\npc\base\n0608.gmd,\npc\n0608.arc,n0608.arc,13
0,,"この弓で何度、王家を狙う不届き者を射抜いたことか
でも、今はそうすることもできないのよね
歯がゆいわ","Worrying is not in my nature. Let me go where the
fighting is.",ui\00_message\npc\base\n0608.gmd,\npc\n0608.arc,n0608.arc,14
0,,"あら、あなたのお仲間さんは
もう道を拓いているようね","Oh, looks like your fellow is already blazing a
trail.",ui\00_message\npc\base\n0608.gmd,\npc\n0608.arc,n0608.arc,15
0,,"お仲間さんの力をたどって
一時的に道を開くこともできるわよ
どうする？","We can temporarily open a path by following the
power of your comrades. What do you want to do?",ui\00_message\npc\base\n0608.gmd,\npc\n0608.arc,n0608.arc,16
0,,通常開拓する,Explore normally,ui\00_message\npc\base\n0608.gmd,\npc\n0608.arc,n0608.arc,17
0,,仲間の力をたどる,Follow the power of your companion,ui\00_message\npc\base\n0608.gmd,\npc\n0608.arc,n0608.arc,18
0,,"私はアッカー王家に仕えてきた
ダーマードという――
貴殿をこの先へ導こう","I have served the Acre royal family.
My name is Damad.
I will guide you from now on.",ui\00_message\npc\base\n0609.gmd,\npc\n0609.arc,n0609.arc,0
0,,"ほこらの中にただよう力を
私の元まで集めてきてくれないか
さすれば、ここを埋める土砂を一掃してみせよう","Gather the power that lies within the dust and
come to me, and I will sweep away the sediment
that fills this place!",ui\00_message\npc\base\n0609.gmd,\npc\n0609.arc,n0609.arc,1
0,,"――よくやってくれた
これだけの力が戻れば
この道を拓く程度のことはできるだろう","You did well. If only this much strength can
return, we should be able to clear this path.",ui\00_message\npc\base\n0609.gmd,\npc\n0609.arc,n0609.arc,2
