#Index,Key,MsgJp,MsgEn,GmdPath,ArcPath,ArcName,ReadIndex
0,,身の証を立ててから出直してくるんだね,Come back after proving your worth.,ui\00_message\npc\base\n2513.gmd,\npc\n2513.arc,n2513.arc,7
0,,"別の国の覚者――
何だ、話聞く","Arisen from another country...
Well, what's the story?",ui\00_message\npc\base\n2550.gmd,\npc\n2550.arc,n2550.arc,0
0,,"安全守るの、手間かかってる
泊まるなら<VAL PRICE_INN>いる","Protecting safety is time-consuming.
If you stay, it will cost <VAL PRICE_INN>.",ui\00_message\npc\base\n2550.gmd,\npc\n2550.arc,n2550.arc,1
0,,はい,OK,ui\00_message\npc\base\n2550.gmd,\npc\n2550.arc,n2550.arc,2
0,,いいえ,Cancel,ui\00_message\npc\base\n2550.gmd,\npc\n2550.arc,n2550.arc,3
0,,"金、いらない
安全な寝床、好きに休んでいけ","Gold, I don't need it.
A safe sleeping place, rest as you please.",ui\00_message\npc\base\n2550.gmd,\npc\n2550.arc,n2550.arc,4
0,,はい,OK,ui\00_message\npc\base\n2550.gmd,\npc\n2550.arc,n2550.arc,5
0,,いいえ,Cancel,ui\00_message\npc\base\n2550.gmd,\npc\n2550.arc,n2550.arc,6
0,,"俺《弱化の治療》できる
<VAL PRICE_WEAK>だ","If it's ""Treat Weakness"", it's <VAL PRICE_WEAK>.
What do you want to do?",ui\00_message\npc\base\n2550.gmd,\npc\n2550.arc,n2550.arc,7
0,,はい,OK,ui\00_message\npc\base\n2550.gmd,\npc\n2550.arc,n2550.arc,8
0,,いいえ,Cancel,ui\00_message\npc\base\n2550.gmd,\npc\n2550.arc,n2550.arc,9
0,,"弱化――？
なってない
気にしすぎだ","Weakened――?
Not at all.
You're worrying too much.",ui\00_message\npc\base\n2550.gmd,\npc\n2550.arc,n2550.arc,10
0,,"お前、珍しい客だ
皆、お前が気になってる","You're a rare customer.
Everyone is curious about you.",ui\00_message\npc\base\n2550.gmd,\npc\n2550.arc,n2550.arc,11
