#Index,Key,MsgJp,MsgEn,GmdPath,ArcPath,ArcName,ReadIndex
0,,"どうしたらいいのかしら
こんなはずじゃなかったわ
幸せってどうやって見つけるものだったかしら","What should I do? This isn't how it was supposed
to be.
I wonder how you're supposed to find happiness.",ui\00_message\npc\base\n3146.gmd,\npc\n3146.arc,n3146.arc,3
0,,"覚者様は僕たちのこと
いつまで助けてくれるの――？","Master Arisen, how long will you continue to help
us?",ui\00_message\npc\base\n3147.gmd,\npc\n3147.arc,n3147.arc,0
0,,"もうずっと体の具合がよくないんだ
ううん、戦争が始まる前からだけどね","My physical condition hasn't been good for a
while now.
Not since before the war started, indeed.",ui\00_message\npc\base\n3147.gmd,\npc\n3147.arc,n3147.arc,1
0,,"きっとこれから大変だよね
村を作り直すんだもん
僕の居場所はあるのかな","I'm sure it's going to be tough from now on,
since we have to rebuild the village.
I wonder if there's a place for me.",ui\00_message\npc\base\n3147.gmd,\npc\n3147.arc,n3147.arc,2
0,,"魔軍から生きて解放されたし
兵士さんもたくさん来てくれたけど――","I was released from the demon army, and many
soldiers came to help, but...",ui\00_message\npc\base\n3147.gmd,\npc\n3147.arc,n3147.arc,3
0,,こんにちは・仮,"Hello, temporary",ui\00_message\npc\base\n3150.gmd,\npc\n3150.arc,n3150.arc,0
0,,雑談１・仮,"Small talk 1, temporary",ui\00_message\npc\base\n3150.gmd,\npc\n3150.arc,n3150.arc,1
0,,雑談２・仮,"Small talk 2, temporary",ui\00_message\npc\base\n3150.gmd,\npc\n3150.arc,n3150.arc,2
0,,雑談３・仮,"Small talk 3, temporary",ui\00_message\npc\base\n3150.gmd,\npc\n3150.arc,n3150.arc,3
0,,こんにちは・仮,"Hello, temporary",ui\00_message\npc\base\n3151.gmd,\npc\n3151.arc,n3151.arc,0
0,,雑談１・仮,"Small talk 1, temporary",ui\00_message\npc\base\n3151.gmd,\npc\n3151.arc,n3151.arc,1
0,,雑談２・仮,"Small talk 2, temporary",ui\00_message\npc\base\n3151.gmd,\npc\n3151.arc,n3151.arc,2
0,,雑談３・仮,"Small talk 3, temporary",ui\00_message\npc\base\n3151.gmd,\npc\n3151.arc,n3151.arc,3
0,,こんにちは・仮,"Hello, temporary",ui\00_message\npc\base\n3152.gmd,\npc\n3152.arc,n3152.arc,0
0,,雑談１・仮,"Small talk 1, temporary",ui\00_message\npc\base\n3152.gmd,\npc\n3152.arc,n3152.arc,1
0,,雑談２・仮,"Small talk 2, temporary",ui\00_message\npc\base\n3152.gmd,\npc\n3152.arc,n3152.arc,2
0,,雑談３・仮,"Small talk 3, temporary",ui\00_message\npc\base\n3152.gmd,\npc\n3152.arc,n3152.arc,3
0,,はい、何か,"Aye, what is it?",ui\00_message\npc\base\n3200.gmd,\npc\n3200.arc,n3200.arc,0
0,,"地下に隠れ潜んでいても
情報収集は怠っておりません
この地区のことであれば、何なりと","Even while hiding underground, I haven't
neglected to gather information.
If it's about this area, feel free to ask
anything.",ui\00_message\npc\base\n3200.gmd,\npc\n3200.arc,n3200.arc,1
0,,"新たな情報でしょうか、それとも
何かお困りのことでも――？","Is there any new information, or is there
something troubling you?",ui\00_message\npc\base\n3200.gmd,\npc\n3200.arc,n3200.arc,2
0,,"メガドシスにおいて
アッカー家と覚者様をお支えすることが
第一の使命と考えております","In Megado, our first and foremost mission is to
support the Acre family and the esteemed Arisen.",ui\00_message\npc\base\n3200.gmd,\npc\n3200.arc,n3200.arc,3
0,,"まったく頭が痛くなることばかりですね
――いえ、頭痛持ちというわけでは
ありませんが","Seems like nothing but headaches, doesn't it?
--Well, I don't mean I suffer from headaches, but
you get the idea.",ui\00_message\npc\base\n3200.gmd,\npc\n3200.arc,n3200.arc,4
0,,"残念ながら、この状況です
十分な情報を提供できないのは
私も遺憾に思っています","Unfortunately, this is the current situation.
Regretfully, I've naught else to provide.",ui\00_message\npc\base\n3200.gmd,\npc\n3200.arc,n3200.arc,5
0,,"やるべきことをやるのみ
兵士とはそういったものです","We do what we have to do.
That's what being a soldier is all about.",ui\00_message\npc\base\n3200.gmd,\npc\n3200.arc,n3200.arc,6
0,,"メガドを取り戻せたのは僥倖です
――はやく王宮を奪還したいものです
私たちは、本来あそこにいるべきなのです","It is a stroke of luck that we were able to
reclaim Megado.
I hope we can retake the Royal Palace soon.
That's where we should be, where we truly belong.",ui\00_message\npc\base\n3200.gmd,\npc\n3200.arc,n3200.arc,7
0,,"王族を、王都をお守りするのが
我らメガド王宮近衛隊の使命――
一度その名が折れた悔しさを糧に
明日を切り開くのみです","Our mission as the Megado Royal Guard is to
protect the Royal Family and the capital.
We must use the regret of our past failures as
fuel to carve out a path towards a brighter
future.",ui\00_message\npc\base\n3200.gmd,\npc\n3200.arc,n3200.arc,8
0,,"王子を守りぬかねばなりません
何としても――","We must protect the prince.
At all costs--",ui\00_message\npc\base\n3200.gmd,\npc\n3200.arc,n3200.arc,9
0,,"覚者様のお噂、この北の地まで響いてまいりました
王子を――ネド王子を救い出してくださったとのこと
我々近衛隊一同、心よりの感謝を――","Word has reached us, esteemed Arisen, that you
have come to this northern land and rescued Prince
Nedo.
The entirety of the Royal Guard expresses our
heartfelt gratitude for your noble deed.",ui\00_message\npc\base\n3200.gmd,\npc\n3200.arc,n3200.arc,10
0,,"何かお力となりたいのですが、負傷者が多く
この場を動くことが叶わないのです","I would like to be of assistance, but there are
many injured individuals, and I am unable to leave
this location.",ui\00_message\npc\base\n3200.gmd,\npc\n3200.arc,n3200.arc,11
0,,"くっ――
倉庫から日用品の類をかき集めてまいります
せめてもの支給品とさせていただきたく――","Hngh...
I shall gather some supplies from the warehouse
and provide them as at least some form of
support...",ui\00_message\npc\base\n3200.gmd,\npc\n3200.arc,n3200.arc,12
0,,"無いよりはまし、といった程度かも
しれませんが――これが今お渡しできる品々です
どうかご武運を","It may be little better than nothing, but this is
the extent of what I can offer you at the moment.
Please accept these items and may you have good
fortune in battle!",ui\00_message\npc\base\n3200.gmd,\npc\n3200.arc,n3200.arc,13
0,,"ちょうど良いところにおいでくださいました
今週の支援品を準備していたのです
まだ十分とはいえませんが
ある程度は使えるかと――","You have come at just the right time.
I was preparing this week's supplies.
It may not be enough, but should be useful to
some extent...",ui\00_message\npc\base\n3200.gmd,\npc\n3200.arc,n3200.arc,14
0,,"覚者様、ぜひこちらをお持ちください
微力ながら、日々貴方を支援することが
王家の再興に繋がるとかたく信じております","Dear Arisen, please take this with you.
I firmly believe that supporting you every day,
to the best of my abilities, will contribute to
the revival of the Royal Family.",ui\00_message\npc\base\n3200.gmd,\npc\n3200.arc,n3200.arc,15
0,,"ハァ――各地にて苦境にある者からの
報告が絶えず舞い込んでくるのです
とはいえ、我々もこの有様――","Haah... We are constantly receiving reports of
distress in various regions.
But even we are in this predicament...",ui\00_message\npc\base\n3200.gmd,\npc\n3200.arc,n3200.arc,16
0,,"覚者様、どうか彼らにも
手を差し伸べてはいただけませんか？
その代わりにという訳ではありませんが、
稀少な素材が採れる場所をお伝えしましょう","Dear esteemed Arisen, would you kindly extend a
helping hand to them as well?
It is not meant as compensation, but allow me to
share with you a location where rare materials can
be found.",ui\00_message\npc\base\n3200.gmd,\npc\n3200.arc,n3200.arc,17
0,,"メガドを奪還するのであればニルビリス大橋を
確保すべきでしょう
この橋は城塞都市としての要の一つでもあります","If we are to reclaim Megado, we should secure the
Great Nilviris Bridge.
This bridge is also one of the key points in our
fortress city.",ui\00_message\npc\base\n3200.gmd,\npc\n3200.arc,n3200.arc,18
0,,"しかし、魔軍の連中もそのことは承知の上と見え
橋の防衛を強化しているようです
我々の戦力では突破は叶いませんが
覚者様であれば、あるいは――！","However, it seems that the demon army is well
aware of this and has strengthened the defense of
the bridge.
With our current forces, breaking through is
impossible.
But if it's the Arisen, perhaps...!",ui\00_message\npc\base\n3200.gmd,\npc\n3200.arc,n3200.arc,19
0,,"戦場にて共に戦えず、申し訳ありません
少しでも支援品を増やせるよう
兵たちにも物資の節約を呼びかけている次第です","We regret that we cannot fight with you on the
battlefield.
We are also asking our soldiers to conserve
supplies so that we can increase our relief
supplies as much as possible!",ui\00_message\npc\base\n3200.gmd,\npc\n3200.arc,n3200.arc,20
