key,old,new
MANDRAGORA_SPECIES_NAME_1,マンドラゴラ・幼生体,Mandragora - Larva
MANDRAGORA_SPECIES_NAME_2,マンドラゴラ・成体,Mandragora - Adult
MANDRAGORA_SPECIES_NAME_3,マンドラゴラ・観葉体,Mandragora - Houseplant
MANDRAGORA_SPECIES_NAME_4,マンドラフラワー,Mandra Flower
MANDRAGORA_SPECIES_NAME_5,マンドラフラワー・フィンドブルー,Mandra Flower - Phindymian Blue
MANDRAGORA_SPECIES_NAME_6,マンドラフラワー・レッド,Mandra Flower - Red
MANDRAGORA_SPECIES_NAME_7,マンドラフラワー・イエロー,Mandra Flower - Yellow
MANDRAGORA_SPECIES_NAME_8,マンドラフラワー・ホワイト,Mandra Flower - White
MANDRAGORA_SPECIES_NAME_9,マンドラブーケ・フィンドブルー,Mandra Boquet - Phindymian Blue
MANDRAGORA_SPECIES_NAME_10,マンドラブーケ・レッド,Mandra Boquet - Red
MANDRAGORA_SPECIES_NAME_11,マンドラブーケ・イエロー,Mandra Boquet - Yellow
MANDRAGORA_SPECIES_NAME_12,マンドラブーケ・ホワイト,Mandra Boquet - White
MANDRAGORA_SPECIES_NAME_13,マンドラマッシュルーム・ブルー,Mandra Mushroom - Blue
MANDRAGORA_SPECIES_NAME_14,マンドラマッシュルーム・レッド,Mandra Mushroom - Red
MANDRAGORA_SPECIES_NAME_15,マンドラマッシュルーム・イエロー,Mandra Mushroom - Yellow
MANDRAGORA_SPECIES_NAME_16,マンドラマッシュルーム・ホワイト,Mandra Mushroom - White
MANDRAGORA_SPECIES_NAME_17,マンドラマッシュルームズ・ブルー,Mandra Mushrooms - Blue
MANDRAGORA_SPECIES_NAME_18,マンドラマッシュルームズ・レッド,Mandra Mushrooms - Red
MANDRAGORA_SPECIES_NAME_19,マンドラマッシュルームズ・イエロー,Mandra Mushrooms - Yellow
MANDRAGORA_SPECIES_NAME_20,マンドラマッシュルームズ・ホワイト,Mandra Mushrooms - White
MANDRAGORA_SPECIES_NAME_21,マンドラフラワー・パープル,Mandra Flower - Purple
MANDRAGORA_SPECIES_NAME_22,マンドラブーケ・パープル,Mandra Boquet - Purple
MANDRAGORA_SPECIES_NAME_23,マンドラツリー・枯れ木,Mandra Tree - Withered Tree
MANDRAGORA_SPECIES_NAME_24,マンドラツリー・三分咲き,Mandra Tree - One-third Bloom
MANDRAGORA_SPECIES_NAME_25,マンドラツリー・満開,Mandra Tree - Full Bloom
MANDRAGORA_SPECIES_NAME_26,マンドラマッシュルーム・パープル,Mandra Mushroom - Purple
MANDRAGORA_SPECIES_NAME_27,マンドラマッシュルーム・ブラック,Mandra Mushroom - Black
MANDRAGORA_SPECIES_NAME_28,マンドラマッシュルーム・ブラウン,Mandra Mushroom - Brown
MANDRAGORA_SPECIES_NAME_29,マンドラマッシュルームズ・パープル,Mandra Mushrooms - Purple
MANDRAGORA_SPECIES_NAME_30,マンドラマッシュルームズ・ブラウン,Mandra Mushrooms - Brown
MANDRAGORA_SPECIES_NAME_31,マンドラマッシュルームズ・ブラック,Mandra Mushrooms - Black
MANDRAGORA_SPECIES_NAME_32,マンドラココナッツ・若木,Mandra Coconut - Young Tree
MANDRAGORA_SPECIES_NAME_33,マンドラココナッツ・成木,Mandra Coconut - Mature Tree
MANDRAGORA_SPECIES_NAME_34,マンドラココナッツ・果実,Mandra Coconut - Fruit
MANDRAGORA_SPECIES_NAME_35,マンドレインジア・ブルー,Mandrangea - Blue
MANDRAGORA_SPECIES_NAME_36,マンドレインジア・ピンク,Mandrangea - Pink
MANDRAGORA_SPECIES_NAME_37,マンドレインジア・パープル,Mandrangea - Purple
MANDRAGORA_SPECIES_NAME_38,マンドラローズ,Mandra Rose
MANDRAGORA_SPECIES_NAME_39,マンドラローズ・ブルー,Mandra Rose - Blue
MANDRAGORA_SPECIES_NAME_40,マンドラローズ・レッド,Mandra Rose - Red
MANDRAGORA_SPECIES_NAME_41,マンドラローズ・イエロー,Mandra Rose - Yellow
MANDRAGORA_SPECIES_NAME_42,マンドラローズ・パープル,Mandra Rose - Purple
MANDRAGORA_SPECIES_NAME_43,マンドラローズ・ホワイト,Mandra Rose - White
MANDRAGORA_SPECIES_NAME_44,マンドラローズ・ブラック,Mandra Rose - Black
MANDRAGORA_SPECIES_NAME_45,マンドラフレシア・ブルー,Mandra Freesia - Blue
MANDRAGORA_SPECIES_NAME_46,マンドラフレシア・レッド,Mandra Freesia - Red
MANDRAGORA_SPECIES_NAME_47,マンドラフレシア・イエロー,Mandra Freesia - Yellow
MANDRAGORA_SPECIES_NAME_48,マンドラフレシア・パープル,Mandra Freesia - Purple
MANDRAGORA_SPECIES_NAME_101,チリマンドラゴラ・幼生体,Chili Mandragora - Larva
MANDRAGORA_SPECIES_NAME_102,チリマンドラゴラ・成体,Chili Mandragora - Adult
MANDRAGORA_SPECIES_NAME_103,チリマンドラゴラ・観葉体,Chili Mandragora - Houseplant
MANDRAGORA_SPECIES_NAME_104,マンドラフラワー,Mandra Flower
MANDRAGORA_SPECIES_NAME_105,マンドラフラワー・ブルー,Mandra Flower - Blue
MANDRAGORA_SPECIES_NAME_106,マンドラフラワー・レッド,Mandra Flower - Red
MANDRAGORA_SPECIES_NAME_107,マンドラフラワー・イエロー,Mandra Flower - Yellow
MANDRAGORA_SPECIES_NAME_108,マンドラフラワー・ホワイト,Mandra Flower - White
MANDRAGORA_SPECIES_NAME_109,マンドラブーケ・ブルー,Mandra Boquet - Blue
MANDRAGORA_SPECIES_NAME_110,マンドラブーケ・レッド,Mandra Boquet - Red
MANDRAGORA_SPECIES_NAME_111,マンドラブーケ・イエロー,Mandra Boquet - Yellow
MANDRAGORA_SPECIES_NAME_112,マンドラブーケ・ホワイト,Mandra Boquet - White
MANDRAGORA_SPECIES_NAME_113,マンドラマッシュルーム・ブルー,Mandra Mushroom - Blue
MANDRAGORA_SPECIES_NAME_114,マンドラマッシュルーム・レッド,Mandra Mushroom - Red
MANDRAGORA_SPECIES_NAME_115,マンドラマッシュルーム・イエロー,Mandra Mushroom - Yellow
MANDRAGORA_SPECIES_NAME_116,マンドラマッシュルーム・ホワイト,Mandra Mushroom - White
MANDRAGORA_SPECIES_NAME_117,マッシュルームズ・ブルー,Mushrooms - Blue
MANDRAGORA_SPECIES_NAME_118,マッシュルームズ・レッド,Mushrooms - Red
MANDRAGORA_SPECIES_NAME_119,マッシュルームズ・イエロー,Mushrooms - Yellow
MANDRAGORA_SPECIES_NAME_120,マッシュルームズ・ホワイト,Mushrooms - White
MANDRAGORA_SPECIES_NAME_121,マンドラツリー・枯れ木,Mandra Tree - Withered Tree
MANDRAGORA_SPECIES_NAME_122,マンドラツリー・三分咲き,Mandra Tree - One-third Bloom
MANDRAGORA_SPECIES_NAME_123,マンドラツリー・満開,Mandra Tree - Full Bloom
MANDRAGORA_SPECIES_NAME_124,マンドレインジア・ブルー,Mandrangea - Blue
MANDRAGORA_SPECIES_NAME_125,マンドレインジア・ピンク,Mandrangea - Pink
MANDRAGORA_SPECIES_NAME_126,マンドレインジア・パープル,Mandrangea - Purple
MANDRAGORA_SPECIES_NAME_127,マンドラローズ,Mandra Rose
MANDRAGORA_SPECIES_NAME_128,マンドラローズ・レッド,Mandra Rose - Red
MANDRAGORA_SPECIES_NAME_129,マンドラローズ・ホワイト,Mandra Rose - White
MANDRAGORA_SPECIES_NAME_130,マンドラフレシア・レッド,Mandra Freesia - Red
MANDRAGORA_SPECIES_NAME_131,マンドラフレシア・ホワイト,Mandra Freesia - White
MANDRAGORA_SPECIES_NAME_201,アルビノマンドラゴラ・幼生体,Albino Mandragora - Larva
MANDRAGORA_SPECIES_NAME_202,アルビノマンドラゴラ・成体,Albino Mandragora - Adult
MANDRAGORA_SPECIES_NAME_203,アルビノマンドラゴラ・観葉体,Albino Mandragora - Houseplant
MANDRAGORA_SPECIES_NAME_204,マンドラフラワー,Mandra Flower
MANDRAGORA_SPECIES_NAME_205,マンドラフラワー・ブルー,Mandra Flower - Blue
MANDRAGORA_SPECIES_NAME_206,マンドラフラワー・レッド,Mandra Flower - Red
MANDRAGORA_SPECIES_NAME_207,マンドラフラワー・イエロー,Mandra Flower - Yellow
MANDRAGORA_SPECIES_NAME_208,マンドラフラワー・パープル,Mandra Flower - Purple
MANDRAGORA_SPECIES_NAME_209,マンドラフラワー・ホワイト,Mandra Flower - White
MANDRAGORA_SPECIES_NAME_210,マンドラブーケ・ブルー,Mandra Boquet - Blue
MANDRAGORA_SPECIES_NAME_211,マンドラブーケ・レッド,Mandra Boquet - Red
MANDRAGORA_SPECIES_NAME_212,マンドラブーケ・イエロー,Mandra Boquet - Yellow
MANDRAGORA_SPECIES_NAME_213,マンドラブーケ・パープル,Mandra Boquet - Purple
MANDRAGORA_SPECIES_NAME_214,マンドラブーケ・ホワイト,Mandra Boquet - White
MANDRAGORA_SPECIES_NAME_215,マンドラツリー・枯れ木,Mandra Tree - Withered Tree
MANDRAGORA_SPECIES_NAME_216,マンドラツリー・三分咲き,Mandra Tree - One-third Bloom
MANDRAGORA_SPECIES_NAME_217,マンドラツリー・満開,Mandra Tree - Full Bloom
MANDRAGORA_SPECIES_NAME_218,マンドラマッシュルーム・ブルー,Mandra Mushroom - Blue
MANDRAGORA_SPECIES_NAME_219,マンドラマッシュルーム・レッド,Mandra Mushroom - Red
MANDRAGORA_SPECIES_NAME_220,マンドラマッシュルーム・パープル,Mandra Mushroom - Purple
MANDRAGORA_SPECIES_NAME_221,マンドラマッシュルーム・イエロー,Mandra Mushroom - Yellow
MANDRAGORA_SPECIES_NAME_222,マンドラマッシュルーム・ホワイト,Mandra Mushroom - White
MANDRAGORA_SPECIES_NAME_223,マンドラマッシュルーム・ブラウン,Mandra Mushroom - Brown
MANDRAGORA_SPECIES_NAME_224,マンドラマッシュルーム・ブラック,Mandra Mushroom - Black
MANDRAGORA_SPECIES_NAME_225,マンドラマッシュルームズ・ブルー,Mandra Mushrooms - Blue
MANDRAGORA_SPECIES_NAME_226,マンドラマッシュルームズ・レッド,Mandra Mushrooms - Red
MANDRAGORA_SPECIES_NAME_227,マンドラマッシュルームズ・イエロー,Mandra Mushrooms - Yellow
MANDRAGORA_SPECIES_NAME_228,マンドラマッシュルームズ・パープル,Mandra Mushrooms - Purple
MANDRAGORA_SPECIES_NAME_229,マンドラマッシュルームズ・ホワイト,Mandra Mushrooms - White
MANDRAGORA_SPECIES_NAME_230,マンドラマッシュルームズ・ブラウン,Mandra Mushrooms - Brown
MANDRAGORA_SPECIES_NAME_231,マンドラマッシュルームズ・ブラック,Mandra Mushrooms - Black
MANDRAGORA_SPECIES_NAME_232,マンドレインジア・ブルー,Mandrangea - Blue
