key,old,new
AREA_RANK_REWARD_246,支援品の配給,Distribution of support goods
AREA_RANK_REWARD_247,封鎖エリア《不浄の掃き溜め》開放,"Unblock area ""Cesspool of Filth"""
AREA_RANK_REWARD_248,《滝を臨む蝕地》に新たな強敵が出現,"New powerful enemy at ""Corrupted Ground Facing the Waterfall"""
AREA_RANK_REWARD_249,封鎖エリア《せせらぎの地下聖堂》開放,"Unblock area ""Crypt of Murmurs"""
AREA_RANK_REWARD_250,支援品ランクアップ,Rank up of support goods
AREA_RANK_REWARD_251,封鎖エリア《小塔傍の枯れ井戸》開放,"Unblock area ""Dried Well by the Tower"""
AREA_RANK_REWARD_252,《捕食者たちの低地》に新たな強敵が出現,"New powerful enemy at ""Predators' Lowland"""
AREA_RANK_REWARD_253,封鎖エリア《侵食魔の巣窟 奥底》開放,"Unblock area ""Infected Den Depths"""
AREA_RANK_REWARD_254,《翼風高原》に新たな強敵が出現,"New powerful enemy at ""Wing Wind Plateau"""
AREA_RANK_REWARD_255,支援品ランクアップ,Rank up of support goods
AREA_RANK_REWARD_256,封鎖エリア《橋向かいの坑道》開放,"Unblock area ""The Tunnel across the Bridge"""
AREA_RANK_REWARD_257,封鎖エリア《滝鳴洞穴》開放,"Unblock area ""Waterfall Echo Cavern"""
AREA_RANK_REWARD_258,封鎖エリア《菌糸の襲窟》開放,"Unblock area ""Fungal Colony Caves"""
AREA_RANK_REWARD_259,《菌糸の襲窟》に新たな強敵が出現,"New powerful enemy at ""Fungal Colony Caves"""
AREA_RANK_REWARD_336,支援品ランクアップ,Rank up of support goods
