"key","old","new"
"SPOT_INFO_","細長くうねった川と切り立った崖で構成された峡谷
古代からの遺跡が多くのこる地域であり、文化的に
重要な地帯である。この辺りに住む人々も、伝承や
習慣などを重視した生活を送る傾向にある","An area composed of a narrow, winding river and steep cliffs, forming a gorge. 
It is a region with many ancient ruins remaining, making it culturally significant. 
The people living in this area tend to prioritize traditions and customs in their way of life."
"SPOT_INFO_","キンガル峡谷に位置する村
近くに多数のこる遺跡や神殿などの古代文明に
畏怖の念を抱き、古くからの伝統や伝承などを
現在に伝え継いできた一族が住んでいる
村の掟として、村人が遺跡に近づくことを禁じている","Village located in Kingal Canyon.
Nearby are numerous ancient ruins and temples that belong to a long-lost civilization.
The villagers, who have lived here since ancient times, hold a deep reverence for these sites and their traditions and legends.
As a village rule, the villagers are forbidden from approaching the ruins."
"SPOT_INFO_","キンガル峡谷北部に位置する小塔
通常の拠点ではなく塔の中で暮らすことを
選んだ一族が暮らしている。住人は独自の
文化を継承しているらしく、殆ど小塔の外に
出ないように生活している","There is a small tower located in the northern part of Kingal Canyon. 
There, a clan has chosen to live inside the tower instead of a regular settlement. 
The residents seem to have inherited their own culture and live their lives mostly without venturing outside the tower."
"SPOT_INFO_","キンガル峡谷西部にある川岸
《芯なる樹》を非常に近くから眺められるほか
崖に近寄ることで、その根元を見ることすら
可能。ただし、現在は獣の死骸を目当てに
寄ってくる魔物に注意が必要である","On the riverbank in the western part of Kingal Canyon, you can admire the ""Core Tree"" from a very close distance.
By approaching the cliffs, you can even see its roots.
However, caution is necessary as there are currently monsters that come near in search of animal carcasses."
"SPOT_INFO_","グリンデュア対岸にあたる拓けた河岸
以前はこの河岸から河に出るための船が
出ていたが、ある頃から人や積み荷の
上げ降ろし中に魔物に襲われることが
増えたため、現在は使われていない","On the opposite bank of Glyndwr, there is a wide riverbank. 
In the past, boats would leave from this bank to go out onto the river. 
However, at some point, the number of attacks by enemies during the loading and unloading of people and cargo increased, so the boats are no longer in use."
"SPOT_INFO_","キンガル峡谷中央部、遠浅の川岸が続く一帯
この周囲は人が歩いて渡れるほどに浅い岸が
広がっている。また、魔物が食い散らかしたと
見られる魚や動物の死肉が大量に流れ着いており
風向きによっては悪臭が漂う日もあるようだ","In the central part of Kingal Canyon, there is an area where the riverbank is shallow enough for people to walk across. 
The surrounding area is extensive, with what seems to be a large amount of dead fish and animals that have been devoured by enemies. 
Depending on the wind direction, there are days when a foul smell lingers in the air."
"SPOT_INFO_","《シェドレアン大神殿》の門前にある広場
荘厳な神殿を臨むこの場に似合わず、辺りには
獣の死骸が散らばり、死臭が立ち込めている
魔族の影を見たという報告もあるため、通行時には
十分な警戒が必要である","In front of the gate of the ""Shadolean Great Temple"", there is a plaza. 
Despite its majestic temple, there are animal carcasses scattered around, and the stench of death fills the air. 
There have also been reports of sightings of fiendish creatures, so caution is necessary when passing through."
"SPOT_INFO_","グリンメル遺跡の近くにある川岸
以前は遺跡への参道だったが、土が水に削られてゆき
現在は完全に川の中に沈んでしまっている
見かけより水深はないため、子供でも歩いて
渡ることが可能である","A riverside near the Grinmel Ruins.
It used to be a pathway to the ruins, but the soil was eroded by water and now it has completely sunk into the river. 
Despite appearing treacherous, the water depth is not significant, so even children can walk across it."
"SPOT_INFO_","キンガル峡谷西部にある拠点跡地
この村が滅んだ理由は明らかになっていないが
周辺の状況から、局所的な飢饉に襲われ
抵抗する力が落ちていたところへ魔物の襲撃を受け
全滅したのではないかと言われている","Village ruins located in the western part of Kingal Canyon.
The reason for the village's demise is still unclear, but it is said that it was attacked by monsters when its resistance was weakened by a localized famine. 
It is believed that the village was completely wiped out."
"SPOT_INFO_","元々はフィンダムの大地へ、そして竜のために季節
ごとの舞踊が奉納されていた広場。侵食によって
フィンダム全域での危険度が増したことでこれらの
行事は中止され、以来本来の使い方をされることは
無くなった","A square originally dedicated to seasonal dances dedicated to the dragon. 
Due to the increase in danger throughout Phindym caused by the Corruption, these events were canceled and have since ceased to be used for their original purpose."
