key,old,new
SPOT_NAME_,バートランド平原,Betland Plains
SPOT_NAME_,グリッテン砦,Gritten Fort
SPOT_NAME_,バートランド山道,Betland Mountain Road
SPOT_NAME_,湖岸の廃墟,Lakeside Ruins
SPOT_NAME_,バートランド墓地,Betland Cemetery
SPOT_NAME_,バートランド大橋,Betland Bridge
SPOT_NAME_,セラー湖船墓場,Lake Cera Ship Graveyard
SPOT_NAME_,不浄の地下水道,Foul Water Channel
SPOT_NAME_,戦鬼の影穴,War Demons' Hideout
SPOT_NAME_,薄煙の荒れ地,Wispy Wasteland
SPOT_NAME_,旧騎士団連絡路,Knights' Old Route
SPOT_NAME_,廃墟の地下室,Ruins Cellar
SPOT_NAME_,禊の神殿,Temple of Purification
SPOT_NAME_,乾いた地下倉庫,Dry Underground Stores
SPOT_NAME_,湖岸地下室,Lakeside Cellar
SPOT_NAME_,呻きの枯れ井戸,Groaning Old Well
SPOT_NAME_,罪人の修獄,Penitentiary
