key,old,new
AREA_RANK_REWARD_291,支援品の配給,Distribution of support goods
AREA_RANK_REWARD_292,"新たな強敵が出現《<SPOT 938>》
封鎖エリアが開放《<SPOT 907>》","New powerful enemy at ""<SPOT 938>""
Unblock area ""<SPOT 907>"""
AREA_RANK_REWARD_293,新たな強敵が出現《<SPOT 939>》,"New powerful enemy at ""<SPOT 939>"""
AREA_RANK_REWARD_294,封鎖エリアが開放《<SPOT 906>》,"Unblock area ""<SPOT 906>"""
AREA_RANK_REWARD_295,"新たな強敵が出現《<SPOT 940>》
封鎖交通路が復旧《モルフォールの北門》","New powerful enemy at ""<SPOT 940>""
Restore path ""Morfall North Gate"""
AREA_RANK_REWARD_296,新たな強敵が出現《<SPOT 941>》,"New powerful enemy at ""<SPOT 941>"""
AREA_RANK_REWARD_297,新たな強敵が出現《<SPOT 942>》,"New powerful enemy at ""<SPOT 942>"""
AREA_RANK_REWARD_298,新たな採取品が出現《ヘンルーダ》,"New collectable item ""Wijnruit"" appears"
AREA_RANK_REWARD_299,封鎖エリアの開放《<SPOT 908>》,"Unblock area ""<SPOT 908>"""
AREA_RANK_REWARD_300,支援品のランクアップ,Rank up of support goods
AREA_RANK_REWARD_301,"封鎖エリアの開放《<SPOT 909>》
新たな強敵が出現《<SPOT 937>》
封鎖交通路が復旧《深層へ続く崖崩れ》","Unblock area ""<SPOT 909>""
New powerful enemy at ""<SPOT 937>""
Restore path ""deepest level blocked by cliff collapse"""
AREA_RANK_REWARD_302,新たな強敵が出現《<SPOT 943>》,"New powerful enemy at ""<SPOT 943>"""
AREA_RANK_REWARD_303,"封鎖エリアが開放《<SPOT 910>》
封鎖交通路が復旧《<SPOT 944>へ続く崖崩れ》","Unblock area ""<SPOT 910>""
Restore path ""<SPOT 944> blocked by cliff collapse"""
AREA_RANK_REWARD_304,新たな強敵が出現《<SPOT 944>》,"New powerful enemy at ""<SPOT 944>"""
AREA_RANK_REWARD_305,支援品のランクアップ,Rank up of support goods
