key,old,new
NORMAL_SKILL_COMMAND_11_165,<KC ATTACK1>を押す,Press <KC ATTACK1>.
NORMAL_SKILL_COMMAND_11_166,<KC ATTACK1>後、少し遅らせて<KC ATTACK1>を連続して押す,"After <KC ATTACK1>, delay a moment then
repeatedly press <KC ATTACK1>."
NORMAL_SKILL_COMMAND_11_175,空中で<KC ATTACK1>を押す,"While in the air, press <KC ATTACK1>."
NORMAL_SKILL_COMMAND_11_174,<PADM>空中で左スティックを倒しながら<KC ATTACK1>を押す<KEYM>空中で移動キーを押しながら<KC ATTACK1>を押す</KEYM>,"While in the air, press <PADM><KC ATTACK1> while
moving the left stick<KEYM><KC ATTACK1> while
holding movement keys</KEYM>."
NORMAL_SKILL_COMMAND_11_167,<KC ATTACK2>を押す,Press <KC ATTACK2>.
NORMAL_SKILL_COMMAND_11_171,<KC ROLLING>を押す,Press <KC ROLLING>.
NORMAL_SKILL_COMMAND_11_169,<KC WEAPON_SUB>を押す,Press <KC WEAPON_SUB>.
NORMAL_SKILL_COMMAND_11_168,<KC WEAPON_SUB>を押しながら<KC MARK_SHOT>を押す,"Hold <KC WEAPON_SUB>, then press <KC MARK_SHOT>."
NORMAL_SKILL_COMMAND_11_172,"<KC SKILL_NORMAL1>を押す
　カテゴリ：補助魔法
　魔力１ゲージ消費で発動可能","Press <KC SKILL_NORMAL1>.
　Category: Support Magick.
　Consumes 1 magick gauge on activation."
NORMAL_SKILL_COMMAND_11_170,バックリープ発動後に<KC SKILL_NORMAL1>を押す,"After activating Back Leap, press <KC SKILL_NORMAL1>."
NORMAL_SKILL_COMMAND_11_173,"<KC OVER_BRADE>を押す
　カテゴリ：純魔法
　魔力１スタック消費で発動可能","Press <KC OVER_BRADE>.
　Category: Pure Magick.
　Consumes 1 magick stack on activation."
NORMAL_SKILL_COMMAND_11_177,吹き飛ばされ中に<KC JUMP>を押す,"While being knocked away, press <KC JUMP>."
NORMAL_SKILL_COMMAND_11_176,しがみつき中に<KC ATTACK1>を連続して押す,"While climbing an enemy,
repeatedly press <KC ATTACK1>"
