key,old,new
NORMAL_SKILL_INFO_11_165,剣による連撃を繰り出す,Perform a continuous attack with your magick sword.
NORMAL_SKILL_INFO_11_166,剣による強力な連撃を繰り出す,Perform a strong continuous attack with your magick sword.
NORMAL_SKILL_INFO_11_175,"空中で敵に剣を叩きつけ飛翔し
追加入力で空中から地面へ剣を叩きつける
高所から行うことで威力が上昇する","Attack an enemy in the air and further push yourself up.
Perform a falling hit with additional input.
Damage increases from high place."
NORMAL_SKILL_INFO_11_174,空中で剣による連続攻撃を繰り出す,Perform continuous attacks on air with your magick sword.
NORMAL_SKILL_INFO_11_167,"敵に向かう魔弾を放つ
ボタン連打で弾数が増加する","Shoot a magick bullet toward an enemy.
Number of bullets increase with additional input."
NORMAL_SKILL_INFO_11_171,敵の攻撃を避けつつ、剣による攻撃を繰り出す,"Attack nearby enemies with your sword
while dodging at the same time."
NORMAL_SKILL_INFO_11_169,"狙いをつけ、敵の力の在り処を探る
空中でも発動可能","Target and explore an enemy's magickal strength.
Can be activated in the air."
NORMAL_SKILL_INFO_11_168,"狙いを付けた敵に魔印を付与する
付与された敵を剣で攻撃することで
魔印が成長し、持続的に多くの魔力を得る
攻撃を行わないと徐々に減退する","Put a Magick Glyph on an enemy.
Attacking the Glyph with your sword quickly increases
your magick gauge.
Glyph will diminish if not attacked."
NORMAL_SKILL_INFO_11_172,"敵に密着した状態で使用することで
後方に高速で移動する","Instantly move yourself away from an enemy by
activating this skill at close range."
NORMAL_SKILL_INFO_11_170,"バック・リープを接触させた敵に高速で接近する
空中でも発動可能","Quickly approach the enemy touched by Back Leap.
Can be used in the air."
NORMAL_SKILL_INFO_11_173,"大量の魔力を剣に込め
射属性を持つ魔力の矢として敵に放つ
着弾するまでの飛距離が長い程、威力が上昇する","Channel a large amount of magick to your sword
and launch your sword to an enemy. The longer distance
it travels, the more damage increases."
NORMAL_SKILL_INFO_11_177,敵に吹き飛ばされた際に転倒を回避する,Recover quickly from being knocked down by an enemy.
NORMAL_SKILL_INFO_11_176,"しがみついた状態から
剣による連続攻撃を繰り出す
ボタン連打で攻撃回数が増加する","When climbing, attack an enemy continously
with your sword. The number of attacks increases with
additional input."
