"old","",""
"覚者よ――
新たなるポーンとの《戦徒の契り》を望むか
ならばその資格たる証――
<COL b92828><SPAI NAME> <SPAI NUM> 個</COL>を我に示せ","Arisen――
Do you desire a new ""Myrmidon's Pledge"" with a pawn?
If so, prove to me your qualification by presenting <COL b92828> <SPAI NUM> pieces of <SPAI NAME></COL>.",""
"――ううむ、覚者よ
そなたはまだ新たな契約を交わす段階にあらず
すでに己が器に応じた数の戦徒を統べているようだ","--Ummm, Arisen,
you are not yet ready to sign a new contract,
it seems that you already control a number of Myrmidions in accordance with your capacity.",""
"――覚者よ
どうやらまだ、戦徒との新たな契約に
必要な数の<COL b92828><SPAI NAME></COL>を
持ってはおらぬようだな","--Arisen,
apparently you don't yet have the required
number of<COL b92828><SPAI NAME></COL>
for a new contract with the Myrmidions!",""
"契約に必要な数、<COL b92828><SPAI NUM> 個</COL>を手に入れてのち
再び我にその証を示すがよい――","After you have the <COL b92828><SPAI NUM>pieces</COL> required for the covenant
Show me the proof again...",""
"――よかろう
力を授かるべき者よ、我が前に――","--I am ready.
You who are to be given power, before me--",""
"沈黙こそ我が意力の糧――","Silence is the food of my willpower.",""
"語るべき言葉――今はない","The words to speak――Now there are none",""
"波を感じる――
はるか遠く、地平の彼方――","Feel the waves--
far, far beyond the horizon--",""
"真に強き魂あらば、闇は消え去る――","When the soul is truly strong, the darkness will disappear.",""
"覚者の使命、ゆめゆめ忘れるな","The mission of the Arisen, don't ever forget it.",""
"惑いし者よ、畏れずに眼（まなこ）を開け","Oh, bewildered one, open your eyes without fear",""
"義なき怒りは、身を滅ぼす――","Anger without righteousness destroys--",""
"鍛錬せよ
おまえたちは抜き身の刃――研がねば、朽ちる","Train yourself
You are the unsheathed blade――Sharpen or decay",""
"――いましばし――休息を許せ――","--For now... allow me to rest.",""
"全てを見通すことはまだ――できぬか――","I don't know if you've seen it all yet... or if you haven't.",""
"広く伝えよ――
覚者にならんと思う者――我は拒まぬ","Spread the word--
Whoever wants to become an Arisen--I will not reject them.",""
