"old",""
"おつかれさまです、隊長
俺のやる気、爆発しそうですよ！","Captain--I'll be counting on you for a few more minutes."
"隊長、俺を忙しくしてください
ジョゼフ様のところへは戻りたくないんです","Captain, please keep me busy I don't want to go back to Master Joseph."
"レスタニアはまた大変なことになりましたけど――
そのおかげで隊長と一緒に働けて――","Lestania is in trouble again, but--
that allowed me to work with the captain and--"
"不謹慎だけど――俺、うれしいです","I know it's inappropriate—but I'm glad I'm here."
"隊長がレオ統率の右腕なら――
俺は隊長の右腕になります！","If Captain is Leo's right-hand man, I will be Captain's right-hand man!"
"リズと俺――ある意味、敵同士ですよね
どっちが隊長の信頼を勝ち取るか――みたいな","Lise and me――In a way, we are enemies, aren't we?
It's like, who will earn the captain's trust?"
"セシリーはちょっと固いというか――
真面目すぎるんですよね","Cecily is a bit stiff or--
too serious."
"オーク戦争の頃、リズはレスタニアを巡って
お宝とか探してたらしいですね
なんだか、遅れを取った気分です","I heard that during the orc wars, Lise was cruising around Lestania looking for treasures and stuff.
I feel like I'm falling behind!"
"侵食魔のせいかな――
少し空気が濁った感じ、しませんか？","Maybe it's the Corruption?
The air seems a little muddy, don't you think?"
"隊長――
やっぱり覚者というのは戦ってこそ、ですよね
つくづく、そう思いますよ","Captain--
Indeed, it is through battle that an Arisen truly shows their worth.
I am deeply convinced of this."
"ガルドリンが細々と賭けを持ちかけてくるんですよね
おかげで――いえ、なんでもありません！","Gurdolin keeps coming up with small bets, you know. Thanks to that... Well, never mind!"
"戦いに慣れてから、時々ですけど、もっと刺激が
ほしいなんて、考えちゃうんですよ","After getting used to battles, sometimes, I can't help but think that I want more excitement."
"ダメですよね、こういうこと考えちゃ","It's not good, thinking about things like that."
"ガルドリンのこと、いろんな人から聞くんですけど
どうやら最近は丸くなったというか
落ち着いたというか――","I hear about Gurdolin from various people, and it seems that recently, they have become more well-rounded, or rather, calmer."
"最近のことしか知らない俺にしてみれば
これで！？　って感じですけどね","From my perspective, as someone who only knows recent things, I have to say... is this it!? But well, that's how I feel."
"ジョゼフ様から聞く話に隊長が登場するようになって
どれくらい経つか忘れましたけど――","It has been some time since Captain made their debut, or so it feels, as I heard from Sir Joseph. But I can't exactly remember how long ago it was."
"思うに、隊長って、全然変わってないですよね","In my opinion, the captain hasn't changed at all, right?"
"リズって、ああ見えて、意外と世の中を
見てるんですよね
自分のことは見えていないようだけど","Lise looks like that, but she sees the world
surprisingly well.
She doesn't seem to see herself, though."
"なんでしょうか、隊長！","What is it, Captain!"
"セシリーはいい子ですよねえ
力になってあげたいなあ","Cecily is a good girl, isn't she? I want to be supportive."
"隊長、急ぎましょう
何もかも、急ぎましょう","Captain, let's hurry!
with everything, I mean"
"早くセシリーを楽にしてあげないと
こっちまで息が詰まりそうです","We need to make Cecily feel better soon.
I'm choking up too!"
"まあ、楽にすると言っても
どうしたらいいかなんて
わからないんですけどね","Well, even if I say I want to make it easier,
I don't know what to do, you know?"
"騎士団には売れるだけ恩を売っておけなんていう
覚者もいますけど、俺に言わせれば
持ちつ持たれつですよ","Some Arisen believe in gaining favor with the knight order as much as possible, but in my opinion, it's all about mutual support."
"売ったとか買ったとか、借りた貸したなんて
どうでもいいことです――
って、考えられる人になりたいんです、俺","Selling, buying, borrowing, lending... It's all trivial stuff. I want to become someone who can think about more important things—me."
"時々、セシリーが思い詰めた顔をしていますよ？
なんとかしてあげられませんかねえ
もう、見ていられませんよ","Sometimes, Cecily has a troubled look on her face, you know?
Can't we do something to help her?
I can't bear to watch anymore."
"隊長、レスタニアは広いですね
今回ばかりは痛感しています","Captain, Lestania is far, isn't it?
I am feeling this particularly keenly this time."
"走っても、戦っても、尽きない敵
ええ、やりがいがありますよ！","Running, fighting, and endless enemies.
Yes, it's challenging!"
"俺、連戦でちょっと疲れちゃって――","I'm a little tired from the consecutive battles..."
"もちろん、何かあれば動きますから
それ以外はここでジッとさせてください","Of course, if you need me to move, I'll move.
Otherwise, please let me stay put here."
