"old",""
"おお――
異大陸の覚者様
ようこそここまでいらっしゃいました","Oh--
Dear Arisen of Another Continent.
Welcome to this place!"
"申し上げにくいことですが、覚者様に
ご協力するための“力”を
集めてきていただかねばなりません","I am sorry to say this, but we need you to go to and gather the ""power"" to help us!"
"我々の存在は今や希薄なものです
どうぞよろしくお願いします
あなた様の道を拓くためなのです――","Our existence is now rare. 
Nice to meet you!
We are here to pave the way for you--"
"確かに――
さぁ、先へお進みください","Certainly--
Now, please proceed!"
"この道が通れるようになったことも、ひいては
あなた様ご自身のお力によるものです
そのお力で――幼き王子をよろしくお願いします","The fact that this road is passable is, in turn, due to your own strength.
With that strength - please take care of the little prince!"
"どうぞ、先へお進みください
この道は二度と土砂に埋まることはないでしょう","Please, continue ahead.
This path will never be buried in sand and earth again."
"申し訳ございません、今は――
少し時間をおいてから
おいでください","I apologize, please come back after a few hours."
"異大陸の覚者様
お仲間はすでにこの先を
通っていらっしゃるようです","Arisen from a different land.
It seems that your companions have already passed through this point."
"お仲間の跡を辿り、この場でのみ
先へ行くことも可能です
いかがいたしましょう？","You can also follow your comrades' trail and proceed further from this place alone. What would you like to do?"
"通常開拓する","Explore normally."
"仲間の力をたどる","Follow the power of your companion"
"ネド王子――
御年12歳の王子に
なんと過酷な運命でしょう――","Prince Nedo--
What a harsh fate for a prince of 12 years of age--"
"ネド王子に寄り添い、お支えする者すら
いないままとは――
なんという――","To think there is no one to be by Prince Ned's side and support him... What a situation..."
"ネド王子は――
まだ、覚者となるには
あまりにも早すぎました","Prince Nedo――
it was still too early for him to become an Arisen."
