key,old,new
FUNC_SELECT_NAME_3,ショップ,Shop
FUNC_SELECT_NAME_4,ショップ,Shop
FUNC_SELECT_NAME_5,ショップ,Shop
FUNC_SELECT_NAME_6,ショップ,Shop
FUNC_SELECT_NAME_7,宿泊,Inn
FUNC_SELECT_NAME_8,ショップ,Shop
FUNC_SELECT_NAME_9,ショップ,Shop
FUNC_SELECT_NAME_10,戦技の付替え,Arts Support
FUNC_SELECT_NAME_11,転職／戦技の付替え,Vocation / Arts Support
FUNC_SELECT_NAME_12,グランドミッション,Grand Mission
FUNC_SELECT_NAME_13,パーティー編成,Party Organization
FUNC_SELECT_NAME_14,クラン設立・加入,Clan Management
FUNC_SELECT_NAME_15,クラフト,Craft
FUNC_SELECT_NAME_16,美容院,Beauty Salon
FUNC_SELECT_NAME_17,レスタニアニュース,Lestania News
FUNC_SELECT_NAME_18,竜力の継承,Dragon Force Augmentation
FUNC_SELECT_NAME_19,オーブ交換：クレスト,Orb Exchange: Crests
FUNC_SELECT_NAME_20,オーブ交換：珍品／素材,Orb Exchange: Rare Items / Materials
FUNC_SELECT_NAME_21,エリア情報,Area Information
FUNC_SELECT_NAME_22,ジョブ修練,Job Training
FUNC_SELECT_NAME_24,バザー,Bazaar
FUNC_SELECT_NAME_25,,
FUNC_SELECT_NAME_26,,
FUNC_SELECT_NAME_27,,
FUNC_SELECT_NAME_28,,
FUNC_SELECT_NAME_29,,
FUNC_SELECT_NAME_30,,
FUNC_SELECT_NAME_31,,
FUNC_SELECT_NAME_32,,
FUNC_SELECT_NAME_33,,
FUNC_SELECT_NAME_34,,
FUNC_SELECT_NAME_35,,
FUNC_SELECT_NAME_36,報告書の確認,Review Reports
FUNC_SELECT_NAME_37,ポーンの復活,Revive Pawn
FUNC_SELECT_NAME_39,エクストリームミッション,Extreme Missions
FUNC_SELECT_NAME_40,復活力の回復,Recover Revival Power
FUNC_SELECT_NAME_41,,
FUNC_SELECT_NAME_42,ログインスタンプ,Login Stamp
FUNC_SELECT_NAME_43,報酬受け取り,Receive Reward
FUNC_SELECT_NAME_44,トレジャーズロット,Treasure Lot
FUNC_SELECT_NAME_45,契約報酬の受け取り,
FUNC_SELECT_NAME_46,弱化の治療,Treat Weakness
FUNC_SELECT_NAME_47,戦徒の契り,Myrmidon's Pledge
FUNC_SELECT_NAME_48,鑑定交換,Appraisal Exchange
FUNC_SELECT_NAME_49,パートナーポーン,Partner Pawn
FUNC_SELECT_NAME_50,戦技の継承,Skill Augmentation
FUNC_SELECT_NAME_51,アチーブメント,Achievements
FUNC_SELECT_NAME_52,,
FUNC_SELECT_NAME_53,ジョブ解放,Vocation Unlock
FUNC_SELECT_NAME_54,ボックストレジャーズロット,Box Treasure Lot
FUNC_SELECT_NAME_55,ポーン遠征隊,Pawn Expedition Corps
FUNC_SELECT_NAME_56,遠征結果の確認,Confirm Expedition Results
FUNC_SELECT_NAME_57,プレイポイントショップ,Play Point Shop
FUNC_SELECT_NAME_58,クラン拠点管理,Clan Hall Management
FUNC_SELECT_NAME_59,戦技練習,Warfare Practice
FUNC_SELECT_NAME_60,クランダンジョン,Clan Dungeon
FUNC_SELECT_NAME_61,プレゼント,Present
FUNC_SELECT_NAME_62,プレゼント状況確認,Present Status Check
FUNC_SELECT_NAME_63,プレゼント状況確認,Present Status Check
FUNC_SELECT_NAME_64,絶技の継承,Special Skill Augmentation
FUNC_SELECT_NAME_65,ジョブエンブレム,Vocation Emblem
FUNC_SELECT_NAME_66,サブストーリーログ,Substory Log
FUNC_SELECT_NAME_67,英霊眠りし道,Heroic Spirit Sleeping Path
FUNC_SELECT_NAME_68,魂を捧げる,Give Spirits
FUNC_SELECT_NAME_69,ウォーミッション,War Missions
FUNC_SELECT_NAME_70,ドミニオンポイントショップ,Dominion Point Shop
FUNC_SELECT_NAME_71,転生,Reincarnation
FUNC_SELECT_NAME_72,武具のカスタムメイド,Custom-made Arms
FUNC_SELECT_NAME_73,武具の資源分解,Arms Resource Disassembly
FUNC_SELECT_NAME_74,冒パスショップ,Adventure Pass Shop
FUNC_SELECT_NAME_75,Lv.80にする,Become Lv.80
FUNC_SELECT_NAME_76,竜力の継承を埋める,Complete Augmentation of Dragon Force
FUNC_SELECT_NAME_77,冒険をしやすくする,Make Adventure Easier
FUNC_SELECT_NAME_78,アチーブメント：王家再興,Achievements: Royal Family Restoration
FUNC_SELECT_NAME_80,紋章メダル交換,Emblem Medal Exchange
FUNC_SELECT_NAME_81,おでかけ支援サービス,Outing Support Service
FUNC_SELECT_NAME_82,他人の自室訪問,Visit Another's Room
FUNC_SELECT_NAME_83,,
FUNC_SELECT_NAME_84,プレゼント報酬確認,Present Reward Review
FUNC_SELECT_NAME_85,自室訪問設定,My Room Visit Setup
FUNC_SELECT_NAME_86,冒険ガイド,Adventure Guide
FUNC_SELECT_NAME_87,募集掲示板,Recruitment Board
FUNC_SELECT_NAME_88,黒呪装具の効果封印,Bitterblack Equipment Effect Seal
FUNC_SELECT_NAME_89,レアアイテムの鑑定,Rare Item Appraisal
FUNC_SELECT_NAME_90,黒呪アイテムの持ち帰り,Bitterblack Item Takeaway
FUNC_SELECT_NAME_91,探索結果の報告,Report Search Results
FUNC_SELECT_NAME_93,Lv.85にする（仮）,Become Lv.85 (Provisional)
FUNC_SELECT_NAME_94,ジョブ修練スキップ（仮）,Job Training Skip (Provisional)
FUNC_SELECT_NAME_95,印記章交換,Medal Exchange
FUNC_SELECT_NAME_96,大口納品イベント,Large Delivery Event
FUNC_SELECT_NAME_97,黒呪ショップ,Bitterblack Shop
FUNC_SELECT_NAME_98,進行のリセット,Reset Progress
FUNC_SELECT_NAME_99,ワイルドハント,Wild Hunt
FUNC_SELECT_NAME_100,ハイオーブ交換,High Orb Exchange
FUNC_SELECT_NAME_101,ドラゴンアビリティの合成,Dragon Ability Synthesis
FUNC_SELECT_NAME_102,竜防具の鑑定交換,Dragon Armor Appraisal
FUNC_SELECT_NAME_103,リワードミッション,Reward Mission
FUNC_SELECT_NAME_104,リワードメダル交換,Reward Medal Exchange
