old,new
おびえた様子の女性,Scared Woman
お水系1,Swimming 1
お水系2,Swimming 2
お花ちゃん,Flower-chan
たたずむスケルトン,Lingering Skeleton
アイザック,Isaac
アイセル,Aysel
アイダン,Aidan
アイラ,Ira
アイラ,Ira
アイヴィ,Ivey
アウグスト,Augusto
アキム,Akim
アクギス,Akgis
アクセル,Axel
アクタイオン,Actaeon
アシュトン,Ashton
アシル,Achille​
アスラン,Aslan
アセナ,Asena
アッバス,Abbas
アデム,Adem
アデリン,Adelin
アデルドナハ,Adair Donnchadh
アデルドナハ,Adair Donnchadh
アデルドナハ,Adair Donnchadh
アデルドナハ,Adair Donnchadh
アニス,Anise
アニタ,Anita
アニタ,Anita
アネリアン,Anelian
アラン,Alan
アラン,Alan
アリアドネ,Ariadne
アルカン,Alkane
アルタード・ズール,Altered Zuhl
アルティン,Artin
アルトフェイル,Arthfael
アルビン,Alvin
アルフレド,Alfred
アルベ,Albe
アルマ,Alma
アルヴァー,Alvar
アレン,Allen
アンジェロ,Angelo
アンジェロ,Angelo
アンジェロ,Angelo
アンジェロ,Angelo
アンジェロ,Angelo
アンドレア,Andrea
アンナ,Anna
アーシェ,Ashe
アーチボルト,Archibald
アーチボルト,Archibald
イェルハルド,Gerhard
イオセフ,Iosef
イサップ,Isap
イザベル,Isabel
イゼット,Isetto
イゼル,Isel
イゼル,Isel
イデ,Ide
イナタイヤ,Inataya
イネス,Ines
イリス,Iris
イルマズ,Ilmaz
イルヴァ,Iruva
イングリッド,Ingrid
イヴァン,Ivan
イーサン,Ethan
イーデン,Eden
イーファ,Ifa
イーヴィ,Evey
ウィニー,Winnie
ウィルソン,Wilson
ウォルター,Walter
ウォルト,Walt
ウガウ,Ugau
ウサギ,Rabbit
ウルタン,Ultan
ウルダ,Urda
ウーナ,Oona
エイダス,Aidas
エイブラム,Abram
エイリーン,Eileen
エウニケ,Eunike
エクレム,Ekrem
エコール,Ecole
エジェ,Eje
エセル,Ethel
エセン,Esen
エテルナ,Eterna
エディ,Eddie
エディーズ,Eddys
エトナ,Etna
エナン,Henin
エニス,Ennis
エバ,Eva
エミリア,Emilia
エミーネ,Emine
エミール,Emil
エメラダ,Emerada
エメラダ,Emerada
エメラダ,Emerada
エメラダ,Emerada
エリオット,Elliot
エリオット,Elliot
エリオット,Elliot
エリオット,Elliot
エリン,Ellen
エルセン,Elsen
エルデム,Erdem
エルトン,Elton
エルドアン,Erudoan
エルナ,Eluna
エルネド,Eluned
エルマー,Elmer
エンデール,Endale
エンド誘導予備1,End Content NPC
エンド誘導予備2,End Content NPC
エンド誘導予備3,End Content NPC
エンナ,Enna
エンフ,Enf
