key,old,new
ORB_GAIN_PARAM_1,体力の覚醒,Awakening of Health Points
ORB_GAIN_PARAM_2,スタミナの覚醒,Awakening of Stamina
ORB_GAIN_PARAM_3,筋力の覚醒,Awakening of Strength
ORB_GAIN_PARAM_4,物理防御力の覚醒,Awakening of Defense
ORB_GAIN_PARAM_5,魔力の覚醒,Awakening of Magick
ORB_GAIN_PARAM_6,魔法防御力の覚醒,Awakening of Magick Defense
ORB_GAIN_PARAM_7,リムポイントの加護,Blessing of Rift Crystals
ORB_GAIN_PARAM_8,ゴールドの加護,Blessing of Gold
ORB_GAIN_PARAM_9,戦技の加護,Blessing of Skill
ORB_GAIN_PARAM_10,増装の加護,Blessing of Increased Looks
ORB_GAIN_PARAM_11,,
ORB_GAIN_PARAM_12,,
ORB_GAIN_PARAM_13,異界戻りの加護,Blessing of Rift Return
ORB_GAIN_PARAM_14,覚者の器,Vessel of the Arisen
ORB_GAIN_PARAM_15,統率の器,Vessel of Leadership
ORB_GAIN_PARAM_16,消費所持の加護,Blessing of Usable Possession
ORB_GAIN_PARAM_17,素材所持の加護,Blessing of Material Possession
ORB_GAIN_PARAM_18,装備所持の加護,Blessing of Equipment Possession
ORB_GAIN_PARAM_19,シークレットアビリティ,Secret Augment
ORB_GAIN_PARAM_20,体力の覚醒,Awakening of Health Points
ORB_GAIN_PARAM_21,スタミナの覚醒,Awakening of Stamina
ORB_GAIN_PARAM_22,筋力の覚醒,Awakening of Strength
ORB_GAIN_PARAM_23,物理防御力の覚醒,Awakening of Defense
ORB_GAIN_PARAM_24,魔力の覚醒,Awakening of Magick
ORB_GAIN_PARAM_25,魔法防御力の覚醒,Awakening of Magick Defense
ORB_GAIN_PARAM_26,アビリティ,Augment
ORB_GAIN_PARAM_27,カスタムスキル,Custom Skill
ORB_GAIN_PARAM_28,戦技の加護,Blessing of Skill
ORB_GAIN_PARAM_29,白竜の加護,Blessing of the White Dragon
ORB_GAIN_PARAM_30,ジョブ専用アイテムバッグ枠拡張,Blessing of Job Item Posession
