"old","new"
"戦い方で気になること？
それはもう、毎度身に染みるほど感じております
もっともっと、鍛錬が必要である――と！","What concerns you about the way of fighting?
It's something I feel deeply every time.
More and more, training is necessary - that's for sure!"
"戦い方で気になること？
も、もちろん戦いには集中できておりますから
気になることなどございませんとも！","What do you care about the way we fight?
Of course, I can concentrate on the fight.
I'm not worried about it!"
"戦い方で気になること？
そう、ですね、実は――
いえ、今はまだ、お話しする時ではないでしょう","What concerns you about the way of fighting?
Yes, well, actually...
No, now is not the time to talk about it."
"やはり、マスターは気付いておられましたか
私の戦いに足りないもの――
よろしければ、お話を伺わせてください！
さあ早速！　自室でベルを鳴らしましょう！","Did the master indeed notice?
What is missing in my technique...
If it's alright with you, please allow me to hear your story!
Now then, let's ring the bell in Your Room right away!"
"うおおおっ！
各地をマスターと回れるこの喜びっ！
うまく言葉にしきれません！","Wow!
What a joy to be able to travel around with the Master!
I can't put it into words!"
"マスター、体力は問題ありませんか！？
何をするにも体が資本です
気力体力、常に満タンであってください！","Master, is there any problem with your health!?
The body is the foundation for everything.
Please always keep your mental and physical strength at maximum capacity!"
"さぁ、いつでも命令してください！
我らはそのためにいるのですからっ！","Now, please give any command!
We are here for that!"
"マスターの手を煩わせぬよう
精進し、粉骨砕身、働く所存！！","So as not to trouble the Master, I will devote myself wholeheartedly, work tirelessly, and carry out my duties!!"
"戦闘中に不覚を取らぬよう
気合を入れていきますっ！！","During combat, I will not be caught off guard.
I will put my spirit into it!!"
"足場には注意してください！
崖やら毒だまりやら、油断していると
何があるかわかりませんからね","Please be wary of the scaffolding!
There could be cliffs, poison puddles, and various other dangers, so don't let your guard down and be cautious."
"マスター、そういえば！
ニュースは見られましたか？
寄れそうなクエストがあれば、ぜひ！","Master, by the way!
Have you seen the news?
If you have any quests that you can drop by, please do!"
"お任せ下さいマスター！
どんな敵や困難がこようとも
我らの敵ではありません！！","Please leave it to me, Master!
No matter what demons or difficulties may come, they are not our enemy!!"
"数多いポーンの中より私を選び
指名くださったこのご恩――！！","From among the numerous pawns, you have chosen me...
For this favor you have bestowed upon me!!"
"くうぅぅぅ！！　ありがたき幸せ！
思い返すたび胸に込み上げます――！","Kuuuu!! Such profound happiness!
Every time I think back, it wells up in my chest—!"
"マスター、私はお役に立てていますか？
足りぬようなら転職や技替えは、喜んで！","Master, am I of any use to you?
If needed, I would be happy to change jobs or switch skills!"
