old,new
よろしくお願いします,Nice to meet you!
ともに参りましょう,Let's go together!
お会いできて光栄です,It's an honor to meet you!
良き旅になるよう、全力を尽くします,I will do my best to make it a pleasant journey.
どうか、私の力を存分にお使いください,"Please, use my powers to your liking."
我らが竜とともに！,The Dragon is with us!
ご友人がお見えです,Your friend is visible.
覚者さま、お見事です,"Good work, Arisen!"
やりましたね！,We did it!
我が主に竜の加護があらんことを,Bless me with the Dragon's protection.
うまくいきませんね――,It's not going well.
いい手ごたえです,Good reaction.
力が湧いてきました！,My power is overflowing!
一層お役に立ってみせます！,I'll show you I can be useful!
さあ、行きましょう,"Come on, let's go!"
いよいよですね,Finally!
敵を発見！,Enemy sighted!
あそこに敵がいます！,There's an enemy there!
いました、ご注意を！,There! Careful!
あの敵は、まずいですね――,That enemy is disgusting...
強敵です、警戒を！,A formidable foe! Stay vigilant!
感謝します！,Thank you!
早く、助けを！,"Help me, quickly!"
助けてください！,Please help me!
し、しくじりました――！,I...I messed up!
くっ――力が――！,Ugh...my strength!
油断は禁物です！,Negligence is forbidden!
さあ、やりましょう！,"Come on, let's do this!"
倒しました！,Defeated!
我々の勝利です！,This is our victory!
生き延びたようです,Looks like we survived.
今です、覚者さま！,"Do it now, Arisen!"
まだ充分、戦えます,I still have plenty of fight left in me.
厳しい状況ですね,This is a tough situation.
このままでは不利かもしれません,At this rate we will be at a disadvantage!
深手を――負いましたっ――,I've suffered...a grevious wound.
体力が、もう――！,I'm out of stamina!
そんな、まさか――！,This can't be!
これでっ――！,Like this!
回復します,I'm recovering.
敵を引きつけます！,I will attract the enemy!
これで有利になるはずです,This should be to our advantage now.
回避します！,Evading!
喰らえ！,Eat this!
狙います！,Aiming!
逃さない！,I won't let go!
こっちです！,Over here!
はい！,Yes!
承知しました！,Acknowledged!
従えません,I won't follow.
覚者さま、冒険のご準備ですか？,"Arisen, are you ready for an adventure?"
お出かけですか？必要とあらばお誘い下さい,"If you're going out, please invite me if necessary."
ゆっくりして下さい、覚者さま,"Please take your time, Arisen"
戦いの日々、休息も必要です,"We fight every day, and we need rest."
お休みなさいませ、覚者さま。よき夢を,"Good night, Dear Arisen. Have a pleasant dream"
休養もまた、次への大切な準備です,Rest is also important preparation for the next step
部屋の雰囲気が変わりましたね,The atmosphere of the room has changed.
部屋の模様替え、気分転換になりますね,"It's a nice change of pace, a room makeover."
覚者さま、エリア探索より戻りました,"Arisen, I have returned from exploring the area"
今回のエリア探索は、とても良い成果を上げることができました！,We've had very good results exploring the area this time!
なるほど――　ふむ――　,I see... Hmm...
見てください、庭に何か来ているみたいです,"Look, it looks like something is coming to the garden."
Fn Fn――　Fn　Fn――　（鼻歌）,Fun Fun――　Fun　Fun――　(singing)
最善を尽くします、覚者さま,"I will do my best, Arisen."
いただいた武具を活かし、きっとお守りいたします,We will surely protect you with the armor we have received from you.
このスキルなら、お役に立てるはず,These skills will help you!
おお、これなら違う戦い方ができそうです,"Oh, with this, it seems like I can fight in a different way."
この間も結構な旅でしたし――　今しばらく、ゆっくりいたしましょう,"We've traveled quite a bit in the last few days, so let's take it easy for a while."
今日はどこにお供しましょう？,Where shall I accompany you today?
はい、なんでしょう？,"Yes, what is it?"
どうしました？覚者さま,"What's wrong, Lord Arisen?"
覚者さま、私はあなたと共に――！,"Master, I am with you!"
"先日、別の覚者さまに呼ばれ、
クラフトのアシスタントをしてきました","The other day, I was invited by another Arisen to assist with
crafts!"
"先日、他の覚者さまの冒険にお供いたしました
普段通りに働けたと思います","I recently accompanied another Arisen on an adventure
I think I worked as we normally do!"
"先日、他の覚者さまに
私の装備をお褒めいただきました",I recently received a compliment on my equipment from another Arisen
覚者さま、今日は私から戦技のご提案があります！,"Dear Arisen, today I have a proposal for a warfare technique!"
"覚者さま、あなたにお仕えしてきたおかげで
私の意思疎通力が上がりました！","Dear Arisen, thanks to my service to you, my communication skills have improved!"
覚者さま、今日は私から髪型のご提案があります！,"Dear Arisen, I have a hair style suggestion for you today!"
"覚者さま、新しい家財を入手されたのですね！
一層快適になりそうです！","Arisen, it seems you have acquired new household goods!
It will become even more comfortable!"
覚者さま、お帰りなさいませ,"Welcome back, Master!"
覚者さま、ご無事で戻られて何よりです,"Arisen, it's a relief that you have returned safely"
長くお戻りにならず、心配いたしました――,I was worried when you didn't return for a long time.
無事に帰ってこられましたね,"You made it back safely, didn't you?"
ここへ帰って来ると落ち着きますね,Coming back here makes me feel at home.
体力に不安があれば、ひと休みしていきましょう,"If you are worried about your physical strength, let's take a break."
ここなら安全です,You are safe here.
拠点に到着です、仕入れるべき道具、情報はありますか？,"Arrived at the base, do we have any tools or information to gather?"
今お助けします！,We are here to help you now!
そちらに行きます、お待ちを！,"I'll come to you, please wait!"
覚者さま、大丈夫ですか！,Lord Arisen! Are you alright?
頑張って下さい！,Good luck!
怒っています！　気を引き締めて下さい！ ,It's angry!　Please brace yourself!
敵が興奮状態です！　攻撃に注意を！,The enemy is in an excited state! Pay attention to the attacks!
隙ができました！ チャンスです！,An opportunity has arisen! It's a chance!
ダウンしました！ 一気にたたみ掛けましょう！,They're down! Let's go all out!
揺さぶりにいきます！,I'm going to shake things up!
弱点を露出させます！ みなさん攻撃を！,"Expose weaknesses! Everyone, attack!"
弱点を狙って攻撃します！　,I will target weak points!
攻勢に転じられるよう、支援します！,We will assist you in taking the offensive!
敵の能力を下げてみせます！,Lowering the enemy's attributes!
属性を付与します！ 一気に攻撃を！,Granting attributes! Attack all at once!
力を溜めて攻撃します！ 私にお任せを！,I will gather power and attack! Leave it to me!
この大技で仕留める！ いくぞ！,I'm going to finish him off with this big move! Here we go!
<COL B6FF01>《特技》限界を超えた力、今お見せします！</COL>,<COL B6FF01>《Special Skill》 I will show you a power beyond limits!</COL>
<COL B6FF01>《特技》私の活躍、見ていて下さい！</COL>,<COL B6FF01>《Special Skill》Please watch me in action!</COL>
<COL B6FF01>《特技》秘めたる技を解放します！</COL>,<COL B6FF01>《Special Skill》Unleash the hidden skills!</COL>
<COL B6FF01>《剛化》一気に体力を奪ってみせます！</COL>,<COL B6FF01>《Harden》 I will take away your stamina in one go!</COL>
<COL B6FF01>《剛化》攻撃力を最大まで高めます！</COL>,<COL B6FF01>《Harden》Increases attack power to the maximum!</COL>
<COL B6FF01>《重化》早々に倒れさせてみせます！</COL>,<COL B6FF01>《Heavy》I'll make him fall as quickly as possible!</COL>
<COL B6FF01>《重化》敵の体勢を崩してみせます！</COL>,<COL B6FF01>《Heavy》I will break the enemy's stance!</COL>
<COL B6FF01>《癒活》この戦いに癒しの加護を！</COL>,<COL B6FF01>《Restoration》Give me the blessing of restoration in this battle!</COL>
<COL B6FF01>《癒活》癒しの力で、窮地を越えましょう！</COL>,<COL B6FF01>《Restoration》Let's overcome the crisis with the power of healing!</COL>
<COL B6FF01>《柔化》やつを状態異常にしてみせます！</COL>,<COL B6FF01>《Weaken》I'll put him out of his misery!</COL>
<COL B6FF01>《柔化》状態異常を狙います！</COL>,<COL B6FF01>《Weaken》 Status abnormality is targeted!</COL>
<COL B6FF01>《集中》詠唱に集中します！</COL>,<COL B6FF01>《Concentration》Concentrate on the incantation!</COL>
<COL B6FF01>《集中》魔力を最大限に高めます！</COL>,<COL B6FF01>《Concentration》: Maximizes magical power!</COL>
<COL B6FF01>《無恐》どんな攻撃にも耐えてみせます！</COL>,<COL B6FF01>《Fearless》 will withstand any attack!</COL>
<COL B6FF01>《無恐》恐れずに立ち向かいます！</COL>,<COL B6FF01>《Fearless》I will face them without fear!</COL>
<COL B6FF01>《集視》覚者さま、私が敵を引き受けます！</COL>,"<COL B6FF01>《Attraction》Lord Arisen, I will take on the enemy!</COL>"
<COL B6FF01>《集視》ご安心を、私が前に出ます！</COL>,"<COL B6FF01>《Attraction》Rest assured, I will take the lead!</COL>"
"<COL B6FF01>《守護》防御性能を引き上げます！
攻めましょう！</COL>",<COL B6FF01>《Protection》 increases defense power! Let's attack!</COL>
<COL B6FF01>《守護》味方全員の守りを高めます！</COL>,<COL B6FF01>《Protection》 enhances the defense of all allies!</COL>
<COL B6FF01>《蘇生》覚者さまの命、私がお救いします！</COL>,"<COL B6FF01>《Resurrection》 I will save your life, o Arisen!</COL>"
覚者さま、新たな特技を閃きました！,"Dear Arisen, I've got a new Special Skill up my sleeve!"
雇われたポーンから、特技を学びました！,I learned the Special Skill from the hired Pawn!
"覚者さま
付近にジョブ修練敵がいるようです","Lord Arisen,
It appears that there are job training enemies nearby."
