"old","new"
"目指しましょう！　共に勝利を！！","Let's aim for it!　Together we will win!"
"最高のパートナーですね、マスター！","You are the best partner, Master!"
"なんと心強い！　負ける気がしません！","How reassuring!　I don't feel like losing!"
"共に行けること、誇りに思います！","I am proud to be able to go with you!"
"おお！　この出会いに感謝します！","Oh! I am grateful for this encounter!"
"いざ行かん、試練の旅へ！","Let us embark on a journey of trials!"
"おお！　あの方が来られたのでは？","Oh!　Isn't that guy here?"
"これぞ、熱意の成せる業！","This is the result of passion and dedication!"
"よしッ！　次もこの調子で！！","Alright! Let's keep it up for the next one!"
"我がマスターに栄光あれ！","Glory be to our Master!"
"くっ――この失敗は次の糧に！","Well... This failure will be my next stepping stone!"
"努力のたまものです！","It is the fruit of my efforts!"
"我が力、尽きること無し！","My power is never ending!"
"授かりし力、存分に奮う覚悟！","The power bestowed upon me, I shall exert it to the fullest with unwavering resolve!"
"どんな冒険が始まるのでしょうね、マスター！","I wonder what adventures are in store for you, Master!"
"我らの行く手、さえぎるものなし！","Nothing can stop us!"
"いた、そこか！","There it is!"
"敵発見、備えを！","Enemy detected, be prepared!"
"我がマスターの邪魔はさせるか！","I will not let you interfere with my master!"
"これは！　相手にとって不足なし！","This is it! No shortage of opponents!"
"なに、必ず勝機はあるはずです！","What? There is always a chance to win!"
"面目ありません！","I am ashamed!"
"――っ、救援を！","――Help, rescue me!"
"手を貸して下さい！","Please lend me a hand!"
"む、無念――","I'm sorry..."
"し、しまった――","Oh, shoot."
"先手必勝！","Preemptive action!"
"蹴散らしましょう！","Let's kick ass!"
"うむ、いい戦いでした！","Mm, it was a good fight!"
"ははは！　我らの勝ちです！","Ha ha!　We win!"
"我がマスターに敵はなし！！","Our Master has no enemies!"
"マスター！！　今です！","Master!! Now!"
"こんな傷など！　まだまだ余裕です","These are only scratches!　There is still room for more!"
"これしきの傷で、引くものかっ！","I'm not going to back down just because of this little injury!"
"危機にこそ、チャンスがあります！","There is opportunity in crisis!"
"ま、まだまだぁ！！","Well, not yet!"
"うおおお、持ちこたえてみせる！！","Woohoo, I'll hold on!"
"マ、マスタァアーー！！！","Ma, mastaaaaaaaah!"
"はあああああっ！","Haaaaaaah!"
"よし！　回復だ！","All right!　Recovery!"
"こっちだぁ！　臆病者ども！","This way!　Cowards!"
"何度でも助けます！","I will help you as many times as you need!"
"そうはさせるか！","I won't let that happen!"
"ここで行く！","Here we go!"
"受けてみろ！","Take it!"
"我が渾身の力！","With all my might!"
"私を踏み台に！","Use me as a springboard!"
"任せて下さい！","We'll take care of it!"
"了解です！","Roger that!"
"う！　で、できません！","Oops! I, I can't do it!"
"おお、冒険のご準備でしょうか？","Oh, are you preparing for an adventure?"
"ご出発はいつでしょうか？
是非、お供を！","When is your departure?
Please let me accompany you!"
"マスター？もしやお疲れではありませんか？","Master? Are you tired, by any chance?"
"疲れを取ることも大事です！","It is also important to get rid of fatigue!"
"お休みになるのですね、マスター！よき夢を！","You are going to have a good night's rest, Master! Sweet dreams!"
