"old",""
"【ヒント：遠方への冒険準備】","【Hint: Preparation for Distant Adventures】"
"遠方へ向かう前は、保管ボックスや商店で
装備を整えましょう
※保管ボックスの《報酬受け取り》から
　LV.5用武器を入手し、装備しましょう","Before heading off into the distance, let's 
prepare equipment at the Storage Box and shops.
※Obtain a LV.5 weapon from the ""Rewards Received"" 
in the Storage Box and equip it."
"テル村へはリム転移を使えばすぐに行けるよ
そこでエリアマスターのアルフレドと会う","You can quickly go to Tel Village 
using Rift Teleport.
There, you will meet the Area Master, Alfred."
"そして《ポーン郷》へ行く
まずは、そこからだね","And then you'll go to the《Pawn Cathedral.》
That's a good place to start."
"あなたはどんなポーンと出会うのでしょうね
わたしも楽しみです","What kind of Pawns will you encounter, I wonder? 
I'm looking forward to it as well."
"ほう、ポーンと契約する気になったのか
ふむ、それでこそ覚者だ","Oh, so you've decided 
to make a contract with the Pawns. 
Well, that's what it truly means to be an Arisen."
"ふふふ――
どうやら本決まりになりそうなんだ
例の話――","Hehehe—
Looks like it's going to be official.
That thing we talked about—"
"ああ、話したい！　しゃべってしまいたい！","Oh, I want to talk! I want to speak!"
"この先は行き止まりだ","It's a dead end."
"前の大水で橋が流されてな
復旧の目処はまったく立っていない
――どこへ行くつもりなんだ？","The bridge was washed away in the previous flood,
and there is no prospect of restoration at all.
Where do you intend to go?"
"なるほど、《ポーン郷》か
ならば一度、引き返すことをすすめるよ","I see... Pawn Cathedral.
Then I suggest you turn around and go back."
"テル村へ行ってアルフレドに相談するといい
確か、村から森の方へ抜けられる道が
あったはずだ","It would be a good idea to go to Tel Village and 
consult with Alfred. 
I remember there was a path that leads 
from the village to the forest."
"橋はいつ直るのかって？","When will the bridge be repaired?"
"さあな――ミスリウの森の材木があれば
良いのだろうが――
ここまで木を運ぶのはかなり大変だ","I don't know--
Well, I suppose it would be good to have lumber 
from the Mysree Forest. 
But it's quite difficult to 
transport it all the way here."
"《ポーン郷》方面はしばらくのあいだ
テル村経由で行くしかないだろうな","The area around the Pawn Cathedral will probably 
have to be reached through Tel Village for a while."
"おお、貴君は――
いつぞやはご苦労だったな","Oh, you--
I'm sorry to hear about your 
troubles the other day."
"あらためて挨拶をさせてもらおう
わたしはハイデル平原のエリアマスター
覚者のアルフレドだ","Let me greet you again.
I am the Area Master of the Hidell Plains,
Alfredo the Arisen."
"知っていると思うがエリアマスターとは
担当地区を取り仕切る監督官のことだ","I think you already know, but an Area Master is 
the supervisor who oversees a designated area."
"さて――
我々エリアマスターは、エリアを訪れる覚者に対し
情報の提供や、アイテムの支給を行っている","Now then―― 
As Area Masters, we provide information and 
supply items to the Arisen who visit our areas."
"また、エリアの名声度
――つまり、《エリアランク》が高い者に対しては
封鎖された場所への立入許可を
与えることもできるのだ","Furthermore, for individuals with high area fame,
in other words, a high ""Area Rank"",
access permits to sealed areas 
can also be granted."
"貴君は今、《ポーン郷》へ行きたいのだろう？
ならば、丁度良い","Do you want to go to Pawn Cathedral now?
In that case, it's just perfect."
"以前レオの使者として貴君がここに来た時の
活躍は十分評価に値する","The achievements you made when you came here 
before as an envoy of Leo are highly commendable."
"その礼として、封鎖エリアの一つを
開放しようではないか","As a token of gratitude, how about we
open up one of the sealed areas?"
"《ポーン郷》へと続く《狩人の抜け穴》を
貴君が通れるようにしておこう
やや危険だが、貴君なら問題ないだろう","I will ensure that you can pass through the 
Hunters' Secret Passage 
that leads to the Pawn Cathedral. 

It may be somewhat dangerous, 
but I'm sure you will be able to handle it."
"では、わたしに話しかけ直して
《エリア情報》を選び
エリアランクとその内容を確認してくれ","Then, please speak to me again and choose 
""Area Information."" 
Confirm the Area Rank and its contents for me."
