"old","new"
"メリークリスマス、覚者様
個人的なお話で恐縮なのですが
ご相談したいことがございまして――","Merry Christmas, Ser Arisen. 
I apologize for the personal nature of this 
request, but I have something I wish 
to discuss with you."
"主は、とても熱心に活動を続けております
ただ熱心すぎるが故に、
たまに心配になってしまうのです","Master is tirelessly continuing their work. 
But at times, their fervor makes me worry for 
their well-being."
"従者として何か手助けができれば――
主の心をほっと癒すような
美酒などをご存じではございませんか","As a humble servant, I wish to offer help. 
Do you know of any fine wine that might soothe 
the Master's troubled heart?"
"はぁい覚者さま、私に何か用？
おすすめのお酒？それなら答えは一つ！
みんな大好き《レスタニアワイン》！
これしかないわね","Hello, Master Arisen. Do you need something from 
me? Looking for a drink recommendation? 
I have just the one! 
Everyone's favorite, 《Lestania Wine》! 
There's nothing better than this!"
"なるほど、《レスタニアワイン》
で、ございますか
滋味豊かなワインであれば
きっと我が主にも喜んで貰えるでしょう","I see, 《Lestania Wine》, is it? 
If it's a rich and flavorful wine, 
I'm sure it will bring joy to my Master as well."
"覚者様、よろしければそれが
どのようなワインなのか
ぜひ実物を見せてくださいませんか
それを覚えて、買いに行きたいと思います","Ser Arisen, if you would be so kind, 
could you show me what kind of wine it is? 
I would like to see the actual bottle, 
so I can remember it and buy it later."
"おお、有り難うございます！
これがレスタニアワインなのですね
後からこっそり買って、主を驚かせたいものです","Ah, thank you! So this is the Lestania Wine, 
is it? I’ll quietly buy it later and surprise 
my Master with it."
"さあ、乾杯前に、この歓びを写真におさめて
思い出に残しておきましょう","Now then, before we toast, 
let's capture this joy in a photograph and 
keep it as a memento."
"マルコが《レスタニアワイン》をくれたのだ
どうやら君が協力をしてくれたようだね
わしからもお礼を言っておこう
どうもありがとう！","Marco gave me the 《Lestania Wine》. It seems 
that you helped him out. Allow me to express my 
gratitude as well. Thank you so much!"
"目的に向かって熱心になるあまり
自らが心の余裕を失っては意味がない
――私は良い従者をもった幸せ者だな","In my zeal to pursue a goal, I must not lose 
the peace of mind that is necessary for it. 
-- I am a lucky one, to have such a devoted 
companion."
"この酒場には、ナンシー様という
お酒に詳しい店員がいると聞きました
彼女ならおすすめの美酒を教えてくれると思います
それを、私に＜Say＞で教えてください","I’ve heard that there’s a bartender here named 
Nancy, who’s quite knowledgeable about fine 
alcohol. I believe she could offer you a great 
suggestion. Please let me know via <Say>."
"このレスタニアに幸せを広めること
それが私の務めであり望みでもなのだ","Spreading happiness throughout the land 
of Lestania, 
that is both my duty and my wish."
"メリークリスマス、覚者さま
我が主はとても勤勉というか真面目な方で
あたしもマルコもたまーに心配になるの","Merry Christmas, Master Arisen. 
My lord is so diligent and earnest that both 
Marco and I occasionally find ourselves worrying."
"でも、主の望みを叶えることこそ
ポーンの務め！
頑張らなくっちゃね","But fulfilling the Master's wishes 
is the Pawn's duty! 
I must give it my all and do my best!"
"おすすめは何と言っても《レスタニアワイン》
ここに住む人たちなら誰でも大好きでしょう？
もちろん、あたしも大好きよ！","The best recommendation is definitely 
《Lestania Wine》, everyone who lives here 
adores it, right? 
And of course, I love it too!"
"さあ、乾杯の前に
我々と共に記念撮影をいたしましょう","Now, before we toast, 
let us capture a commemorative photo together."
