key,old,new
CUSTOM_SKILL_COMMAND_02_20,セットボタンを押す,Press the assigned button.
CUSTOM_SKILL_COMMAND_02_21,セットボタンを押す,Press the assigned button.
CUSTOM_SKILL_COMMAND_02_24,セットボタンを押す,Press the assigned button.
CUSTOM_SKILL_COMMAND_02_22,セットボタンを押す,Press the assigned button.
CUSTOM_SKILL_COMMAND_02_29,セットボタンを押す,Press the assigned button.
CUSTOM_SKILL_COMMAND_02_23,セットボタンを押す,Press the assigned button.
CUSTOM_SKILL_COMMAND_02_25,セットボタンを押す,Press the assigned button.
CUSTOM_SKILL_COMMAND_02_26,セットボタンを押す,Press the assigned button.
CUSTOM_SKILL_COMMAND_02_30,セットボタンを押す,Press the assigned button.
CUSTOM_SKILL_COMMAND_02_31,セットボタンを押す,Press the assigned button.
CUSTOM_SKILL_COMMAND_02_27,セットボタンを押す,Press the assigned button.
CUSTOM_SKILL_COMMAND_02_28,敵の攻撃を引きつけてセットボタンを押す,"Just as an enemy attacks,
press the assigned button."
CUSTOM_SKILL_COMMAND_02_129,セットボタンを押す,Press the assigned button.
CUSTOM_SKILL_COMMAND_02_130,"セットボタンを押す
発動中にセットボタン再入力で追い打ち
<KC JUMP>で急停止","Press the assigned button.
Press the assigned button again after
activation to chase.
Cancel with <KC JUMP>."
CUSTOM_SKILL_COMMAND_02_160,敵の攻撃を引きつけてセットボタンを押す,"Just as an enemy attacks,
press the assigned button."
CUSTOM_SKILL_COMMAND_02_161,敵の攻撃を引きつけてセットボタンを押す,"Just as an enemy attacks,
press the assigned button."
CUSTOM_SKILL_COMMAND_02_158,セットボタンを押す,Press the assigned button.
CUSTOM_SKILL_COMMAND_02_159,セットボタンを押す,Press the assigned button.
CUSTOM_SKILL_COMMAND_02_213,セットボタンを押す,Press the assigned button.
CUSTOM_SKILL_COMMAND_02_214,セットボタンを押す,Press the assigned button.
CUSTOM_SKILL_COMMAND_02_215,セットボタンを押す,Press the assigned button.
CUSTOM_SKILL_COMMAND_02_216,セットボタンを押す,Press the assigned button.
