key,old,new
CUSTOM_SKILL_INFO_04_48,"自身を中心に物理攻撃力と魔法攻撃力を
一時的に強化する魔法エリアを展開する
フィールドシフトに対応
<COL ffdc78>LV UP毎に離脱後の効果持続時間延長
LV.６で展開エリアのサイズ拡張</COL>","Emits an aura of Attack and Magick power.
Applies a temporary increase to nearby allies.
Can be used with Field Shift.
<COL ffdc78>LV UP: Increases duration after leaving the aura.
LV.6: Increases the size of the effect.</COL>"
CUSTOM_SKILL_INFO_04_49,"自身を中心に物理防御力と魔法防御力を
一時的に強化する魔法エリアを展開する
フィールドシフトに対応
<COL ffdc78>LV UP毎に離脱後の効果持続時間延長
LV.６で展開エリアのサイズ拡張</COL>","Emits an aura of Attack and Magick defense.
Applies a temporary increase to nearby allies.
Can be used with Field Shift.
<COL ffdc78>LV UP: Increases duration after leaving the aura.
LV.6: Increases the size of the effect.</COL>"
CUSTOM_SKILL_INFO_04_46,"魔力を溜めた後、杖を振って追尾性能を持つ
聖属性の魔法球を複数放つ
<COL ffdc78>LV UP毎に攻撃威力の上昇
LV.６で魔法球増加（３→５）</COL>","After charging, launch tracking projectiles.
Fires magick spheres of Holy attribute.
<COL ffdc78>LV UP: Increases damage.
LV.6: Increases number of magick spheres (3→5).</COL>"
CUSTOM_SKILL_INFO_04_50,"自身を中心に高速に旋回する魔球を生成
受けた攻撃を魔球の数だけ無効化する
<COL ffdc78>LV UP毎に持続時間延長
LV.６で魔球数増加（３→５）</COL>","Generates magick spheres that revolve
around oneself. The spheres will each
nullify one attack.
<COL ffdc78>LV UP: Increases duration of the effect.
LV.6: Increases number of magick spheres (3→5).</COL>"
CUSTOM_SKILL_INFO_04_44,"急速に体力を回復させる魔法エリアを発現させる
（最大回復量は治癒上限値）（対不死には攻撃）
<COL ffdc78>LV UP毎に設置持続時間が延長
LV.６で展開エリアのサイズ拡張</COL>","Creates a magick area that rapidly regenerates health.
(Maximum healing limited to grey health)
(Inflicts damage to undead)
<COL ffdc78>LV UP: Increases duration of the effect.
LV.6: Increases the size of the effect.</COL>"
CUSTOM_SKILL_INFO_04_45,"一部の状態異常を瞬時に治療する魔法エリアを
発現させる（対不死には攻撃）
<COL ffdc78>LV UP毎に設置持続時間が延長
LV.６で展開エリアのサイズ拡張</COL>","Creates a magick area that instantly
cures debilitations.
(Inflicts damage to undead)
<COL ffdc78>LV UP: Increases duration of the effect.
LV.6: Increases the size of the effect.</COL>"
CUSTOM_SKILL_INFO_04_47,"魔力を溜めた後、広範囲に向けて
聖属性の強い光を放射する魔球を展開する
<COL ffdc78>LV UP毎に攻撃威力の上昇
LV.６で攻撃範囲拡大</COL>","After charging, fire a magick sphere that emits
an intense light of the Holy attribute in a wide area.
<COL ffdc78>LV UP: Increases damage.
LV.6: Increases the range of the effect.</COL>"
CUSTOM_SKILL_INFO_04_54,"自身の体に魔力を溜め込み、体力が尽きると同時に
大爆発を起こし、周囲の敵に大ダメージを与える
<COL ffdc78>LV UP毎に発動中のスタミナ消費減少
LV.６で攻撃威力の上昇／攻撃範囲拡大</COL>","Charge magick within your body. When your health is
exhausted, create a wide explosion dealing
large damage to enemies.
<COL ffdc78>LV UP: Decreases Stamina consumption.
LV.6: Increases the damage and range of the effect.</COL>"
CUSTOM_SKILL_INFO_04_55,"自身を中心に、耐久力を
一時的に強化する魔法エリアを展開する
フィールドシフトに対応
<COL ffdc78>LV UP毎に離脱後の効果持続時間延長
LV.６で展開エリアのサイズ拡張</COL>","Emits an aura of Endurance.
Applies a temporary increase to nearby allies.
Can be used with Field Shift.
<COL ffdc78>LV UP: Increases duration after leaving the aura.
LV.6: Increases the size of the effect.</COL>"
CUSTOM_SKILL_INFO_04_52,"急速にスタミナを回復させる魔法エリアを
発現させる（対不死には攻撃）
<COL ffdc78>LV UP毎に設置持続時間が延長
LV.６で展開エリアのサイズ拡張</COL>","Creates a magick area that rapidly regenerates Stamina.
(Inflicts damage to undead)
<COL ffdc78>LV UP: Increases duration of the effect.
LV.6: Increases the size of the effect.</COL>"
