key,old,new
CUSTOM_SKILL_NAME_05_56,フォースシールド,Force Shield
CUSTOM_SKILL_NAME_05_58,スローライト,Slow Light
CUSTOM_SKILL_NAME_05_59,ヒュプノスライト,Hypnos Light
CUSTOM_SKILL_NAME_05_60,ランパートレイド,Rampart Raid
CUSTOM_SKILL_NAME_05_62,エレメントグロウ,Element Glow
CUSTOM_SKILL_NAME_05_61,アースシェイク,Earth Shake
CUSTOM_SKILL_NAME_05_63,バインドアンカー,Binding Anchor
CUSTOM_SKILL_NAME_05_57,セントウォール,Holy Wall
CUSTOM_SKILL_NAME_05_65,エレメントライト,Element Light
CUSTOM_SKILL_NAME_05_66,スタンバースト,Stun Burst
CUSTOM_SKILL_NAME_05_64,ハンズオブゴッド,Hands of God
CUSTOM_SKILL_NAME_05_67,フォースアンカー,Force Anchor
CUSTOM_SKILL_NAME_05_136,ストーンライト,Stone Light
CUSTOM_SKILL_NAME_05_135,プロテクションスイング,Protection Swing
CUSTOM_SKILL_NAME_05_170,アースシェイク 剛,Earth Shake (P)
CUSTOM_SKILL_NAME_05_171,アースシェイク 技,Earth Shake (T)
CUSTOM_SKILL_NAME_05_172,フォースシールド 剛,Force Shield (P)
CUSTOM_SKILL_NAME_05_173,フォースシールド 技,Force Shield (T)
CUSTOM_SKILL_NAME_05_205,ランパートレイド 剛,Rampart Raid (P)
CUSTOM_SKILL_NAME_05_206,ランパートレイド 技,Rampart Raid (T)
CUSTOM_SKILL_NAME_05_207,セントウォール 剛,Holy Wall (P)
CUSTOM_SKILL_NAME_05_208,セントウォール 技,Holy Wall (T)
