key,old,new
NORMAL_SKILL_COMMAND_05_70,<KC ATTACK1>を押す,Press <KC ATTACK1>.
NORMAL_SKILL_COMMAND_05_83,空中で<KC ATTACK1>を押す,"While in the air, press <KC ATTACK1>."
NORMAL_SKILL_COMMAND_05_72,"<PADM><KC ATTACK2>を押し、左スティックを倒して３属性を選択<KEYM><KC ATTACK2>を押し、マウス移動で３属性を選択</KEYM>
<PADM><KC ATTACK2>を押して属性決定<KEYM><KC ATTACK1>または<KC ATTACK2>を押して属性決定","Press <PADM><KC ATTACK2><KEYM><KC ATTACK2></KEYM>, then select from <PADM>3<KEYM>3</KEYM> elements
using <PADM>the left stick<KEYM>mouse movement</KEYM>.
Press <PADM><KC ATTACK2><KEYM><KC ATTACK1> or <KC ATTACK2></KEYM> to confirm element choice."
NORMAL_SKILL_COMMAND_05_73,"<PADM><KC ATTACK2>を押し、左スティックを倒して５属性を選択<KEYM><KC ATTACK2>を押し、マウス移動で５属性を選択</KEYM>
<PADM><KC ATTACK2>を押して属性決定<KEYM><KC ATTACK1>または<KC ATTACK2>を押して属性決定","Press <PADM><KC ATTACK2><KEYM><KC ATTACK2></KEYM>, then select from <PADM>5<KEYM>5</KEYM> elements
using <PADM>the left stick<KEYM>mouse movement</KEYM>.
Press <PADM><KC ATTACK2><KEYM><KC ATTACK1> or <KC ATTACK2></KEYM> to confirm element choice."
NORMAL_SKILL_COMMAND_05_74,敵の攻撃を受ける（スキル発動中を除く）,Block an enemy attack (except when using skills).
NORMAL_SKILL_COMMAND_05_75,<KC WEAPON_SUB>を押す,Press <KC WEAPON_SUB>.
NORMAL_SKILL_COMMAND_05_76,敵の攻撃を引きつけて<KC WEAPON_SUB>を押す,"Just as an enemy attacks,
press <KC WEAPON_SUB>."
NORMAL_SKILL_COMMAND_05_77,<KC SKILL_NORMAL2>を押す,Press <KC SKILL_NORMAL2>.
NORMAL_SKILL_COMMAND_05_78,<KC WEAPON_MAIN>を押し続ける,Hold <KC WEAPON_MAIN>
NORMAL_SKILL_COMMAND_05_79,<KC WEAPON_MAIN>を押し続ける,Hold <KC WEAPON_MAIN>
NORMAL_SKILL_COMMAND_05_80,<KC SKILL_NORMAL1>を押す,Press <KC SKILL_NORMAL1>.
NORMAL_SKILL_COMMAND_05_81,敵の攻撃を防いだ直後、<PADM>左スティックを素早く後方から前方で反撃、前方から後方で後退<KEYM><KC MOVE_FORWARD>を素早く２回押すと反撃、<KC MOVE_BACKWARD>を素早く２回押すと後退</KEYM>,"Immediately after guarding against an enemy attack,
<PADM>quickly move the left stick backwards then forwards to attack, or the opposite to retreat.<KEYM>quickly press <KC MOVE_FORWARD> twice to counterattack,
quickly press <KC MOVE_BACKWARD> twice to retreat."
NORMAL_SKILL_COMMAND_05_91,しがみつき中に<KC ATTACK1>を押す,"While climbing an enemy,
press <KC ATTACK1>."
