key,old,new
NORMAL_SKILL_INFO_09_136,錬成物質を生みだし前方に放つ,"Create an alchemical substance
and fire it forward."
NORMAL_SKILL_INFO_09_137,錬成物質を生みだし広範囲に放つ,"Create alchemical substances
and release them over a wide area."
NORMAL_SKILL_INFO_09_143,空中で錬成物質を生みだし下方に放つ,"Create an alchemical substance while in the air,
and fire it downward."
NORMAL_SKILL_INFO_09_144,空中で錬成物質を生みだし前方に放つ,"Create an alchemical substance while in the air,
and launch it spinning forward."
NORMAL_SKILL_INFO_09_138,"錬成物質を一点集中して成長させる
タイミングよくボタンを押すと攻撃回数が増加
空中でも発動可能
<COL ffdc78>LV UPで攻撃回数が増加し、錬成物質を
より成長させる＜クラスター・マギス＞に進化</COL>","Create an alchemical substance that expands outward.
Pressing the set button with correct timing increases number of attacks.
Can be activated even while in the air.
<COL ffdc78>LV UP: Becomes Cluster Magis, increasing maximum number
of attacks and expansion radius.</COL>"
NORMAL_SKILL_INFO_09_139,"錬成物質を一点集中して、さらに成長させる
タイミングよくボタンを押すと攻撃回数が増加
空中でも発動可能","Concentrate an alchemical substance on one point
and expand it outwards. Pressing the set button with correct timing
increases the number of attacks.
Can be activated even while in the air."
NORMAL_SKILL_INFO_09_142,"エリクシルが秘めた性質を解放する
空中でも発動可能","Unleash the Elixir's hidden potential.
Can be activated even while in the air."
NORMAL_SKILL_INFO_09_141,"装備しているエリクシルを切替える
エリクシルの種類により、エリクシル
発動時に発生する状態異常が変化する
空中でも発動可能","Switch the currently equipped elixir.
Depending on the Elixir's type, the status abnormality
inflicted upon Elixir activation changes.
Can be activated even while in the air."
NORMAL_SKILL_INFO_09_140,"錬成物質を生みつつ、素早く後方に身を逸らす
錬成物質に敵の攻撃が接触すると、自動で
攻撃が繰り出される","Create a mass of alchemical substances that
quickly propels you backward. When an enemy's attack comes into
contact with the mass, it will explode outward and damage them."
NORMAL_SKILL_INFO_09_145,"空中に錬成式で足場を生成し
それを蹴ることでより遠くまで跳ぶ","Generate a temporary foothold while in the air
and propel yourself by kicking off of it."
NORMAL_SKILL_INFO_09_147,"しがみついた状態で
錬成物質を一点集中して、さらに成長させる
タイミングよくボタンを押すと攻撃回数が増加
<COL ffdc78>LV UPで攻撃回数が増加し、錬成物質を
より成長させる＜コンクラスター・マギス＞に進化</COL>","While climbing an enemy,
concentrate an alchemical substance on one point and expand it 
outwards. Pressing the set button with correct timing increases
the number of attacks.
<COL ffdc78>LV UP: Becomes Concluster Magis, increasing maximum number
of attacks and expansion radius.</COL>"
NORMAL_SKILL_INFO_09_148,"しがみついた状態で
錬成物質を一点集中して、さらに成長させる
タイミングよくボタンを押すと攻撃回数が増加","While climbing an enemy,
concentrate an alchemical substance on one point and expand it 
outwards. Pressing the set button with correct timing increases
the number of attacks."
NORMAL_SKILL_INFO_09_164,"敵の攻撃に対してタイミングよく自身のスキルを
放つことで、敵の攻撃を防いで錬成物質を
付着させる。また、自身に金を纏って一定時間
敵の攻撃を遮断する
一部の回避／防御スキルでは発動不可","When timely unleashing your skills while an enemy attacks,
coat yourself in a protective layer of gold to prevent further attacks
for a period of time, and attach alchemical stakes to them in the process.
Cannot be used in conjuction with some avoidance/defense skills."
