key,old,new
NORMAL_SKILL_NAME_08_113,<PADM>闘波の構え<KEYM>構えの変更（闘波の構え）,<PADM>Seeker Stance<KEYM>Change Stance (Seeker Stance)
NORMAL_SKILL_NAME_08_114,闘波の魔眼,Magick Eye: Seeker
NORMAL_SKILL_NAME_08_115,闘波の矢,Seeker Arrow
NORMAL_SKILL_NAME_08_116,闘波の集中,Concentration: Seeker
NORMAL_SKILL_NAME_08_117,<PADM>助真の構え<KEYM>構えの変更（助真の構え）,<PADM>True Aid Stance<KEYM>Change Stance (True Aid Stance)
NORMAL_SKILL_NAME_08_118,助真の魔眼,Magick Eye: True Aid
NORMAL_SKILL_NAME_08_119,助真の矢,True Aid Arrow
NORMAL_SKILL_NAME_08_120,助真の集中,Concentration: True Aid
NORMAL_SKILL_NAME_08_121,前蹴り,Front Kick
NORMAL_SKILL_NAME_08_122,癒しの装,Healing Shroud
NORMAL_SKILL_NAME_08_123,狙いの神眼,God's Eye: Aim
NORMAL_SKILL_NAME_08_135,奮わせ直魔矢,Invigorating Magick Arrow
NORMAL_SKILL_NAME_08_178,魔眼転移,
