key,old,new
SPOT_NAME_450,白竜神殿レーゼ,The White Dragon Temple
SPOT_NAME_451,テル,Tel
SPOT_NAME_452,ローテス,Rotes
SPOT_NAME_453,リンウッド,Lynwood
SPOT_NAME_454,ジンゲン,Jingen
SPOT_NAME_455,キノザ,Kinoza
SPOT_NAME_456,ホボリック洞穴,Hobolic Cave
SPOT_NAME_457,ドラワン,Drawan
SPOT_NAME_458,ゾマ,Zoma
SPOT_NAME_459,メルゴダ居住区,Mergoda Residential Area
SPOT_NAME_460,ハイデル平原,Hidell Plains
SPOT_NAME_461,ブリア海岸,Breya Coast
SPOT_NAME_462,バートランド平原,Betland Plains
SPOT_NAME_463,ダウ渓谷,Dowe Valley
SPOT_NAME_464,ボルド鉱山,Volden Mines
SPOT_NAME_465,ミスリウ森林,Mysree Forest
SPOT_NAME_466,ミスリウ森林深部,Mysree Grove
SPOT_NAME_467,バートランド平原北部,Northern Betland Plains
SPOT_NAME_468,ザンドラ東部,Eastern Zandora
SPOT_NAME_469,ザンドラ禁域,Zandora Wastelands
SPOT_NAME_470,ディナン深層林,Deenan Woods
SPOT_NAME_471,グリッテン砦,Gritten Fort
SPOT_NAME_472,燐光虫の洞窟,Glowworm Cave
SPOT_NAME_473,ガルドノック砦,Gardnox Fortress
SPOT_NAME_474,ドリード城,Dreed Castle
SPOT_NAME_475,エルテ・ディナン,Erte Deenan
SPOT_NAME_476,ボルド大坑道,Volden Large Tunnels
SPOT_NAME_477,竜の巣,Dragon's Nest
SPOT_NAME_478,禊の神殿,Temple of Purification
SPOT_NAME_479,黄金宮,The Golden Palace
SPOT_NAME_480,亡都メルゴダ,Mergoda Ruins
SPOT_NAME_481,メルゴダ護政区,Mergoda Security District
SPOT_NAME_482,ポーン郷,Pawn Cathedral
SPOT_NAME_483,キノザ鉱泉,Kinoza Mineral Springs
SPOT_NAME_484,禊の神殿　離殿,Temple of Purification: South Chamber
SPOT_NAME_485,古の祭祀場,Ancient Place of Rituals
SPOT_NAME_486,ハイデル地下霊廟,Hidell Catacombs
SPOT_NAME_487,ハイデル地下霊廟　深部,Hidell Catacombs Depths
SPOT_NAME_488,ハイデル地下霊廟　最深部,Hidell Catacombs Innermost Depths
SPOT_NAME_489,リンウッド地下水路,Lynwood Underground Waterway
SPOT_NAME_490,採掘師の隠れ道,Miners' Secret Route
SPOT_NAME_491,南壁のひび,Southern Wall Fissure
SPOT_NAME_492,カタコンベ,Catacombs
SPOT_NAME_493,蒼葉のテラス,Greenleaf Terrace
SPOT_NAME_494,神花のテラス,Divine Blossom Terrace
SPOT_NAME_495,レ・カルバス・アーマ,Le Karvas Arma
SPOT_NAME_496,戦鬼の影穴,War Demons' Hideout
SPOT_NAME_497,バートランド地下道,Betland Underground Passage
SPOT_NAME_498,地下納骨堂,Underground Crypt
SPOT_NAME_499,メルゴダ大水網,Mergoda Flood Channels
SPOT_NAME_500,死王の迷宮,Dead Lord's Labyrinth
SPOT_NAME_501,さる錬金術師の家,An Alchemist's Home
SPOT_NAME_502,エリクシル精製室,Elixir Refining Chamber
SPOT_NAME_503,南ハイデル大橋,South Hidell Bridge
SPOT_NAME_504,南壁谷の道,Southern Wall Gorge
SPOT_NAME_505,バートランド東関所,Betland East Side
SPOT_NAME_506,ディナン山道,Deenan Mountain Road
SPOT_NAME_507,バートランド山道,Betland Mountain Road
SPOT_NAME_508,フロックヴァルト大橋,Flocwald Bridge
SPOT_NAME_509,カタコンベ（カスタム）01,Catacombs (Custom) 01
SPOT_NAME_510,自然洞窟＋坑道（カスタム）00,Natural Cave + Tunnel (custom) 00
SPOT_NAME_511,エルフ遺跡（カスタム）00,Elf ruins (custom) 00
SPOT_NAME_512,地下通路＋水路（カスタム）00,Underground passage + waterway (custom) 00
SPOT_NAME_513,枯れ井戸の中（カスタム）00,Dry well interior (custom) 00
SPOT_NAME_514,祠の中（カスタム）00,Shrine interior (custom) 00
SPOT_NAME_515,地下室（ワイン倉庫）00,Basement (wine storage) 00
SPOT_NAME_516,異界の狭間,The Rift
SPOT_NAME_517,アーク,The Ark
SPOT_NAME_518,グリッテン砦　通行許可,Gritten Fort Travel Office
SPOT_NAME_519,ハイデル教会,Hidell Church
SPOT_NAME_520,モルトバ灯台,Moltova Lighthouse
SPOT_NAME_521,旧騎士団監視塔,Knights' Old Watchtower
