"key","old","new"
"TUTORIAL_8","メインクエスト","Main Quests"
"TUTORIAL_24","詳細～広域マップの使い方","Using the Area Map"
"TUTORIAL_27","覚者の基本能力","Basic Abilities"
"TUTORIAL_29","ショートカット登録","Shortcut Bar"
"TUTORIAL_31","危険な場所","Hazardous Locations"
"TUTORIAL_32","ボードクエスト","Board Quest"
"TUTORIAL_33","戦うべき敵","Fighting Monsters"
"TUTORIAL_35","白竜神殿レーゼ","The White Dragon Temple"
"TUTORIAL_36","優先クエスト","Priority Quests"
"TUTORIAL_38","世界の住人","NPCs"
"TUTORIAL_39","ミニマップの使い方","Using the Minimap"
"TUTORIAL_40","レスタニアニュース","Lestania News"
"TUTORIAL_42","ワールドクエスト","World Quests"
"TUTORIAL_43","クエスト推奨レベル","Quest Recommended Level"
"TUTORIAL_46","チャットログ","Chat Log"
"TUTORIAL_49","覚者の基本成長","Basic Growth"
"TUTORIAL_53","クライミング","Climbing"
"TUTORIAL_55","アイテムの入手","Obtaining Items"
"TUTORIAL_56","アイテムの活用","Using Items"
"TUTORIAL_57","エレメントアーチャーの戦術的役割","Tactical Role of the Element Archer"
"TUTORIAL_66","ファイターの戦術的役割","Tactical Role of the Fighter"
"TUTORIAL_67","プリーストの戦術的役割","Tactical Role of the Priest"
"TUTORIAL_68","ハンターの戦術的役割","Tactical Role of the Hunter"
"TUTORIAL_69","シールドセージの戦術的役割","Tactical Role of the Shield Sage"
"TUTORIAL_70","シーカーの戦術的役割","Tactical Role of the Seeker"
"TUTORIAL_71","ウォリアーの戦術的役割","Tactical Role of the Warrior"
"TUTORIAL_72","ソーサラーの戦術的役割","Tactical Role of the Sorcerer"
"TUTORIAL_73","ファイターの戦法：基本","Basic Tactics: Fighter"
"TUTORIAL_74","プリーストの戦法：基本","Basic Tactics: Priest"
"TUTORIAL_75","ハンターの戦法：基本","Basic Tactics: Hunter"
"TUTORIAL_76","シールドセージの戦法：基本","Basic Tactics: Shield Sage"
"TUTORIAL_77","シーカーの戦法：基本","Basic Tactics: Seeker"
