"key","old","new"
"CRAFT_MSG_TITLE01","Craft","Craft"
"CRAFT_MSG_TITLE02","クラフト","Craft"
"MENU_OPT_POINT_ASSIGN","クラフトステータス","Craft Status"
"MENU_OPT_PRODUCT","アイテム生産","Craft Item"
"MENU_OPT_UPGRADE","装備の強化","Enhance Equipment"
"MENU_OPT_CREST","クレスト装備","Mount Crest"
"MENU_OPT_CHANGE_COLOR","カラー変更","Change Color"
"MENU_OPT_CRAFT_STATUS","アイテム作成状況","Production Status"
"TITLE_PAWN_STATUS","Pawn","Pawn"
"ROW_PAWN_NAME","名前","Name"
"ROW_PAWN_STATUS","状態","Status"
"PAWN_STATUS_STAND_BY","待機","Standby"
"PAWN_STATUS_WORKING","クラフト中","Crafting"
"PAWN_STATUS_COMPLETE","クラフト中（完成）","Crafting (Complete)"
"PAWN_STATUS_PARTY","パーティー","Party"
"PAWN_STATUS_LOST","ロスト","Lost"
"BUTTON_CANCEL","キャンセル","Cancel"
"TITLE_ITEM_LIST","Item List","Item List"
"TITLE_MAKE_ITEM","アイテム作成","Created Item"
"HEADING_MAKE_ITEM","作成アイテム","Created Item"
"HEADING_CRAFT_MEMBER","クラフトメンバー","Craft Member"
"HEADING_LEADER","リーダー","Leader"
"HEADING_ASSISTANT","アシスタント","Assistant"
"HEADING_ADDITION","精錬材","Refining Material"
"BUTTON_START","作成開始","Start"
"TITLE_PAWN_LIST","Pawn List","Pawn List"
"TAB_MAIN","メイン","Main"
"TAB_SURPPORT","サポート","Support"
"ROW_NAME","Name","Name"
"ROW_CRAFT_LV","Craft LV.","Craft LV."
"ROW_STATUS","Status","Progress"
"ROW_LIMIT","Limit","Limit"
"TITLE_TOTAL","Performance","Performance"
"HEADING_SPEED","生産作業スピード","Production Speed"
"HEADING_TECHNOLOGY","装備の強化技術","Equipment Enhancement"
"HEADING_FLASH","高品質装備の作成力","Equipment Quality"
"HEADING_CAPACITY","消耗品の生産数アップ","Consumable Quantity"
"HEADING_COST_PERFORMANCE","コストパフォーマンス","Cost Performance"
"TITLE_STATUS","Status","Progress"
"CRAFT_TIME_INFINITY","∞","∞"
"ROW_REQUIRED","必要数","Required"
"HEADING_COST","作業費用","Crafting Cost"
"HEADING_TIME","作業時間","Crafting Time"
"HEADING_XP","取得経験値","Experience"
"HEADING_NUMBER","生産個数","Quantity"
"ROW_MATERIAL","素材名","Material Name"
"DIALOG_CONFIRM_START","このアイテムを通常作成します
よろしいですか？","Are you sure you want to craft this item?"
"DIALOG_START","アイテムの作成を開始しました","Crafting has begun."
"TAB_WEAPON","武器","Weapons"
"TAB_PROTECTOR","防具","Armor"
"BALLOON_LITTLE_LONGER","もう少しです","Almost Finished"
"GUIDE_PRODUCT","作成するアイテムを選択してください","Please select the item to create."
"GUIDE_UPGRADE","強化する装備を選択してください","Please select the equipment to enhance."
"GUIDE_CREST","クレスト装着する装備を選択してください","Please select the equipment to mount a crest onto."
"GUIDE_CHANGE_COLOR","カラー変更する装備を選択してください","Please select the equipment you want to color change."
"TITLE_PROGRESS_LIST","Progress List","Progress List"
"TITLE_DETAIL","Details","Details"
"BALLOON_FINISH","できました！","Finished!"
"CATEGORY_ALL","すべて","All"
"BUTTON_GET_ITEM_FOR_STORAGE","保管ボックスに受け取る","Receive in Storage Box"
"SUCCESS","Success!","Success!"
"TITLE_RECEIPT","アイテムを作成しました","Created an item"
"BUTTON_GET_ITEM","受け取る","Accept"
"DIALOG_RECEIPT_SUCCESS","<NAME ITEM>　<VAL>個を受け取りました","<NAME ITEM> x<VAL> obtained."
"DIALOG_GET_XP","クラフトを指揮していた<NAME PAWN>が
クラフト経験値を<VAL XP>入手しました","For being the craft leader, <NAME PAWN>
has gained <VAL XP> crafting experience."
"HEADING_REMAIN","残りポイント","Remaining Points"
"TITLE_POINT_ASSIGN","クラフトステータス","Craft Status"
"DIALOG_BREAKUP","クラフトラインを解散しました","Crafters have returned to standby."
"DIALOG_CONFIRM_STOP","クラフトを中止しますか？
<COL aa1414>※素材・費用・クラフト回数は消費されます</COL>","Are you sure you want to stop crafting?
<COL aa1414>※Materials and crafting cost will be lost.</COL>"
"DIALOG_STOP","クラフトを中止しました","The craft was canceled."
"ANNOUNCE_LV_UP","<NAME PAWN>のクラフトレベルが<VAL>になりました
クラフトスキルポイントを<VAL>取得しました","<NAME PAWN> has reached craft level <VAL>.
They acquired <VAL> crafting skill points."
"DIALOG_CONFIRM_POINT_ASSIGN","ポイントの割り振りを行いますか？","Are you sure you want to allocate the
crafting skill points?"
"DIALOG_POINT_ASSIGN","ポイントの割り振りを行いました","Crafting skill points allocated."
"HEADING_REINFORCE_TARGET","強化アイテム","Enhanced Item"
"HEADING_REINFORCE_POINT","強化ポイント","Enhancement Points"
"BUTTON_REINFOECE","強化","Enhance"
