key,old,new
EFC_SEALED_TITLE,Sealing Effect,Sealing Effect
EFC_SEALED_SUB_TITLE,黒呪装具の効果封印,Bitterblack Maze Effect Seal
EFC_SEALED_INFO_TITLE_COST,Cost,Cost
EFC_SEALED_INFO_NOW_COST,現在の必要費用,Current Required Cost
EFC_SEALED_INFO_NEXT_COST,NEXT費用,Next Cost
EFC_SEALED_INFO_SEALED_NUM,封印数,Sealed Count
EFC_SEALED_INFO_RESET_COST,封印の全解除費用,Reset All Seals Cost
EFC_SEALED_INFO_INFOMATION,"選択して封印した効果は、
黒呪の迷宮の装備品に付与されなくなります
封印している個数によって費用が変わります",The effects selected for sealing will no longer be applied to equipment in the Black Curse Labyrinth. The cost varies depending on the number of effects being sealed.
EFC_SEALED_INFO_TITLE_DETAIL,Details,Details
EFC_SEALED_RESET_BTN,封印の全解除,Reset All Seals
EFC_SEALED_DECIDE_BTN,決定,Decide
EFC_SEALED_ERROR_NOT_ENOUGH_COST,費用が足りません,Insufficient funds
EFC_SEALED_ERROR_OVER_SEALED_NUM,これ以上封印できません,You can't seal any more
EFC_SEALED_ERROR_RESET_NO_SEALED,何も封印されていない為、解除することができません,You can't unlock anything because nothing is sealed
EFC_SEALED_ERROR_DECIDE_NO_SELECT,何も選択していない為、封印することができません,You can't seal anything because nothing is selected
EFC_SEALED_MSG_RESET,"<COL FFDC78><UNTN RDM> <VAL RDM></COL>を使用して封印を解除しますか？
これまでに使用した<COL FFDC78><UNTN RDM> <VAL RDM></COL>が手元に戻ります",Do you want to unlock using <COL FFDC78><UNTN RDM> <VAL RDM></COL>? You will get back the <COL FFDC78><UNTN RDM> <VAL RDM></COL> you've used so far
EFC_SEALED_MSG_SEALED,<COL FFDC78><UNTN RDM> <VAL RDM></COL>を使用して封印を設定しますか？,Do you want to set a seal using <COL FFDC78><UNTN RDM> <VAL RDM></COL>?
EFC_SEALED_MSG_SEALED_SUCCESS,効果の封印に成功しました,Sealing of effects was successful
EFC_SEALED_MSG_RESET_SUCCESS,封印の全解除に成功しました,Unsealing of all effects was successful
EFC_SEALED_MSG_END_CONFIRM,黒呪装具の効果封印を終了しますか？,Do you want to end the effect sealing of Black Curse equipment?
EFC_SEALED_MSG_TITLE_INFO,Information,Information
,,
,,
,,
,,
,,
,,
,,
