"key","old","new"
"mr_msg_score","Total Score","Total Score"
"mr_msg_total","Grand Total Score","Grand Total Score"
"mr_msg_element","項目","Item"
"mr_msg_finish","完了","Complete"
"mr_msg_get","を獲得！"," acquired!"
"mr_msg_lobby","秒後にロビーに戻ります"," seconds left until you return"
"mr_msg_no_reward","報酬はありません","There are currently no rewards."
"mr_msg_no_element","項目はありません","No items"
"mr_msg_times","回数","Count"
"mr_msg_sum","小計","Subtotal"
"mr_msg_deathpenalty","死亡ペナルティ","Death penalty"
"mr_msg_tec_score","Technical Score","Technical Score"
"mr_msg_tec_score_best","Best Technical Score","Best Technical Score"
"mr_msg_tab_reward","報酬","Reward"
"mr_msg_tab_score","スコア詳細","Score Details"
"mr_msg_head_timebonus","残タイムスコア","Remaining Time Score"
"mr_msg_head_timebonus_powered","タイムボーナス","Time Bonus"
"mr_msg_head_reward_normal","基本報酬","Basic Reward"
"mr_msg_head_reward_parts","部位破壊報酬","Part Break Rewards"
"mr_msg_head_reward_opcs","<OPCS>報酬","<OPCS> Reward"
"mr_msg_title_en","Mission Result","Mission Result"
"mr_msg_title_jp","ミッションリザルト","Mission Result"
"mr_msg_parts_break","部位破壊","Part Break"
"mr_msg_result_reward","リザルト報酬を獲得！","Resulting rewards!"
"mr_msg_wm_score","Score","Score"
"mr_msg_wm_dp_name_pos","<UNTN DP>","<UNTN DP>"
"mr_msg_wm_dp_name_acc","ウォーミッション累積ポイント","War Mission Accumulated Points"
"mr_msg_wm_bonus_1","戦況ボーナス","War Situation Bonus"
"mr_msg_point_doubling_001","コンテンツを中断したため、使用できません","Not available because the content has been canceled."
"mr_msg_point_doubling_002","Scoreが 0 DPのため、使用できません","Not available because the Score is 0 DP"
"mr_msg_point_doubling_003","上限に達したため、再抽選できません","Can't perform a redraw because the limit has been reached."
"mr_msg_point_doubling_004","<COL ffdc78>黄金石 <VAL> 個</COL>を消費して
ポイント倍加抽選をおこないますか？

ポイント倍加抽選は以下のいずれかが抽選されます
再抽選の場合、<COL ffdc78>元の結果より高い倍加を抽選</COL>します","Do you want to consume <COL ffdc78>Golden Gemstone x <VAL></COL> to participate in the Point Doubler Lottery?

The Point Doubler Lottery will draw one of the following results:
If a re-draw occurs, <COL ffdc78>t will draw a higher multiplier than the original result.</COL>"
"mr_msg_point_doubling_005","合計ポイント","Total Points"
"mr_msg_point_doubling_006","おめでとうございます！
＜合計ポイント<VAL>倍＞を獲得しました","Congratulations! You have earned <VAL> times the total points."
"mr_msg_point_doubling_007","倍加ボーナス","Double Bonus"
"mr_msg_point_doubling_008","リザルト終了まで、残り<VAL>秒","Only <VAL> seconds left until the end of the results."
"mr_msg_contents_failed_break","コンテンツ中断/失敗","Exit Content/Failed"
