"key","old","new"
"party_list_title_en","Party List","Party List"
"party_list_title_jp","パーティー管理","Party Management"
"party_list_invite","パーティーへの招待がきています","You have been sent a party invite."
"party_list_time","<VAL>:<VAL>","<VAL>:<VAL>"
"party_list_member","パーティーメンバー","Party Members"
"party_list_mpawn","メインポーン","Main Pawns"
"party_list_spawn","サポートポーン","Support Pawns"
"party_list_pl_search","プレイヤー検索","Player Search"
"party_list_q_party","クイックパーティー","Quick Party"
"party_list_leave","パーティーから抜ける","Leave"
"party_list_dissolution","パーティーを解散する","Disband"
"party_list_submenu","サブメニュー","Sub Menu"
"party_list_quickp_start","クイックパーティー開始","Start Quick Party"
"party_list_settings","設定の編集","Edit Settings"
"party_list_name","名前","Name"
"party_list_job","ジョブレベル","Job Level"
"party_list_lobby","ワールド","World"
"party_list_location","Location","Location"
"party_list_clan","クラン","Clan"
"party_list_state","状態","Status"
"party_list_comment","コメント","Comment"
"party_list_search","検索する","Search"
"party_list_object","Object","Object"
"party_list_pawn","Pawn","Pawn"
"party_list_area_name","<NAME AREA>","<NAME AREA>"
"party_list_search_now","検索中です","Searching in progress"
"party_list_settings_err","条件を設定してください","Please enter search criteria."
"party_list_notfound_player","要請を出せる相手がいませんでした","Couldn't find anyone to make a request to."
"party_list_notfound_party","参加出来るパーティーがありませんでした","There were no parties to join."
"party_list_inviting","（招待中）","(Pending)"
"party_list_guide_switch","表示切り替え","Switch Display"
"party_list_count","冒険／クラフト残り回数","Adventure / Craft Left"
"party_list_pawn_joblv","ジョブ／クラフトレベル","Job / Craft Level"
"party_list_main_pawn_count","契約状況：","Contracts:"
"party_list_support_pawn_count","雇用状況：","Contracts:"
"party_list_notfound_main_pawn","ポーンと契約していません","You have not made a contract with any pawns"
"party_list_notfound_support_pawn","ポーンを雇用していません","You have not hired any pawns"
"party_list_party_link","（合流中）","(Merging in progress)"
"party_list_simple_req_btn","簡易要請","Simple Request"
"party_list_pt_search","パーティー検索","Party Search"
"party_list_pl_search_notfound","一致する情報は見つかりませんでした","There were no results."
"party_list_pl_name_empty","(指定なし)","(None)"
"party_list_btn_dra_skill","ドラゴンアビリティ情報","Dragon Ability Information"
