"key","old","new"
"msg_ShopTitle_Charges00","宿泊費無料！","Available for free!"
"msg_ShopTitle_Charges01","保管ボックスの拡張枠が使用可能！","Expanded Storage Box is usable!"
"msg_ShopTitle_Charges02","拠点用保管ボックスが使用可能！","Camp Storage Box is usable!"
"msg_ShopTitle_Charges03","受注上限数が増加！","Quest limit is increased!"
"msg_ShopTitle_Charges04","商品%s！","Product %s!"
"msg_ShopTitle_Charges05","出品可能数%s枠増加！","Total possible exhibitions increased by %s!"
"msg_ShopTitle_Charges06","支援品%s倍！","Support goods increased by %sx!"
"msg_ShopTitle_Charges07","報酬アイテムのレア確率UP！","Rare reward chance increased!"
"msg_ShopTitle_Charges08","リム報酬%s倍！","Rift Crystal reward increased by %sx!"
"msg_ShopTitle_Charges09","報酬アイテムの増加！","Reward items have been increased!"
"msg_ShopTitle_Charges10","XP報酬%s倍！","XP reward increased by %sx!"
"msg_ShopTitle_Charges11","AP報酬%s倍！","AP reward increased by %sx!"
"msg_ShopTitle_Charges12","JP報酬%s倍！","JP reward increased by %sx!"
"msg_ShopTitle_Charges13","メインポーンXP報酬%s倍！","Main pawn XP increased by %sx!"
"msg_ShopTitle_Charges14","クラフトXP報酬%s倍！","Crafting XP increased by %sx!"
"msg_ShopTitle_Charges15","マイ拠点へのリム転移無料！","Free teleports to favorite Portcrystals!"
"msg_ShopTitle_Charges16","無制限で利用可能！","Unlimited refills available!"
"msg_ShopTitle_Charges17","取引成立後のロック時間短縮！","Bazaar exhibition time limit removed!"
"msg_ShopTitle_Charges18","%s","%s"
"msg_ShopTitle_Charges19","冒険パスポート","Adventure Passport"
"msg_ShopTitle_Charges20","報酬サポートコース","Reward Support Course"
"msg_ShopTitle_Charges21","成長サポートコース","Growth Support Course"
"msg_ShopTitle_Charges22","アクションサポートコース","Action Support Course"
"msg_ShopTitle_Charges23","ダブル特典コース","Double Benefit Course"
"msg_ShopTitle_Charges24","トリプル特典コース","Triple Benefit Course"
"msg_ShopTitle_Charges25","アイテム取得数%d倍！","Item acquisition rate increased by %d times!"
"msg_ShopTitle_Charges33","メインポーン<UNIT JP>報酬%sUP！","Main Pawn <UNIT JP> Rewards %s UP!"
"msg_ShopTitle_Charges26","リム報酬%sUP！","Rift Crystal rewards %s UP!"
"msg_ShopTitle_Charges27","報酬アイテムのレア確率UP！","Rare reward chance increased!"
"msg_ShopTitle_Charges28","報酬アイテムの増加！","Reward items have been increased!"
"msg_ShopTitle_Charges29","<UNIT XP>報酬%sUP！","<UNIT XP>Rewards %s UP!"
"msg_ShopTitle_Charges30","メインポーン<UNIT XP>報酬%sUP！","Main Pawn <UNIT XP> Rewards %s UP!"
"msg_ShopTitle_Charges31","<UNIT AP>報酬%sUP！","<UNIT AP>Rewards %s UP!"
"msg_ShopTitle_Charges32","<UNIT JP>報酬%sUP！","<UNIT JP>Rewards %s UP!"
"msg_ShopTitle_Charges34","解放済の礎へ転移可能！","You can teleport to any unlocked Portcrystal!"
"msg_ShopTitle_Charges35","料金%d%%OFF！","Cost %d%% OFF!"
"msg_ShopTitle_Charges36","防御力%dUP！","Defense Power %d UP!"
"msg_ShopTitle_Charges37","スタミナ上限%dUP！","Stamina limit %d UP!"
"msg_ShopTitle_Charges38","体力上限%dUP！","Health Points %d UP!"
"msg_ShopTitle_Charges39","助け起こされ時間短縮","Assist time decreased"
"msg_ShopTitle_Charges40","（ポーン）"," (Pawn)"
"msg_ShopTitle_Charges41","スタミナ%dUP！","Stamina %d UP!"
"msg_ShopTitle_Charges42","体力%dUP！","Health %dUP!"
"msg_ShopTitle_Charges43","ロストポーンの救出可能！","You can rescue your Lost Pawns!"
"msg_ShopTitle_Charges44","獲得スコア%s倍！","Winning score increased by %sx!"
"msg_ShopTitle_Charges45","発動中","Active"
"msg_ShopTitle_Charges46","格納チェストの引出し%dが使用可能！","Storage Chest drawer %d is usable!"
"msg_ShopTitle_Charges47","自動復活中！","Automatic Revival!"
"msg_ShopTitle_Charges48","自動入力アシスト！","Automatic Input Assistance!"
"msg_ShopTitle_Charges49","被ダメージ軽減！","Reduced damage!"
"msg_ShopTitle_Charges50","耐久力UP！","Endurance UP!"
"msg_ShopTitle_Charges51","状態異常の蓄積軽減！","Reduction of condition accumulation!"
"msg_ShopTitle_Charges52","必要素材が格納チェストからも参照可能！","You can also use required materials from Storage Chest!"
"msg_ShopTitle_Charges53","「<OPCS>」専用ロットが利用可能！","""<OPCS>"" exclusive lot available!"
"msg_ShopTitle_Charges54","<UNTN TP>加算中！","<UNTN TP> Addition in progress!"
"msg_ShopTitle_Charges55","<OPCS>用マンドラゴラが育成可能！","<OPCS>Mandragora available for cultivation!"
"msg_ShopTitle_Charges56","メインポーンJP報酬%s倍！","Main Pawn Jp rewards increased by %s!"
"msg_ShopTitle_Charges57","PP報酬%s倍！","PP Rewards increased by %s!"
