key,old,new
bbi_match_msg_001,現在のパーティーメンバーのジョブ構成／進行状況,Job Composition/Progress of Current Party Members
bbi_match_msg_002,名前,Name
bbi_match_msg_003,ジョブレベル,Job Level
bbi_match_msg_004,進行状況,Progress
bbi_match_msg_005,突入,Embark
bbi_match_msg_006,進行状況が合わないメンバーがいるため、突入できません,Cannot enter because there are members with different progress.
bbi_match_msg_007,リーダーが突入を開始していないため、突入できません,Cannot enter because leader has not started.
bbi_match_msg_008,クイックパーティー,Quick Party
bbi_match_msg_009,進行状況が合わないメンバーがいるため、クイックパーティーできません,Cannot use quick party because there are members with different progress.
bbi_match_msg_010,パーティーメンバーが揃っているため選べません,Cannot select this option because your party is full.
bbi_match_msg_011,所在状況,Status
bbi_match_msg_012,所在状況が合わないメンバーがいるため、突入できません,Cannot enter because there are members in different location.
bbi_match_msg_013,所在状況が合わないメンバーがいるため、クイックパーティーできません,Cannot use quick party because there are members in different location.
