key,old,new
button_guide_touch_catch,つかむ,Grab
button_guide_touch_check,調べる,Examine
button_guide_touch_talk,話す,Speak
button_guide_touch_rescue,救済する,Rescue
button_guide_touch_restore,復活させる,Revive
button_guide_touch_sitdown,座る,Sit
button_guide_touch_standup,立ち上がる,Stand
button_guide_touch_bathin,浸かる,Get In Bath
button_guide_touch_bathout,湯船から出る,Get Out Of Bath
button_guide_lr_endure,耐える,Resist
button_guide_circle_dismount,下りる,Dismount
button_guide_circle_putback,戻す,Put Back
button_guide_cross_jump,ジャンプ,Jump
button_guide_cross_qjump,一足跳び,Quick Jump
button_guide_cross_detach,離す,Detach
button_guide_triangle_shake,揺さぶる,Shake
button_guide_triangle_throw,投げる,Throw
button_guide_square_kick,蹴る,Kick
button_guide_l1_skill,スキル,Skill
button_guide_r1_skill,スキル,Skill
button_guide_lr_shift,シフト,Shift
button_guide_l2_commu,コミュニケーションパレット,Communication
button_guide_r2_multi,マルチショートカットパレット,Multi Shortcut Palette
button_guide_circle_breakaway,離脱,Withdraw
button_guide_fire_hunter,射る,Shoot
button_guide_fire_elementsarcher,放つ,Shoot
button_guide_decide,決定,OK
button_guide_cancel,中断,Cancel
button_guide_move,発動,Move
button_guide_change_stance,(構え中)構えの変更,(Standing) Change Stance
button_guide_stance_bow,構える,Ready
button_guide_cancel_magic,解除,Release
button_guide_put,置く,Put
button_guide_palet_change,(長押し)スキル切替,(Hold) Switch Skills
button_guide_Auto_Run,オートラン切り替え,Auto Run Toggle
button_guide_janken_gu,グー,Rock
button_guide_janken_tyoki,チョキ,Scissors
button_guide_janken_pa,パー,Paper
button_guide_pursuit,追撃,Pursuit
button_guide_fire,発射,Fire
