key,old,new
EDIT_MSG_TITLE_PLAYER_EDIT,Player Edit,Player Edit
EDIT_MSG_TITLE_PAWN_EDIT,Pawn Edit,Pawn Edit
EDIT_MSG_CATE_NAME,名前,Name
EDIT_MSG_CATE_SEX,性別,Gender
EDIT_MSG_CATE_PRESET,デザイナープリセット,Presets
EDIT_MSG_CATE_RANDOM,ランダム,Random
EDIT_MSG_CATE_HAIR,髪,Hair
EDIT_MSG_CATE_BONE,顔の輪郭,Face Shape
EDIT_MSG_CATE_EYE,目,Eyes
EDIT_MSG_CATE_EYEBROW,眉,Brows
EDIT_MSG_CATE_NOSE,鼻,Nose
EDIT_MSG_CATE_MOUSE,口,Mouth
EDIT_MSG_CATE_EAR,耳,Ears
EDIT_MSG_CATE_FASHION,ファッションメイク,Makeup
EDIT_MSG_CATE_COLOR,カラー,Color
EDIT_MSG_CATE_BODY,体格,Body Shape
EDIT_MSG_CATE_VOICE,声,Voice
EDIT_MSG_CATE_PERSONAL,口調,Personality
EDIT_MSG_CATE_VOICE_FREQUENTLY,発言頻度,Speech Rate
EDIT_MSG_CATE_DECISION,決定,OK
EDIT_MSG_TYPE_NAME_LIMIT1,ファーストネーム（半角2～12文字）,First name (up to 2-12 characters)
EDIT_MSG_TYPE_NAME_LIMIT2,ファミリーネーム（半角2～8文字）,Last name (up to 2-8 characters)
EDIT_MSG_TYPE_NAME_GUIDE,"付けたい名前を入力してください


注意事項
 ・半角英字と'(アポストロフィー)が使用可能です
 ・半角数字は使用できません
 ・半角スペースは使用できません
 ・名前の頭文字は半角英字のみ使用可能です
 ・名前の頭文字は大文字に変換されます
 ・名前の頭文字以外は小文字に変換されます","Please enter the name you want.


Notes
 ・' (apostrophe) can be used
 ・Numbers cannot be used
 ・Spaces cannot be used
 ・Initials of name may only be a single character
 ・Initials of name will be changed to uppercase
 ・Rest of name will be changed to lowercase"
EDIT_MSG_TYPE_NAME_GUIDE_ATTENTION,"ファースト/ファミリーネーム
両方に入力してください

注意事項
 ・半角英字と'(アポストロフィー)が使用可能です
 ・半角数字は使用できません
 ・半角スペースは使用できません
 ・名前の頭文字は半角英字のみ使用可能です
 ・名前の頭文字は大文字に変換されます
 ・名前の頭文字以外は小文字に変換されます","First/last name.
Please enter both.

Notes
 ・' (apostrophe) can be used
 ・Numbers cannot be used
 ・Spaces cannot be used
 ・Initials of name may only be a single character
 ・Initials of name will be changed to uppercase
 ・Rest of the will be changed to lowercase"
EDIT_MSG_TYPE_NAME_GUIDE_OK,"<COL A39A70>入力ＯＫ</COL>


注意事項
 ・半角英字と'(アポストロフィー)が使用可能です
 ・半角数字は使用できません
 ・半角スペースは使用できません
 ・名前の頭文字は半角英字のみ使用可能です
 ・名前の頭文字は大文字に変換されます
 ・名前の頭文字以外は小文字に変換されます","<COL A39A70>Input OK.</COL>


Notes
 ・' (apostrophe) can be used
 ・Numbers cannot be used
 ・Spaces cannot be used
 ・Initials of name may only be a single character
 ・Initials of name will be changed to uppercase
 ・Rest of name will be changed to lowercase"
