key,old,new
CLAN_SEARCH_MSG_NAME,クランの名前,Clan Name
CLAN_SEARCH_MSG_RANK,ランク,Rank
CLAN_SEARCH_MSG_MEMBER,メンバー数,Members
CLAN_SEARCH_MSG_MOTTO,モットー,Motto
CLAN_SEARCH_MSG_ATIME,活動時間帯,Activity Time
CLAN_SEARCH_MSG_STYLE,特徴,Style
CLAN_SEARCH_MSG_OK,完了,Search
CLAN_SEARCH_MSG_CANCEL,キャンセル,Cancel
CLAN_SEARCH_MSG_SEARCH_BACK,検索条件変更に戻る,Back
CLAN_SEARCH_MSG_MEMBER_LIST,メンバー,Members
CLAN_SEARCH_MSG_DATE,設立日,Founded
CLAN_SEARCH_MSG_ORLESS,<VAL>以下,Below <VAL>
CLAN_SEARCH_MSG_ORLESS_P,<VAL>名以下,Below <VAL> people
CLAN_SEARCH_RANK_LIMIT,%d～%dまで,From %d to %d
CLAN_SEARCH_MEMBER_LIMIT,%d～%d人まで,%d to %d people
CLAN_SEARCH_MEMBER_LIST_NUM,<VAL> / <VAL>,<VAL> / <VAL>
CLAN_SEARCH_MEMBER_NUM,<VAL>名,<VAL>
CLAN_SEARCH_INDEX_EN,Clan Search,Clan Search
CLAN_SEARCH_INDEX_JP,クラン検索,Clan Search
CLAN_SEARCH_SHORT_NAME,略称で検索,Search Tags
CLAN_SEARCH_MSG_RANK_EN,Rank,Rank
CLAN_SEARCH_MSG_NOT_FOUND,クランが見つかりませんでした,Clan was not found.
CLAN_SEARCH_MSG_NAME_FORMAT,<NAME CLAN> <NAME CLAN_S>,<NAME CLAN> <NAME CLAN_S>
