key,old,new
entry_board_title_jp,エントリーボード,Entry Board
entry_board_title_en,Entry Board,Entry Board
entry_board_comment,コメント,Comment
entry_board_leader,募集主,Leader
entry_board_entry,参加人数,Participants
entry_board_recruit,新規募集,Recruit Members
entry_board_search,検索,Search
entry_board_param1,<VAL> <VAL>,<VAL> <VAL>
entry_board_param2,<VAL>/<VAL>,<VAL>/<VAL>
entry_board_search_search_job,ジョブを指定して探す,Search Jobs Allowed
entry_board_search_search,検索条件の設定,Set Search Conditions
entry_board_search_search_friend_friend,知り合いが参加しているエントリーで探す,Look for entries where friends are participating
entry_board_search_search_name,名前を指定して探す,Search by Name
entry_board_search_search_friend,フレンド,Friends
entry_board_search_search_password,パスワード設定なし,No Password Set
entry_board_search_search_clanmember,クラン,Clan Members
entry_board_search_all,全て,All
entry_board_search_init,指定を初期化,Reset Search
entry_board_search_word1,～,～
entry_board_search_exec_search,検索する,Search
entry_board_search_cancel,キャンセルする,Cancel
entry_board_search_serach_level,レベルを指定して探す,Search by Level
entry_board_pop_reqruit_all,全て,All
entry_board_pop_reqruit_reqruit,募集する,Recruit
entry_board_pop_reqruit_cancel,キャンセル,Cancel
entry_board_reqruit_entry,エントリーを指定してください,Please setup your entry
entry_board_reqruit_comment,Comment,Comment
entry_board_reqruit_level,レベル制限,Level Restriction
entry_board_reqruit_job,ジョブ制限,Job Restriction
entry_board_reqruit_password,パスワード設定,Set Password
entry_board_reqruit_word1,<VAL>.,<VAL>.
entry_board_reqruit_osusume,オススメ,Recommended
entry_board_reqruit_reqruit,募集する,Recruit
entry_board_reqruit_cancel,キャンセル,Cancel
entry_board_reqruit_word2,～,～
entry_board_info_memberlist,Member List,Member List
entry_board_info_option,Option,Option
entry_board_info_password_on,パスワード：,Password:
entry_board_info_job_on,ジョブ指定：,Set Jobs:
entry_board_info_word1,<VAL>/<VAL>,<VAL>/<VAL>
entry_board_pop_event_top_entry,参加中,Participating
entry_board_mission_info_reward,報酬,Reward
entry_board_mission_info_entry_num,<VAL>人専用コンテンツ,<VAL> People-specific content
