"key","old","new"
"eqenhance_title","Custom Made","Custom-Made Arms"
"eqenhance_title_sub","武具のカスタムメイド","Custom-Made Arms"
"eqrecycle_title","Resource Disassembly","Arms Resource Disassembly"
"eqrecycle_title_sub","武具の資源分解","Arms Resource Disassembly"
"eqenhance_weapon","武器","Weapons"
"eqenhance_armor","防具","Armor"
"eqenhance_pack_set_00","Fusion Bonus 1","Fusion Bonus 1"
"eqenhance_pack_set_01","Fusion Bonus 2","Fusion Bonus 2"
"eqenhance_pack_set_02","Special Bonus","Special Bonus"
"eqenhance_start_evolution","カスタム開始","Start Custom"
"eqenhance_success_example","主な成功例","Main Success Example"
"eqenhance_err_enhance_num","この鍛え方には初回、またはリトライ限定の使用制限があります
対象のアイテムには使用できません","There is a use limit for this training method, limited to the first time or retries. It cannot be used on the target item."
"eqenhance_err_not_enough_money","費用が不足しています","Insufficient expenses"
"eqenhance_err_not_enough_item","必要アイテムが不足しています","Required items are missing."
"eqenhance_header_pack_list","リスト","List"
"eqenhance_header_pack_detail","付与されるステータスは、以下の中から抽選されます","Status added will be selected from the following:"
"eqenhance_order_header_item","Equip Item","Equip Item"
"eqenhance_evolution","Limit Bonus","Limit Bonus"
"eqenhance_limit_evolution","Fusion Bonus","Fusion Bonus"
"eqenhance_retry_only","リトライ限定","Retry only"
"eqenhance_first_only","初回限定","First Time Only"
"eqenhance_order_pack_type","鍛え方","Forging Type"
"eqenhance_check_detail","詳細を確認する","View Details"
"eqenhance_confirm_overwrite","すでにステータスが付与されています
上書きして新たにカスタムしてもよろしいですか？","Status has already been assigned.
Would you like to overwrite it and add a new custom one?"
"eqenhance_confirm_not_have_pre_weapon","<COL ffdc78>解放条件アイテム</COL>を所持していないため
<COL aa1414>【Special Bonus】のステータスは付与されません</COL>

このままカスタム開始してもよろしいですか？","You do not have the <COL ffdc78>Unlock Conditions Item</COL>, so you will not receive the <COL aa1414>Special Bonus</COL>. 
Is it okay to start customization like this?"
"eqenhance_confirm_enhance","カスタム開始します。よろしいですか？","I will start the customization. Are you sure?"
"eqenhance_success","成功","Success"
"eqrecycle_err_no_recycle_count","残り回数がありません","Insufficient time remaining."
"eqrecycle_err_cant_use_reset","今は使用できません","You cannot use this right now."
"eqrecycle_confirm_recycle","<NAME ITEM>の分解を開始します
分解を行うことで下記の恩恵を得られます
受け取り先を選択してください","We will begin the disassembly of <NAME ITEM>. 
By performing this disassembly, you can gain the following benefits. 
Please select the recipient."
"eqrecycle_lot_item","抽選アイテムあり（%d個）","Lottery items available (%ditems)"
"eqrecycle_err_not_enough_empty","アイテムが受け取れない可能性があります
アイテム枠を十分に空けてください","There is a possibility you may not receive the item. Please make sure there is enough space in your inventory."
"eqrecycle_receive_item_title","以下のアイテムを獲得しました","You have obtained the following items."
"eqrecycle_confirm_sell","以下の内容で売却します。よろしいですか？

アイテム：<NAME ITEM>
合計個数：<VAL>個
売却価格：<VAL GOLD>","Are you sure you want to sell the following?

Item: <NAME ITEM>
Total quantity: <VAL> pieces
Selling price: <VAL GOLD>"
"eqrecycle_recycle_count_over","本日の分解はこれで終了です
次回のリセット時間までお待ちいただくか
<UNTN GS>で、直ちに残り回数をリセットできます

（リセット時間はプレイマニュアルをご覧ください）","Today's disassembly is now complete.
You can reset the remaining times immediately by waiting until the next reset time or by using <UNTN GS>

(see the play manual for reset times)"
"eqrecycle_confirm_reset","<COL ffdc78><UNTN GS><VAL GS></COL>で残り回数をリセットします
よろしいですか？","Shall I reset the remaining number of times to <COL ffdc78><VAL GS><UNTN GS></COL>?"
"eqrecycle_notice_reset","残り回数をリセットしました","I have reset the remaining times."
"eqenhance_wallet_gs","<COL ffdc78><UNTN GS> <VAL GS></COL>","<COL ffdc78><VAL GS><UNTN GS></COL>"
"eqenhance_condition","作業条件","Work Requirements"
"eqenhance_need_item","必要アイテム","Required Items"
"eqenhance_special_evolution","Special Bonus","Special Bonus"
"eqenhance_sp_condition_item","解放条件アイテム","Unlock Conditions Item"
"eqenhance_sp_condition_notice","※解放条件アイテムは消費しません","※ Unlock Conditions Items will not be consumed."
"eqenhance_sp_done","解放済み","Released"
"eqenhance_omake","特典","Benefits"
"eqenhance_omake_notice","この作業条件をご利用いただくと、特典として
<COL ffdc78><UNTN MS> <VAL MS>をプレゼント</COL>","By using this work method, you will receive a bonus
<COL ffdc78><UNTN MS> <VAL MS></COL> as a present"
"eqenhance_evolution_done","カスタム完了しました","Custom completed"
"eqenhance_no_equip_notice","カスタムできる装備がありません","There is no equipment that can be customized"
"eqrecycle_no_equip_notice","分解できる装備がありません","There is no equipment that can be disassembled"
"eqenhance_txtguide_01","リミット解除する装備を選択してください","Please select equipment to limit break."
"eqenhance_txtguide_02","極限合成する装備を選択してください","Please select the equipment for Ultimate Synthesis."
"eqenhance_txtguide_03","鍛え方を選択してください","Please select a training method."
"eqenhance_txtguide_04","「<VAL>」の詳細","""<VAL>"" details."
"eqrecycle_txtguide_01","資源分解する装備を選択してください","Please select equipment to disassemble."
"eqenhance_need_gs_text","<COL ffdc78><UNTN GS> <VAL GS></COL>が必要です（所持数：<HAVE GS>）","<COL ffdc78><UNTN GS> <UNTN GS></COL>is required (number in posession：<HAVE GS>)"
