"key","old","new"
"hud_job_hunter_normal_arrow","通常矢","Normal Arrow"
"hud_disp_level","LV.","LV."
"hud_quest_qo","Quest Owner","Quest Owner"
"hud_quest_gm","Grand Mission","Grand Mission"
"hud_job_hunter_change_arrow","矢切替","Change Arrow"
"hud_job_sealedsage_change_attribution","属性切替","Change Attribute"
"hud_job_unequipped","None","None"
"hud_status_standby","スタンバイOK","Standby OK"
"hud_status_away","離席中","Away"
"hud_status_event","イベント","Event"
"hud_quest_qg_time","Time","Time"
"hud_quest_qg_point","Score","Score"
"hud_quest_qg_pt","pt","pt"
"hud_quest_qg_sec","sec","sec"
"hud_status_ailment_sec","秒","sec"
"hud_status_ailment_stamina","スタミナ回復","Stamina Recovery"
"hud_get_announce_bo","<VAL> <UNIT BO>","<VAL> <UNIT BO>"
"hud_get_announce_g","<VAL> <UNIT G>","<VAL> <UNIT G>"
"hud_get_announce_r","<VAL> <UNIT R>","<VAL> <UNIT R>"
"hud_get_announce_xp","<VAL> <UNIT XP>","<VAL> <UNIT XP>"
"hud_quest_ann_caution_deco","Defeat the enemy !","Defeat the enemy!"
"hud_pawn_ann_lost","<VAL> がポーン郷にある異界の狭間へ送られました","<VAL> was sent to the Rift within Pawn Cathedral"
"hud_pawn_ann_rescue_start","<VAL> を襲いかかる敵から救出せよ","Rescue <VAL> from the attacking enemies"
"hud_pawn_ann_rescue_failed","<VAL> の呪縛を解くことができなかった","I was unable to break the curse of <VAL>"
"hud_pawn_ann_rescue_clear","<VAL> の呪縛が解け、リムの淵辺で目を覚ました","The curse of <VAL> was lifted, and I woke up at the Depths of the Rift, eyes open."
"hud_pawn_ann_resurrection","<VAL> が復活し、待機状態に戻りました","<VAL> rescued and returned to standby"
"hud_disp_infinity","∞","∞"
"hud_get_announce_pawnlvup","<NAME PAWN>が<LEVEL>にUPしました","<NAME PAWN> has reached Level <LEVEL>."
"hud_enemy_nodamage","Invulnerable","Invulnerable"
"hud_enemy_engage","In Battle !","In Combat!"
"hud_gauge_sorcery_bonus","× <VAL>","× <VAL>"
"hud_gauge_sorcery_button","<KC CHANGE_MODE>","<KC CHANGE_MODE>"
"hud_quest_em","Extreme Mission","Extreme Mission"
"hud_status_disconnect","回線切断中","Disconnected"
"hud_job_alchemist_normal_medal","遅延のエリクシル","Torpor Elixir"
"hud_job_alchemist_change_medal","エリクシル切替","Change Elixir"
"hud_skill_move","発動","Activate"
