"key","old","new"
"info_party_invite","<NAME TARGET> からパーティーへの招待があります","<NAME TARGET> has invited you to join a party"
"info_party_invite_list","<NAME TARGET> からパーティーへの招待があります","<NAME TARGET> has invited you to join a party"
"info_friend_req","<NAME TARGET> からフレンド申請があります","<NAME TARGET> has sent you a friend request"
"info_friend_req_list","フレンド申請があります","There is a friend request"
"info_clan_invite","<NAME TARGET>からクランへの招待があります","<NAME TARGET> has sent you a clan invite"
"info_clan_invite_list","クランから誘いがあります","There is a clan invitation"
"info_clan_mission","<NAME CLANMISSION> を達成した！","<NAME CLANMISSION> was achieved!"
"info_clan_mission_list","<NAME CLANMISSION> を達成した！","<NAME CLANMISSION> was achieved!"
"info_clan_levelup","クランレベルが<VAL>になった！","The clan level has reached <VAL>!"
"info_clan_levelup_list","クランの歴史が更新されました","The clan history has been updated"
"info_group_invite","<NAME TARGET> からグループチャットへの招待があります","<NAME TARGET> has invited you to a group chat"
"info_group_invite_list","<NAME TARGET> からグループチャットへの招待があります","<NAME TARGET> has invited you to a group chat"
"info_mail","新着メールが届きました","New mail has arrived"
"info_mail_list","未読／未取得メールがあります","There is unread / unclaimed mail"
"info_news","レスタニアニュースが更新されました","Lestania News has been updated"
"info_news_list","レスタニアニュースが更新されました","Lestania News has been updated"
"info_full_member","エントリーメンバーが揃いました","Entry members is now full"
"info_full_member_list","エントリーメンバーが揃いました","Entry members is now full"
"info_tutorial","チュートリアル：<NAME TUTORIAL>","Tutorial: <NAME TUTORIAL>"
"info_tutorial_list","チュートリアル：<NAME TUTORIAL>","Tutorial: <NAME TUTORIAL>"
"info_wait_quest","受注待ちのクエストがあります","There are quest orders waiting"
"info_wait_quest_list","受注待ちのクエストが<VAL>件あります","There are quest orders waiting for quest <VAL>"
"info_achieve","アチーブメントを獲得しました","You have earned an achievement"
"info_achieve_list","<NAME ACHIEVE>を獲得しました","<NAME ACHIEVE> has been earned"
"info_achieve_unlock","新たなアチーブメントが解放されました","A new achievement has been unlocked"
"info_achieve_unlock_list","新たなアチーブメントを解放しました","A new achievement has been unlocked"
"info_craft_finish","クラフトが完成しました","A craft has completed"
"info_quest_end","配信期間が終了したクエストを破棄しました","A quest has been canceled because the delivery time period has ended"
"info_propose_quit_contents","コンテンツ途中離脱の提案がありました","Withdraw from the content?"
"info_propose_quit_contents_list","コンテンツ途中離脱の提案が届いています","A proposal to withdraw from the content has arrived"
"info_quick_ready_wait_list","クイックパーティーの準備完了を受付中","The quick party is ready"
"info_entry_board_ready_wait_list","エントリーメンバーの準備完了を受付中","The entryboard is ready"
"info_quest_end_list","配信期間が終了したクエストを破棄しました","A quest has been canceled because the delivery time period has ended"
"info_entry_board_time_extension_list","エントリーボードの募集時間を延長できます","Entryboard recruitment time can be extended"
"info_party_entry_accepted_list","リーダーがパーティー要請を受諾しました","The leader has accepted the party request"
"info_clan_req","<NAME TARGET>からクラン加入申請がありました","<NAME TARGET> has requested to join the clan"
"info_clan_req_info","クランへの加入申請があります","There is an application to join the clan"
"info_clan_join_other","<NAME TARGET>がクランに加入しました","<NAME TARGET> has joined the clan"
"info_clan_join","<NAME TARGET>がクランに加入しました","<NAME TARGET> has joined the clan"
"info_clan_chg_master","<NAME TARGET>がクランマスターになりました","<NAME TARGET> has become the new clan master"
"info_clan_chg_leader","<NAME TARGET>がクランリーダーになりました","<NAME TARGET> has become a new clan leader"
"info_pt_leader_leave_list","リーダーが不在です","The party leader is missing"
"info_pt_leader_leave","リーダーが不在です
白竜神殿かリムストーンのある拠点施設でリーダーを設定してください","The party leader is missing.
Please set the party leader in an inn, at the White Dragon Temple, or at a Riftstone"
"info_bazzar_dealed","バザーに出品中の<NAME ITEM>が取引成立しました","<NAME ITEM> has sold at the bazaar"
"info_party_invite_pop","パーティーへの招待があります","There are party invitations"
"info_caplink_chat","カプリンク：新着チャットがあります","Caplink: There is a new chat"
"info_caplink_maintenance","カプリンクが<VAL>からメンテナンスに入ります","Caplink will enter maintenance at <VAL>"
"info_caplink_friend_online","カプリンク：カプトモがオンラインになりました","Caplink: A friend has come online"
"info_caplink_friend_request","カプリンク：カプトモ申請が届いています","Caplink: A friend request has arrived"
"info_caplink_friend_consent","カプリンク：カプトモが増えました","Caplink: Capto has increased."
"info_caplink_invite","カプリンク：ゲーム招待メッセージが届いています","Caplink：You have received a game invite message!"
"info_caplink_message","カプリンク：メッセージが届いています","Caplink：Message received!"
"info_caplink_friend_modify","カプリンク：カプトモがプロフィールを変更しました","Caplink：CaptoMo changed the profile"
"info_caplink_invite_detail","カプリンク：%sからゲーム招待メッセージが届いています","You have received a game invite message from Caplink：%s"
"info_caplink_friend_online_detail","カプリンク：%sがオンラインになりました","Caplink：%s is now online!"
"info_caplink_friend_content_detail","カプリンク：%sとカプトモになりました","Caplink became friends with CaptoMo：%s"
"info_entry_invitation","<NAME TARGET>からエントリーボードに招待されました","Invited to the entry board by <NAME TARGET>"
"info_entry_invitation_list","<NAME TARGET>からエントリーボードへの招待があります","You have been invited to the Entry Board by <NAME TARGET>."
"info_clan_invite_direct","<NAME TARGET>からクランへの直接招待があります","You have received a direct invitation to join <NAME TARGET>'s Clan."
"info_clan_invite_list_direct","クランから直接招待があります","There is a clan invitation."
"info_dlc_station_not_receive","DLC Stationに未受け取りのダウンロードコンテンツがあります","There is uncollected downloadable content at DLC Station"
"info_adv_guide_new_info","冒険ガイドに新たなクエストの紹介があります","There is a new quest listed in the Adventure Guide"
"info_daily_mission_complete_info","リワードミッションで受け取れるアイテムがあります","There are items that can be received in Reward Missions"
