key,old,new
map_menumap_titlee,MAP,Map
map_menumap_titlej,マップ,Map
map_menumap_maptypes,詳細マップ,Local
map_menumap_maptypem,フィールドマップ,Field
map_menumap_maptypel,広域マップ,Global
map_menumap_guide_zoom,ズームイン/アウト,Zoom
map_menumap_guide_filter,マーカーフィルター変更,Change marker filter
map_menumap_guide_movecursor,カーソル移動,Cursor
map_menumap_guide_moveplayer,プレイヤー移動,Player Movement
map_menumap_guide_backgm,ゲームメニューに戻る,Return to game menu
map_menumap_guide_chat,チャット,Chat
map_menumap_guide_freemarker,フリーマーカー (長押しで消去),Waypoint (Hold to Remove)
map_menumap_guide_close,閉じる,Close
map_menumap_guide_transparent,透明度の変更,Opacity
map_menumap_guide_change_freemarker,フリーマーカーの切り替え,Change Free Marker
map_menumap_guide_change_land,大陸の切り替え,Continent
