"key","old","new"
"myroom_menu_talk","話しかける","Talk"
"myroom_menu_party","パーティー管理","Party Management"
"myroom_menu_room","自室の管理","Room Management"
"myroom_menu_present","プレゼントをあげる","Give Present"
"myroom_menu_partner_reset","パートナーポーンの解除","Dismiss Partner Pawn"
"myroom_om_text_esa","エサをあげますか？","Do you want to feed them?"
"myroom_edit_ok","似合ってるね","It looks good on you"
"myroom_edit_ng","前の髪型のほうがいいね","I prefer your previous hairstyle"
"myroom_menu_partner_reset_error","リワードがあるときは解除できません","Cannot be deactivated when there is a reward"
"myroom_edit_alert","<COL AA1414>最終確認</COL>

元の髪型や、別の髪型に変更する場合は、
美容院（有償）で変更する必要があります。

本当に変更しますか？","<COL AA1414>Final Confirmation</COL>

When changing to the original hairstyle or
another hairstyle, it has to be changed at
the Beauty Salon (paid).

Are you sure you want to change it?"
"myroom_menu_pawn_quest","お願いを聞く","Grant Request"
"myroom_pawn_quest_order","よし、わかった","All right, I got it"
"myroom_pawn_quest_disp_ui","詳細を聞く","Let's hear the details"
"myroom_pawn_quest_no_order","またあとで","Maybe later"
"myroom_menu_pwan_quest_talk","お願いについて","Regarding Request"
"myroom_menu_pawn_quest_clear","思い出話","Reminisce"
"myroom_mandragora_1A0_1_menu","マンドラゴラの管理","Mandragora Management"
"myroom_mandragora_1A0_2_menu","マンドラゴラ図鑑","Mandragora Journal"
"myroom_mandragora_2A0_1_menu","鉢植を持っていない","I don't have a flowerpot."
"myroom_mandragora_2A1_1_menu","マンドラゴラを迎え入れる","Take in Mandragora"
"myroom_mandragora_3A0_1_menu","育てる","Raise"
"myroom_mandragora_3A0_2_menu","持ちあげる","Lift"
"myroom_mandragora_3A0_3_menu","なでる","Pat"
"myroom_mandragora_3A0_4_menu","見た目を変える","Change appearance"
"myroom_mandragora_3A0_5_menu","名前を変える","Change name"
"myroom_mandragora_3A1_1_menu","土を変える","Change soil"
"myroom_mandragora_3A1_2_dialog","マンドラゴラを育てるには
土の状態を回復する必要があります
<COL ffdc78>ふかふかの土</COL>を使用しますか？","To grow mandragora you need to restore
soil condition
<COL ffdc78>use soft soil</COL>?"
"myroom_mandragora_3A2_1_menu","育成状況を確認する","Check raising status"
"myroom_mandragora_3A2_2_menu","肥料を確認する","Check fertilizer"
"myroom_mandragora_3A2_3_dialog","このマンドラゴラを<COL ffdc78>黄金石で即時育成</COL>します
よろしいですか？
<COL ffdc78>黄金石<VAL>個</COL>を消費します(所持数：<VAL>)","I will<COL ffdc78>immediately train</COL>this mandragora with golden stones
May I?
<COL ffdc78>Consume<VAL></COL>gold stones (number of gold stones：<VAL>in your possession)"
"myroom_mandragora_3A2_4_dialog","このマンドラゴラを<COL ffdc78>黄金石で即時育成</COL>しました","I grew this mandragora immediately<COL ffdc78>with golden stones</COL>"
"myroom_mandragora_3A2_5_dialog","黄金石が不足しています
(所持数：<VAL>)","You are running out of golden stones
(Number of golden stones in our possession：<VAL>)"
"myroom_mandragora_3A2_6_dialog_menu","オンラインショップを開く","Open the Online Shop"
"myroom_mandragora_3A3_1_menu","受け取る","Receive"
"myroom_mandragora_3A3_2_announce","鉢植に戻るまでまとう","wrap it up until it returns to its potted plant"
"myroom_mandragora_4A0_1_dialog","マンドラゴラ
<VAL>
の名前を変更しますか？","Would you like to rename Mandragora
<VAL>
?"
"myroom_mandragora_4A0_2_dialog_title","マンドラゴラの名前を設定","Set the name of the mandragora"
"myroom_mandragora_4A0_3_dialog_attention","注意事項
・半角２文字～１２文字まで入力可能です
・半角英数字と一部の記号 '.,:;!?&-_ が使用可能です","Notes:
・You can input up to 2 to 12 characters.
・Alphanumeric characters and some symbols '.,:;!?&-_ can be used."
"myroom_mandragora_4A0_4_dialog_button","完了","Complete"
"myroom_mandragora_4A0_5_dialog_button","中止","Cancel"
