"key","old","new"
"pop_cmd_close","閉じる","Close"
"pop_cmd_profile","プロフィール表示","Display Profile"
"pop_cmd_status","ステータス表示","Status display"
"pop_cmd_talk","話しかける","Talk"
"pop_cmd_friend_request","フレンド申請","Friend Request"
"pop_cmd_party_kick","パーティーから外す","Remove from the party"
"pop_cmd_party_reader","パーティーリーダーに設定","You are now party leader."
"pop_cmd_party_request_cancel","要請取り消し","Cancel request"
"pop_cmd_party_request","パーティー要請","Party Request"
"pop_cmd_party_status","パーティー詳細表示","Party List"
"pop_cmd_participation","参加する","Join"
"pop_cmd_refuse","断る","Decline"
"pop_cmd_subscription_application","加入申請","Joining Application"
"pop_cmd_subscription_application_cancel","加入申請取り消し","Cancel request"
"pop_cmd_join_permit","加入許可","Permission to join"
"pop_cmd_join_denial","加入拒否","Refusal to join"
"pop_cmd_clan_status","クラン詳細情報","Clans Detailed Information"
"pop_cmd_clan_solicitation","クランに勧誘する","Invite to the Clan"
"pop_cmd_clan_solicitation_cancel","クラン勧誘取り消し","Cancel Clan Recruitment"
"pop_cmd_clan_solicitation_receive","クラン勧誘を受ける","Accept Clan invitation"
"pop_cmd_clan_solicitation_denial","クラン勧誘を拒否する","Refuse Clan invitation"
"pop_cmd_friend_request_cancel","フレンド申請キャンセル","Cancel friend request"
"pop_cmd_friend_request_permit","フレンド申請許可","Friend Request Accepted."
"pop_cmd_friend_request_denial","フレンド申請拒否","Friend Request Rejected"
"pop_cmd_friend_release","フレンド解除","Unfriending"
"pop_cmd_favorites_friend","お気に入りフレンド設定/解除","Set/Unset favorite friends"
"pop_cmd_favorites_register","お気に入り登録","Add a favorite"
"pop_cmd_favorites_release","お気に入り解除","Remove Favorite"
"pop_cmd_pawn_employment","ポーンの雇用","Hiring and Organizing Pawns"
"pop_cmd_pawn_reaction","ポーンのリアクション設定","Pawn Reaction Settings"
"pop_cmd_pawn_delete","ポーンの削除","Delete pawns"
"pop_cmd_pawn_visibility","ポーンの公開設定","Pawn's Privacy Settings."
"pop_cmd_pawn_rental_history","レンタル履歴","Rental History"
"pop_cmd_pawn_dismissal","ポーンの返却","Return of pawns"
"pop_cmd_card_pl","覚者プロフィール","Arisen Profile"
"pop_cmd_group_chat_invite","グループチャットに誘う","Invite to join Group Chat"
"pop_cmd_group_chat_kick","グループチャットから外す","Removed from the group chat"
"pop_cmd_keep_up_autorun","追従オートラン","Follow Auto-Run"
"pop_cmd_blacklist_add","ブラックリスト追加","Add to the Blacklist"
"pop_cmd_blacklist_delete","ブラックリスト削除","Delete from Blacklist"
