key,old,new
title_lost_city_foundation,亡都の礎,Lost City's Keystone
title_sub_dragon_foundation,竜の礎,Dragon's Keystone
title_sub_rim_transport,リム転移,Teleport
title_sub_transport_foundation,拠点の礎,Portcrystal
heading_current_place,現在地,You are here.
option_transport_other,各地の礎へ転移,Teleport to Portcrystal
option_registration,マイ拠点に登録,Register as My Favorite
title_choice,転移先の礎を選択,Select Portcrystal Destination
heading_pay_rim,消費リム,Rift Crystals Consumed
dialog_transport_check,"選択した礎にリム転移します
よろしいですか？","Are you sure you want to teleport to the
selected Portcrystal?"
dialog_registration_check,"この礎をマイ拠点に登録します
よろしいですか？","Are you sure you want to register this
Portcrystal as your favorite?"
dialog_overwrite_check,"この礎をマイ拠点として上書き登録します
よろしいですか？","Are you sure you want to overwrite this
Portcrystal as your favorite?"
option_not_registration,未登録,Unregistered
heading_registered,登録済の礎,Registered Portcrystals
option_transport_rim,神殿内へ転移,Teleport to Riftstone
diarog_transport_rim_check,"選択したリムストーンへ転移します
よろしいですか？","Are you sure you want to teleport to the
selected Riftstone?"
announce_registration_myposition,<NAME SPOT>をマイ拠点に登録しました,<NAME SPOT> was registered as a favorite.
announce_cannot_use,転移可能な礎がありません,There is no possible place to teleport.
notice_pt_warp_over,パーティー同行リム転移の期限が切れました,The time limit to teleport with the party has expired.
list_name_pt_warp,<COL ffdc78>パーティー同行リム転移</COL>,<COL ffdc78> Teleport with Party</COL>
dialog_pt_warp_check,"パーティーリーダーのいるところへ転移します
よろしいですか？","Are you sure you want to teleport with
the party leader?"
notice_pt_warp_limit,パーティー同行リム転移残り時間 <VAL>秒です,There are <VAL> seconds remaining to teleport with the party.
error_warp_fail,転移に失敗しました,Failed to teleport.
error_regist_fail,マイ拠点の登録に失敗しました,Failed to register My Base.
error_get_list_fail,拠点リストの取得に失敗しました,Failed to get My Base list.
title_rim_transport,Warp,Teleport
error_already_favorite,すでにマイ拠点登録済みの礎です,Emote already on favorite list
tab_sub_foundation,辺境の礎,Sub Portcrystals
tab_favorite_foundation,マイ拠点,Favorites
tab_all_foundation,すべての礎,All
tab_main_foundation,拠点の礎,Portcrystals
tab_lobby_foundation,拠点内,Within Location
list_name_large_pt_warp,<COL ffdc78>集合場所に戻る</COL>,<COL ffdc78>Return to Assembly Point</COL>.
dialog_large_pt_warp_check,"集合場所に戻ります
よろしいですか？",Are you sure you wish to return to the Assembly Point?
list_name_return_kokuju_entrance,<COL ffdc78>黒呪の迷宮・入り江に戻る</COL>,<COL ffdc78>Return to Bitterblack Maze Cove</COL>
dialog_return_kokuju_entrance_check,"黒呪の迷宮・入り江に戻ります
よろしいですか？",Are you sure you wish to return to Bitterblack Maze Cove?
