key,old,new
simple_text_2388,/d additem 14256 1 1,
simple_text_2389,/d additem 14248 1 1,
simple_text_2390,/d additem 16112 1 1,
simple_text_2391,/d additem 16747 1 1,
simple_text_2392,/d additem 16748 1 1,
simple_text_2393,/d additem 16167 1 1,
simple_text_2394,/d additem 16168 1 1,
simple_text_2395,/d additem 16169 1 1,
simple_text_2396,/d additem 11760 1 1,
simple_text_2397,/d additem 16174 1 1,
simple_text_2398,/d additem 17069 1 1,
simple_text_2399,/d additem 17070 1 1,
simple_text_2400,/d additem 17071 1 1,
simple_text_2401,/d additem 17072 1 1,
simple_text_2402,/d additem 17073 1 1,
simple_text_2403,/d additem 17074 1 1,
simple_text_2404,/d additem 13226 1 1,
simple_text_2405,/d additem 16134 1 1,
simple_text_2406,/d additem 13227 1 1,
simple_text_2407,/d additem 14252 1 1,
simple_text_2408,/d additem 16170 1 1,
simple_text_2409,/d additem 16171 1 1,
simple_text_2411,/d additem 16172 1 1,
simple_text_2412,/d additem 16173 1 1,
simple_text_2413,/d additem 16745 1 1,
simple_text_2414,/d additem 16746 1 1,
simple_text_2415,/d additem 17115 1 1,
simple_text_2416,/d additem 17116 1 1,
simple_text_2417,/d additem 17117 1 1,
simple_text_2419,/d additem 17118 1 1,
simple_text_2420,/d additem 17119 1 1,
simple_text_2421,/d additem 13225 1 1,
simple_text_2422,/d additem 13228 1 1,
simple_text_2424,/d additem 13229 1 1,
simple_text_2425,/d additem 17134 1 1,
simple_text_2426,/d additem 17135 1 1,
simple_text_2427,/d additem 17136 1 1,
simple_text_2428,/d additem 17137 1 1,
simple_text_2429,/d additem 17138 1 1,
simple_text_2430,/d additem 17139 1 1,
simple_text_2433,/d additem 17140 1 1,
simple_text_2434,/d additem 17141 1 1,
simple_text_2435,/d additem 17142 1 1,
simple_text_2436,/d additem 17143 1 1,
simple_text_2437,/d additem 17144 1 1,
simple_text_2438,/d additem 17133 1 1,
simple_text_2439,/d additem 13230 1 1,
simple_text_2441,/d additem 16175 1 1,
simple_text_2442,/d additem 16176 1 1,
simple_text_2443,/d additem 16749 1 1,
simple_text_2444,/d additem 16750 1 1,
simple_text_2445,/d additem 16857 1 1,
simple_text_2447,/d additem 17059 1 1,
simple_text_2448,/d additem 17060 1 1,
simple_text_2449,/d additem 17061 1 1,
simple_text_2450,/d additem 17062 1 1,
simple_text_2451,/d additem 16177 1 1,
simple_text_2454,/d additem 13232 1 1,
simple_text_2455,/d additem 13233 1 1,
simple_text_2456,/d additem  1 1,
simple_text_2457,/d additem 13234 1 1,
simple_text_2463,/d additem  1 1,
simple_text_2464,/d additem 13231 1 1,
simple_text_2466,/d additem 13235 1 1,
simple_text_2467,/d additem 13236 1 1,
simple_text_2470,/d additem 13237 1 1,
simple_text_2471,/d additem 13238 1 1,
simple_text_2472,/d additem 16178 1 1,
simple_text_2473,/d additem 16179 1 1,
simple_text_2477,/d additem 16180 1 1,
simple_text_2478,/d additem 13239 1 1,
simple_text_2479,/d additem 14251 1 1,
simple_text_2482,/d additem 16181 1 1,
simple_text_2483,/d additem 16751 1 1,
simple_text_2484,/d additem 16752 1 1,
simple_text_2486,/d additem 13241 1 1,
simple_text_2488,/d additem 13242 1 1,
simple_text_2489,/d additem 13243 1 1,
simple_text_2490,/d additem 16186 1 1,
simple_text_2491,/d additem 14249 1 1,
simple_text_2492,/d additem 14254 1 1,
simple_text_2493,/d additem 16753 1 1,
simple_text_2495,/d additem 16754 1 1,
simple_text_2496,/d additem 13244 1 1,
simple_text_2497,/d additem 16187 1 1,
simple_text_2498,/d additem 16188 1 1,
simple_text_2499,/d additem 17063 1 1,
simple_text_2501,/d additem 17064 1 1,
simple_text_2502,/d additem 17065 1 1,
simple_text_2504,/d additem 17066 1 1,
simple_text_2505,/d additem 17067 1 1,
simple_text_2507,/d additem 16190 1 1,
simple_text_2509,/d additem 13245 1 1,
simple_text_2510,/d additem 14255 1 1,
simple_text_2512,/d additem 16755 1 1,
simple_text_2513,/d additem 16756 1 1,
simple_text_2515,/d additem 13247 1 1,
simple_text_2516,/d additem 14250 1 1,
simple_text_2518,/d additem 16182 1 1,
simple_text_2522,/d additem 16183 1 1,
simple_text_2523,/d additem 13246 1 1,
simple_text_2527,/d additem 13248 1 1,
simple_text_2529,/d additem 17145 1 1,
simple_text_2530,/d additem 17146 1 1,
simple_text_2533,/d additem 17147 1 1,
simple_text_2534,/d additem 17148 1 1,
simple_text_2537,/d additem 17149 1 1,
simple_text_2538,/d additem 17150 1 1,
simple_text_2539,/d additem 17151 1 1,
simple_text_2540,/d additem 17152 1 1,
simple_text_9069,/d additem 13251 1 1,
simple_text_9070,/d additem 13252 1 1,
simple_text_9071,/d additem 13253 1 1,
simple_text_9072,/d additem 13792 1 1,
simple_text_9073,/d additem 17086 1 1,
simple_text_9074,/d additem 17087 1 1,
simple_text_9075,/d additem 17088 1 1,
simple_text_9076,/d additem 17089 1 1,
simple_text_9077,/d additem 17090 1 1,
simple_text_9078,/d additem 17091 1 1,
simple_text_9079,/d additem 17092 1 1,
simple_text_9080,/d additem 17093 1 1,
simple_text_9081,/d additem 17094 1 1,
simple_text_9082,/d additem 17095 1 1,
simple_text_9083,/d additem 17096 1 1,
simple_text_9084,/d additem 16113 1 1,
simple_text_9085,/d additem 16184 1 1,
simple_text_9086,/d additem 16185 1 1,
simple_text_9087,/d additem 17105 1 1,
simple_text_9088,/d additem 13240 1 1,
simple_text_9089,/d additem 16114 1 1,
simple_text_9090,/d additem 16727 1 1,
simple_text_9091,/d additem 17370 1 1,
simple_text_9092,/d additem 17371 1 1,
simple_text_9093,/d additem 17372 1 1,
simple_text_9094,/d additem 16122 1 1,
simple_text_9095,/d additem 16123 1 1,
simple_text_9096,/d additem 16124 1 1,
simple_text_9097,/d additem 16125 1 1,
simple_text_9098,/d additem 16126 1 1,
simple_text_9099,/d additem 16127 1 1,
simple_text_9100,/d additem 16128 1 1,
simple_text_9101,/d additem 16129 1 1,
simple_text_9102,/d additem 16130 1 1,
simple_text_9103,/d additem 16131 1 1,
simple_text_9104,/d additem 16132 1 1,
simple_text_9105,/d additem 16133 1 1,
simple_text_9106,/d additem 17097 1 1,
simple_text_9107,/d additem 17098 1 1,
simple_text_9108,/d additem 17099 1 1,
simple_text_9109,/d additem 17100 1 1,
simple_text_9110,/d additem 17101 1 1,
simple_text_9111,/d additem 17102 1 1,
simple_text_9112,/d additem 17103 1 1,
simple_text_9113,/d additem 17104 1 1,
simple_text_9114,/d additem 17153 1 1,
simple_text_9115,やりましょう！,Let's do it!
simple_text_9116,いきましょう！,Let's go!
simple_text_9117,楽しかった！,It was fun!
simple_text_9118,すごい！,Amazing!
simple_text_9119,すばらしい！,Wonderful!
simple_text_9120,グッジョブ！,Good job!
simple_text_9121,さすが！,As expected!
simple_text_9122,ナイスです！,Nice!
simple_text_9123,気にしないで！,Don't worry about it!
simple_text_9124,お気になさらず,Without favoriting
simple_text_9125,それではまた！,Well then...again!
simple_text_9126,次こそは！,Next time!
simple_text_9127,ザコは無視しますか？,Ignore it?
simple_text_9128,いいですね！,That's excellent!
simple_text_9129,了解！,Understood!
simple_text_9130,無理です！,That's unreasonable!
simple_text_9131,マーカーを目指しましょう,Head for the marker
simple_text_9132,帰還しましょう,Let's return
simple_text_9133,拠点に行きましょう,Let's head towards the base
simple_text_9134,リム転移します,Let's transfer at the Riftstone
simple_text_9135,装備を変えます,Changing equipment
simple_text_9136,ジョブを変えます,Changing job
simple_text_9137,アイテムを補充します,Replenishing items
simple_text_9138,アイテムを取ります！,Harvesting items!
simple_text_9139,アイテムがいっぱいになりました,Items have been filled
simple_text_9140,もう一度行きませんか？,Are we not going again?
simple_text_9141,離脱します！,Withdrawing!
simple_text_9142,リーダーを変更します,Changing leader
simple_text_9143,どんまい！,I don't mind!
simple_text_9144,気にするな！,Never mind!
simple_text_9145,気にしないで！,Don't worry about it!
simple_text_9146,大丈夫です！,It's okay!
simple_text_9147,申し訳ない！,I'm sorry!
simple_text_9148,すみません！,Pardon me!
simple_text_9149,俺が！,Me!
simple_text_9150,私が！,I!
simple_text_9151,状態異常に気を付けましょう！,Let's debilitate it!
simple_text_9152,エンチャントを頼む！,Requesting an enchantment!
simple_text_9153,エンチャントをお願い！,Please enchant!
simple_text_9154,ザコは無視しよう！,Ignore it!
simple_text_9155,ザコは無視しましょう！,Ignoring it!
simple_text_9156,この敵は倒そう！,Kill this enemy!
simple_text_9157,この敵は倒しましょう！,Killing this enemy!
simple_text_9158,先に行ってください,Please go ahead
simple_text_9189,急ごう！,Hurry!
simple_text_9190,急ぎましょう！,Make haste!
simple_text_9191,焦らずに,Stay calm
simple_text_9192,助かりました！,Rescued!
simple_text_9193,う、動けない！,"Ooh, it cannot move!"
simple_text_9194,少し準備します,Preparing a bit
simple_text_9195,手を出すな,Hand it in
simple_text_9196,手を出さないで,Do not hand it in
simple_text_9197,敵を引きつける,Attract the enemy
simple_text_9198,敵を引きつけます,Drawing enemy over
simple_text_9199,俺に任せろ！,Leave it to me!
simple_text_9200,私に任せて！,Entrust it to me!
simple_text_9201,俺の背中に隠れて！,I'll hide on the back!
simple_text_9202,私の背中に隠れて！,I'll conceal myself on the back!
simple_text_9203,凍らせる！,Can Freeze!
simple_text_9204,凍らせます！,Able to Freeze!
simple_text_9205,スローにする！,Slowing it!
simple_text_9206,スローにします！,I'll slow it!
simple_text_9207,眠らせる！,Can put it to sleep!
simple_text_9208,眠らせます！,Able to put it to sleep!
simple_text_9209,状態異常を狙う！,Debilitate it!
simple_text_9210,状態異常を狙います！,Aim debilitations at it!
simple_text_9211,状態異常にする！,Can debilitate it!
simple_text_9212,状態異常にします！,Debilitating it!
simple_text_9213,弱点を攻撃してくれ！,Attack its weak spot!
simple_text_9214,弱点を攻撃して！,Strike at its weak point!
simple_text_9215,別れて戦おう！,Spread out and attack!
simple_text_9216,別れて戦いましょう！,Split up and fight!
simple_text_9217,集まってください！,Gather together!
simple_text_9218,散らばってください！,Please spread out!
simple_text_9219,弱点を出そう！,Reveal its weak spot!
simple_text_9220,弱点を狙おう！,Aim for its weak spot!
simple_text_9221,弱点を攻撃しよう！,Attack its weakspot!
simple_text_9222,スタミナを減らそう！,Decrease its stamina!
simple_text_9223,一気に揺さぶろう！,Shake it without stopping!
simple_text_9224,今助ける！,Help now!
simple_text_9225,今助けます！,Assist now!
simple_text_9226,こっちだ、跳ね上げる！,"Over here, jump!"
simple_text_9227,こっちです、跳ね上げます！,"This way, leap!"
simple_text_9228,おきろ！,Get up!
simple_text_9229,起きて！,Rise!
simple_text_9230,トドメだ！,Take that!
simple_text_9231,仕切り直そう！,We'll redo that!
simple_text_9232,仕切り直しましょう！,Let's go back and start again!
simple_text_9233,こいつは危険です！,You're in danger!
