key,old,new
OSD_index_en,Status,Status
OSD_index_jp,黄金石の確認,Check GG
OSD_tab_goldstone,黄金石,Golden Gemstones
OSD_tab_effectivedate,有効期限,Expiration Date
OSD_tab_gethistory,獲得履歴,Purchase History
OSD_title_goldstone,所持黄金石,Golden Gemstone Total
OSD_title_goldstone_items,所持黄金石の内訳,Breakdown of owned GG
OSD_title_goldstone_pay,購入分,Purchased
OSD_title_goldstone_free,無料分,Free
OSD_warning,今月末で期限が切れる黄金石があります,There is a golden stone that expires at the end of this month
OSD_effectivedate_text1,黄金石の有効期限は、獲得から4か月後の月末までです,"GG expire at the end of the month, 4 months after purchase."
OSD_effectivedate_text2,まで有効の黄金石,Gemstones expire
OSD_date,<DATE>,<DATE>
OSD_pay,購入分,Purchased
OSD_free,無料分,Free
OSD_eventcode_index_en,Event Code,Event Code
OSD_eventcode_index_jp,イベントコードの入力,Input event code
OSD_eventcode_title,16ケタのイベントコードを入力してください,Please enter your 16-digit event code
OSD_eventcode_ok,決定,OK
OSD_eventcode_warning,イベントコードに関する注意,Note about event codes
OSD_eventcode_warning_text,"イベントコード入力を5回失敗すると、
3時間イベントコードの入力ができなくなります

コード特典は現在ログイン中の
キャラクターのみに適用されます","When you fail to input an event code 5 times,
you will not be able to enter event codes for 3 hours.

The code benefits are only applied to the
currently logged in character."
OSD_histry_information,最新50件(古い履歴から順に削除されます),The last 50 entries are shown (Older entries are deleted)
OSD_announce_disbuyable,現在黄金石の購入を利用することができません,Purchase of golden stones currently not available
OSD_msg_stampbornus,スタンプボーナス,Stamp Bonus
OSD_msg_presents,運営からの配布,Distributed by the management
ODS_msg_buy_option,購入特典,Special offers for purchase
OSD_notion_incomplete_input,全ての入力が終わらないと送信できません,Please finish entering the entire code.
OSD_buy,オンラインショップで購入,Online Shop Purchase
OSD_buy_by_bonus,オンラインショップで購入（ボーナス）,Online Shop Purchase (Bonus)
OSD_recieve_by_mail,メールで受取,Received in Mail
OSD_msg_loginbornus,ログインボーナス,Login Bonus
OSD_msg_no_history,履歴はありません,There is no history.
OSD_msg_no_list,リストはありません,There is no list.
OSD_ps_buy,PlayStation™Storeで購入,PlayStation™ Store Purchase
OSD_ps_buy_by_bonus,PlayStation™Storeで購入（ボーナス）,PlayStation™ Store Purchase (Bonus)
