key,old,new
START,10ボタン,Button 10
BACK,9ボタン,Button 9
R1,7ボタン,Button 7
L1,5ボタン,Button 5
R2,8ボタン,Button 8
L2,6ボタン,Button 6
L3,左スティック押し込み,Left Stick Click
R3,右スティック押し込み,Right Stick Click
RU,1ボタン,Button 1
RD,3ボタン,Button 3
RL,4ボタン,Button 4
RR,2ボタン,Button 2
KEY,方向キー,DPad
K_ARROW,方向キーの上下左右,DPad Up/Down/Left/Right
K_UPDOWN,方向キーの上下,DPad Up/Down
K_SIDE,方向キーの左右,DPad Left/Right
K_UP,方向キー上,DPad Up
K_DOWN,方向キー下,DPad Down
K_LEFT,方向キー左,DPad Left
K_RIGHT,方向キー右,DPad Right
L_STICK,左スティック,Left Stick
R_STICK,右スティック,Right Stick
keyname_key_jpn,キー, Key
keyname_Blank,Blank,Blank
keyname_Esc,Esc,Esc
keyname_F1,F1,F1
keyname_F2,F2,F2
keyname_F3,F3,F3
keyname_F4,F4,F4
keyname_F5,F5,F5
keyname_F6,F6,F6
keyname_F7,F7,F7
keyname_F8,F8,F8
keyname_F9,F9,F9
keyname_F10,F10,F10
keyname_F11,F11,F11
keyname_F12,F12,F12
keyname_Tab,Tab,Tab
keyname_Shift,Shift,Shift
keyname_Ctrl,Ctrl,Ctrl
keyname_Alt,Alt,Alt
keyname_Space,Space,Space
keyname_Backspace,Backspace,Backspace
keyname_Enter,Enter,Enter
keyname_Insert,Insert,Insert
keyname_Delete,Delete,Delete
keyname_Home,Home,Home
keyname_End,End,End
keyname_PageUp,PageUp,PageUp
keyname_PageDown,PageDown,PageDown
keyname_arrowUP,↑,↑
keyname_arrowDOWN,↓,↓
keyname_arrowLEFT,←,←
keyname_arrowRIGHT,→,→
keyname_Num0,Num0,Num0
keyname_Num1,Num1,Num1
keyname_Num2,Num2,Num2
keyname_Num3,Num3,Num3
keyname_Num4,Num4,Num4
keyname_Num5,Num5,Num5
keyname_Num6,Num6,Num6
keyname_Num7,Num7,Num7
keyname_Num8,Num8,Num8
keyname_Num9,Num9,Num9
keyname_mouse_left,マウス左ボタン,Left Mouse Button
keyname_mouse_right,マウス右ボタン,Right Mouse Button
keyname_mouse_center,マウス中ボタン,Middle Mouse Button
keyname_mouse_wheel,マウスホイール,Mouse Wheel
