key,old,new
SC_MSG_HEADER,Category,Category
SC_MSG_MESSAGE,Message,Message
SC_MSG_EMOTION,Emote,Emote
SC_MSG_MACRO,Macros,Macros
SC_MSG_SPEAK_J,発言,Speak
SC_MSG_EXECMOTION_J,実行,Perform
SC_MSG_EXECMOTIONNC_J,モーションのみ実行,Motion only
SC_MSG_SUBMENU_J,サブメニュー,Submenu
SC_MSG_MYPHRASE_J,マイ定型文,My Phrases
SC_MSG_TMPPHRASE_J,定型文,Phrases
SC_MSG_EMOTION_J,エモート,Emotes
SC_MSG_EDITCTGR_J,カテゴリー名の編集,Edit Category
SC_MSG_EDITSC_MSG_J,メッセージの編集,Edit Phrase
SC_MSG_ADDSCM_J,ショートカット登録,Register Shortcut
SC_MSG_DECIDE_J,決定,OK
SC_MSG_CANCEL_J,キャンセル,Cancel
SC_MSG_MESSAGE_J,メッセージ,Message
SC_MSG_EMOTIONONCHAT_J,エモートをチャットログに表示する,Display emotes in the chat log
SC_MSG_NOSC_MSG_J,（なし）,(None)
SC_MSG_TITLE,Communication,Communication
SC_MSG_TITLE_J,コミュニケーション,Communication
SC_MSG_DIALOG_TOLL,"選択したボイス定型文は未購入の定型文です
オンラインショップで購入できます",The selected voice message is a message that has not yet been purchased. Can be purchased in the online shop.
SC_MSG_DIALOG_TOLL_ITEM1,オンラインショップで購入する,Buy in Online Shop
SC_MSG_GUIDE_AUDITION,試聴,Sample
