#Index,Key,MsgJp,MsgEn,GmdPath,ArcPath,ArcName,ReadIndex
0,EDIT_MSG_DIALOG_REPLY_YES,はい,Yes,ui\00_message\ui\character_edit_dialog_win.gmd,\character_edit_select.arc,character_edit_select.arc,0
1,EDIT_MSG_DIALOG_REPLY_NO,いいえ,No,ui\00_message\ui\character_edit_dialog_win.gmd,\character_edit_select.arc,character_edit_select.arc,1
2,EDIT_MSG_DIALOG_REPLY_OK,OK,OK,ui\00_message\ui\character_edit_dialog_win.gmd,\character_edit_select.arc,character_edit_select.arc,2
3,EDIT_MSG_DIALOG_REPLY_DECISION,はい,OK,ui\00_message\ui\character_edit_dialog_win.gmd,\character_edit_select.arc,character_edit_select.arc,3
4,EDIT_MSG_DIALOG_REPLY_CONTINUE,いいえ,Cancel,ui\00_message\ui\character_edit_dialog_win.gmd,\character_edit_select.arc,character_edit_select.arc,4
5,EDIT_MSG_DIALOG_REPLY_BACKSPACE,キャンセル,Cancel,ui\00_message\ui\character_edit_dialog_win.gmd,\character_edit_select.arc,character_edit_select.arc,5
6,EDIT_MSG_DIALOG_REPLY_BACK,いいえ,Back,ui\00_message\ui\character_edit_dialog_win.gmd,\character_edit_select.arc,character_edit_select.arc,6
7,EDIT_MSG_DIALOG_REPLY_ONLINESHOP,オンラインショップで購入する,Buy from Online Shop,ui\00_message\ui\character_edit_dialog_win.gmd,\character_edit_select.arc,character_edit_select.arc,7
8,EDIT_MSG_DIALOG_REPLY_EDIT_SAVE,エディットをセーブする,Save the edits,ui\00_message\ui\character_edit_dialog_win.gmd,\character_edit_select.arc,character_edit_select.arc,8
9,EDIT_MSG_DIALOG_CHOICE_SAVE,セーブ,Save,ui\00_message\ui\character_edit_dialog_win.gmd,\character_edit_select.arc,character_edit_select.arc,9
10,EDIT_MSG_DIALOG_CHOICE_LOAD,ロード,Load,ui\00_message\ui\character_edit_dialog_win.gmd,\character_edit_select.arc,character_edit_select.arc,10
11,EDIT_MSG_DIALOG_EDIT_CANCEL,"エディットを終了して
前の画面に戻りますか？","Do you want to exit the editor and return to the
previous screen?",ui\00_message\ui\character_edit_dialog_win.gmd,\character_edit_select.arc,character_edit_select.arc,11
12,EDIT_MSG_DIALOG_EDIT_FIX,"エディットを決定します
これでよろしいですか？",Are you sure you want these edits?,ui\00_message\ui\character_edit_dialog_win.gmd,\character_edit_select.arc,character_edit_select.arc,12
13,EDIT_MSG_DIALOG_SALON_CANCEL,"美容院をキャンセルします
よろしいですか？","Canceling changes
Do you wish to proceed??",ui\00_message\ui\character_edit_dialog_win.gmd,\character_edit_select.arc,character_edit_select.arc,13
14,EDIT_MSG_DIALOG_SALON_FIX,"<VAL>を使用して
エディットを変更します
よろしいですか？","Use <VAL>
to complete changes
OK?",ui\00_message\ui\character_edit_dialog_win.gmd,\character_edit_select.arc,character_edit_select.arc,14
15,EDIT_MSG_DIALOG_SALON_NOTGP,<VAL>が足りません,<VAL>GP is not enough,ui\00_message\ui\character_edit_dialog_win.gmd,\character_edit_select.arc,character_edit_select.arc,15
